bp,m_chi_GeV,m_phi_MeV,alpha,lambda,v_km_s,sigma_m_EL,sigma_m_v22,ratio,match
BP1,54.556,12.975,0.002645,11.12143506743738,12,0.744553550239596,0.744553550239596,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,12,0.744553550239596,0.744553550239596,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,60,0.6823541956600843,0.6823541956600843,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,55,0.6662560590109251,0.6662560590109251,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,50,0.6531646741052934,0.6531646741052934,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,250,0.5446157632569483,0.5446157632569483,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,280,0.4988968218757083,0.4988968218757083,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,1200,0.09111493075722644,0.09111493075722644,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,1100,0.10420662326633628,0.10420662326633628,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,40,0.6455687429618829,0.6455687429618829,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,4700,0.007462092002065229,0.007462092002065229,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,1000,0.12013123966486201,0.12013123966486201,1.0,PASS
BP1,54.556,12.975,0.002645,11.12143506743738,30,0.6719696325247045,0.6719696325247045,1.0,PASS
BP9,48.329,8.657,0.00235,13.119227214970545,12,2.068452164405217,2.068452164405217,1.0,PASS
BP9,48.329,8.657,0.00235,13.119227214970545,12,2.068452164405217,2.068452164405217,1.0,PASS
BP9,48.329,8.657,0.00235,13.119227214970545,60,2.194323344031965,2.194323344031965,1.0,PASS
BP9,48.329,8.657,0.00235,13.119227214970545,55,2.135963543978238,2.135963543978238,1.0,PASS
