bp,m_chi_GeV,m_phi_MeV,alpha,lambda,kappa,v_km_s,sigma_maj,sigma_dir,R,n_resonances,res_even,res_odd,dominant_l,n_partialwaves
BP1,54.556,12.975,0.002645,11.12143506743738,0.10519030507300801,15.000000000000004,0.7355961127821593,0.735595339541029,1.00000105117731,0,0,0,0,6
BP1,54.556,12.975,0.002645,11.12143506743738,0.11993507068161298,17.10258430161952,0.7281347576375143,0.7281281644414384,1.0000090549938843,0,0,0,0,6
BP1,54.556,12.975,0.002645,11.12143506743738,0.136746643803532,19.49989265293348,0.7186276801102577,0.7185852639607776,1.0000590273021273,0,0,0,0,7
BP1,54.556,12.975,0.002645,11.12143506743738,0.15591473357422944,22.233237197955056,0.706763813720263,0.706550903654655,1.0003013371924183,0,0,0,0,8
BP1,54.556,12.975,0.002645,11.12143506743738,0.17776965832118702,25.34972089839528,0.692511985912048,0.6916544503826969,1.0012398323019198,0,0,0,0,9
BP1,54.556,12.975,0.002645,11.12143506743738,0.20268803784721312,28.903049245822068,0.6765704916749825,0.6737342128627919,1.004209788901975,0,0,0,0,11
BP1,54.556,12.975,0.002645,11.12143506743738,0.23109928361412063,32.95445575336882,0.6608935421247776,0.653039398392382,1.0120270595491336,0,0,0,0,12
BP1,54.556,12.975,0.002645,11.12143506743738,0.2634929986702917,37.573757175732034,0.6488475267645254,0.6303259197930466,1.0293841747417907,0,0,0,0,14
BP1,54.556,12.975,0.002645,11.12143506743738,0.3004274148430122,42.84055664176922,0.6444671871519007,0.6066742073326213,1.0622953462706854,0,0,0,0,16
BP1,54.556,12.975,0.002645,11.12143506743738,0.3425390125913487,48.84561543294423,0.6508217617776947,0.5830362553220102,1.116262935343955,0,0,0,0,18
BP1,54.556,12.975,0.002645,11.12143506743738,0.39055348929580336,55.692417047094395,0.6683573311327483,0.5597980558398824,1.1939257811997777,0,0,0,0,20
BP1,54.556,12.975,0.002645,11.12143506743738,0.4452982649982085,63.49895050059221,0.6942987598653759,0.5366948267487156,1.2936565162578912,0,0,0,0,23
BP1,54.556,12.975,0.002645,11.12143506743738,0.5077167410997846,72.39974360004953,0.7234312646196049,0.5131256592943451,1.4098520538116803,0,0,0,0,26
BP1,54.556,12.975,0.002645,11.12143506743738,0.5788845577335063,82.54818122236567,0.749666937738437,0.4885885021550895,1.5343523935413343,0,0,0,0,29
BP1,54.556,12.975,0.002645,11.12143506743738,0.6600281299695346,94.1191485533916,0.7675723958678243,0.46292569038998593,1.6580898658296381,0,0,0,0,32
BP1,54.556,12.975,0.002645,11.12143506743738,0.75254578228295,107.31204483540202,0.7733844874646041,0.43629946381931056,1.7726001327035648,0,0,0,0,32
BP1,54.556,12.975,0.002645,11.12143506743738,0.8580318454881571,122.35421955844241,0.7654201005635123,0.4090296369777724,1.8713071899117837,1,1,0,0,32
BP1,54.556,12.975,0.002645,11.12143506743738,0.978304131395691,139.50489031047482,0.7439632220295956,0.3814518190212048,1.9503465049362865,1,1,0,1,32
BP1,54.556,12.975,0.002645,11.12143506743738,1.1154352586544973,159.0596098015386,0.7107894501910308,0.3538563866049297,2.0086947052466413,1,1,0,1,33
BP1,54.556,12.975,0.002645,11.12143506743738,1.2717883696091536,181.3553590409013,0.6685373543719826,0.3264849335031853,2.0476821003608734,1,1,0,1,33
BP1,54.556,12.975,0.002645,11.12143506743738,1.4500578536706528,206.7763544364993,0.6201181624130083,0.29954443084050725,2.0702042787875796,0,0,0,1,33
BP1,54.556,12.975,0.002645,11.12143506743738,1.6533157789751847,235.7606688887855,0.568273599386862,0.27321837174244695,2.0799245517887535,0,0,0,1,33
BP1,54.556,12.975,0.002645,11.12143506743738,1.8850648324747221,268.80778097844393,0.5153062808461922,0.24767169734664654,2.080602209968944,0,0,0,1,33
BP1,54.556,12.975,0.002645,11.12143506743738,2.149298680761147,306.48718234100744,0.4629687485380624,0.2230523155968346,2.0756061074697603,0,0,0,1,34
BP1,54.556,12.975,0.002645,11.12143506743738,2.450570791805142,349.4481915568608,0.41247061997235984,0.19949183781360777,2.067606497052504,0,0,0,1,34
BP1,54.556,12.975,0.002645,11.12143506743738,2.7940729035955942,398.43114367664646,0.3645687716249799,0.17710590766902987,2.058478886578278,0,0,0,1,34
BP1,54.556,12.975,0.002645,11.12143506743738,3.1857244919076315,454.28014820803486,0.31969040726833214,0.15599532856193452,2.04935885077742,0,0,0,1,35
BP1,54.556,12.975,0.002645,11.12143506743738,3.6322747789722847,517.957635418675,0.2780534605660739,0.13624683747598645,2.0408067131472385,0,0,0,2,35
BP1,54.556,12.975,0.002645,11.12143506743738,4.141419040934659,590.560941627693,0.2397601854881875,0.1179338441995625,2.0330057678987874,0,0,0,2,36
BP1,54.556,12.975,0.002645,11.12143506743738,4.721931218394483,673.341219295428,0.2048569576391847,0.10111528691467636,2.025974151782294,0,0,0,2,36
BP1,54.556,12.975,0.002645,11.12143506743738,5.383815115269374,767.7249977836887,0.17335620481502995,0.08583571214645087,2.01962796696151,0,0,0,2,37
BP1,54.556,12.975,0.002645,11.12143506743738,6.138476791548516,875.3387663370785,0.14524720645910658,0.0721194599967956,2.0139807822404685,0,0,0,2,38
