bp,m_chi_GeV,m_phi_MeV,alpha_config,convention,factor,y_coupling,alpha_feynman_t,alpha_feynman_tu,ratio_t,ratio_tu,match_t,match_tu
BP1,54.556,12.975,0.002645,y²/(4π),4,0.18231305568987652,0.00066125,0.0013225,0.25,0.5,FAIL,FAIL
BP1,54.556,12.975,0.002645,y²/(16π),16,0.36462611137975304,0.002645,0.00529,1.0,2.0,PASS,FAIL
BP1,54.556,12.975,0.002645,y²/(8π),8,0.25782959595430477,0.0013225000000000003,0.0026450000000000006,0.5000000000000001,1.0000000000000002,FAIL,PASS
BP9,48.329,8.657,0.00235,y²/(4π),4,0.1718457766246935,0.0005874999999999999,0.0011749999999999998,0.24999999999999994,0.4999999999999999,FAIL,FAIL
BP9,48.329,8.657,0.00235,y²/(16π),16,0.343691553249387,0.0023499999999999997,0.004699999999999999,0.9999999999999998,1.9999999999999996,PASS,FAIL
BP9,48.329,8.657,0.00235,y²/(8π),8,0.24302662793917895,0.001175,0.00235,0.5,1.0,FAIL,PASS
BP16,14.384,5.047,0.0007555,y²/(4π),4,0.09743661015834014,0.00018887499999999997,0.00037774999999999994,0.24999999999999997,0.49999999999999994,FAIL,FAIL
BP16,14.384,5.047,0.0007555,y²/(16π),16,0.19487322031668028,0.0007554999999999999,0.0015109999999999998,0.9999999999999999,1.9999999999999998,PASS,FAIL
BP16,14.384,5.047,0.0007555,y²/(8π),8,0.13779617555758472,0.00037775000000000005,0.0007555000000000001,0.5000000000000001,1.0000000000000002,FAIL,PASS
MAP,98.19,9.66,0.003274,y²/(4π),4,0.20283564132423063,0.0008185,0.001637,0.25,0.5,FAIL,FAIL
MAP,98.19,9.66,0.003274,y²/(16π),16,0.40567128264846125,0.003274,0.006548,1.0,2.0,PASS,FAIL
MAP,98.19,9.66,0.003274,y²/(8π),8,0.28685291489337156,0.0016370000000000002,0.0032740000000000004,0.5000000000000001,1.0000000000000002,FAIL,PASS
