bp,m_chi_GeV,m_phi_MeV,alpha,v_km_s,sigma_m_v22,sigma_m_w13,sigma_m_w11,ratio_w13_v22,ratio_w11_v22,match_w13
BP1,54.556,12.975,0.002645,10.0,0.7491435423064859,0.7491435423064859,0.7491435421973733,1.0,0.9999999998543502,PASS
BP1,54.556,12.975,0.002645,30.0,0.6719696325247045,0.6719696325247045,0.6681160137127811,1.0,0.9942651890421822,PASS
BP1,54.556,12.975,0.002645,100.0,0.7719120086033655,0.7719120086033655,0.4507256413881926,1.0,0.5839080573493068,PASS
BP1,54.556,12.975,0.002645,300.0,0.47140470059541906,0.47140470059541906,0.22699842417429708,1.0,0.48153619148808074,PASS
BP1,54.556,12.975,0.002645,1000.0,0.12013123966486201,0.12013123966486201,0.05979771679551851,1.0,0.49776991365726453,PASS
BP9,48.329,8.657,0.00235,10.0,2.094153289093593,2.094153289093593,2.094153010222055,1.0,0.9999998668332737,PASS
BP9,48.329,8.657,0.00235,30.0,1.8310974159445836,1.8310974159445836,1.7425722623690578,1.0,0.9516545909547584,PASS
BP9,48.329,8.657,0.00235,100.0,2.2281322949208535,2.2281322949208535,1.1232784006829206,1.0,0.5041345180640726,PASS
BP9,48.329,8.657,0.00235,300.0,1.0951870331709384,1.0951870331709384,0.5311997861429656,1.0,0.48503111345736244,PASS
BP9,48.329,8.657,0.00235,1000.0,0.25723293792959673,0.25723293792959673,0.12822133251528842,1.0,0.49846389637077465,PASS
BP16,14.384,5.047,0.0007555,10.0,3.9781708533512425,3.9781708533512425,3.978170853351241,1.0,0.9999999999999997,PASS
BP16,14.384,5.047,0.0007555,30.0,4.266481157751713,4.266481157751713,4.266412308447277,1.0,0.9999838627426467,PASS
BP16,14.384,5.047,0.0007555,100.0,3.2649859024780543,3.2649859024780543,2.9943931035817832,1.0,0.917122827792029,PASS
BP16,14.384,5.047,0.0007555,300.0,1.8099492854457075,1.8099492854457075,1.1236569116622488,1.0,0.6208223184471954,PASS
BP16,14.384,5.047,0.0007555,1000.0,0.3114315584246569,0.3114315584246569,0.16331992529728168,1.0,0.5244167486539193,PASS
MAP,98.19,9.66,0.003274,10.0,1.2960594301948758,1.2960594301948758,1.2914901315816079,1.0,0.9964744682945743,PASS
MAP,98.19,9.66,0.003274,30.0,1.7969870173084648,1.7969870173084648,0.9924856018441396,1.0,0.5523053824454942,PASS
MAP,98.19,9.66,0.003274,100.0,1.217925281194023,1.217925281194023,0.6055249193535892,1.0,0.4971773956116158,PASS
MAP,98.19,9.66,0.003274,300.0,0.5895469738155158,0.5895469738155158,0.29735408877203223,1.0,0.5043772625064511,PASS
MAP,98.19,9.66,0.003274,1000.0,0.16892289532025384,0.16892289532025384,0.08444607578629479,1.0,0.4999090006490654,PASS
