bp,m_chi_GeV,m_phi_MeV,alpha_config,hypothesis,factor,alpha_annihilation,sv0_GeV2,Y_inf,omega_h2_boltzmann,omega_h2_KT,omega_target,delta_pct
BP1,54.556,12.975,0.002645,y²/(4π),1,0.002645,1.846104124946192e-09,8.366866435051035e-12,0.1252229952400454,0.10668539985653225,0.12,4.352496033371174
BP1,54.556,12.975,0.002645,y²/(16π),4,0.01058,2.9537665999139073e-08,5.962066287138747e-13,0.008923147083686613,0.007547679161020728,0.12,-92.56404409692783
BP1,54.556,12.975,0.002645,y²/(8π),2,0.00529,7.384416499784768e-09,2.2373012076121333e-12,0.03348464573280272,0.028427189375041073,0.12,-72.09612855599774
BP9,48.329,8.657,0.00235,y²/(4π),1,0.00235,1.8569918079213276e-09,9.44910448846321e-12,0.12527868646012713,0.10586334504879556,0.12,4.3989053834392795
BP9,48.329,8.657,0.00235,y²/(16π),4,0.0094,2.971186892674124e-08,6.745047802222527e-13,0.008942759917671699,0.007494051683869284,0.12,-92.54770006860691
BP9,48.329,8.657,0.00235,y²/(8π),2,0.0047,7.42796723168531e-09,2.5289360525169883e-12,0.03352929234593688,0.028217150832538125,0.12,-72.05892304505261
BP16,14.384,5.047,0.0007555,y²/(4π),1,0.0007555,2.16670342552054e-09,3.2051894760405795e-11,0.12647716235699846,0.09090560203194643,0.12,5.397635297498723
BP16,14.384,5.047,0.0007555,y²/(16π),4,0.003022,3.466725480832864e-08,2.3607719927953427e-12,0.00931563468720347,0.006515835762890266,0.12,-92.23697109399711
BP16,14.384,5.047,0.0007555,y²/(8π),2,0.001511,8.66681370208216e-09,8.714810688904658e-12,0.034388747830680355,0.024387714760993214,0.12,-71.3427101410997
MAP,98.19,9.66,0.003274,y²/(4π),1,0.003274,8.731979580708892e-10,9.322114356174964e-12,0.2511079236207618,0.2200116655203466,0.12,109.25660301730149
MAP,98.19,9.66,0.003274,y²/(16π),4,0.013096,1.3971167329134228e-08,6.623293389341511e-13,0.017841032484513422,0.015577711603032895,0.12,-85.13247292957215
MAP,98.19,9.66,0.003274,y²/(8π),2,0.006548,3.492791832283557e-09,2.489165771334974e-12,0.06705015884875568,0.05864892607147172,0.12,-44.12486762603693
