bp,m_chi_GeV,m_phi_MeV,alpha,v_km_s,sigma_T_maj,sigma_tr_maj,sigma_vis_maj,sigma_T_dir,sigma_tr_dir,sigma_vis_dir,R_tr_maj,R_tr_dir,R_vis_maj,R_vis_dir,delta_R_tr_pct
BP1,54.556,12.975,0.002645,10.0,0.749143542306486,1.4982725036672915,0.9988580563161923,0.7491435421973733,1.4982725035218083,0.9988580562289021,1.9999805365128882,1.9999805366099859,1.333333333209918,1.333333333287598,-4.85493040885512e-09
BP1,54.556,12.975,0.002645,20.0,0.7165280435583712,1.4229099096661715,0.9553192181467789,0.7164690540175925,1.4228313576882923,0.9552720265551948,1.9858398041196215,1.985893667995541,1.3332614497578348,1.3333053551978515,-0.002712324269300575
BP1,54.556,12.975,0.002645,30.0,0.6719696325247045,1.2666353591841937,0.8925352742159722,0.6681160137127811,1.2615678176951435,0.8894526855119836,1.8849592271383284,1.888246639508754,1.3282375140414677,1.3312847877559688,-0.17409867448676497
BP1,54.556,12.975,0.002645,50.0,0.6531646741052934,0.9772630289444029,0.8026447033912156,0.5788691227979191,0.8879818604333852,0.7434955743886543,1.496197004657455,1.5339941715001029,1.228855042552141,1.2843932161988982,-2.4639706946008593
BP1,54.556,12.975,0.002645,100.0,0.771912008605409,0.7114860387687494,0.6941632798397658,0.4507256413900398,0.4605629692806209,0.4618708550159435,0.9217190960070314,1.021825534176939,0.8992777312713277,1.0247272677709922,-9.796822923449602
BP1,54.556,12.975,0.002645,200.0,0.6328440348752916,0.3372996724883941,0.3911958150854099,0.306336212608067,0.1925823542482573,0.21667738786585364,0.5329902059594548,0.6286633650284474,0.6181551749357944,0.7073188834617972,-15.218503954761765
BP1,54.556,12.975,0.002645,300.0,0.47140491314503713,0.1787411467910044,0.22398543078013045,0.2269985110460317,0.0998571588786692,0.12094802695421963,0.3791669153350786,0.4399022637572268,0.4751444555080758,0.5328141862996331,-13.80655509780845
BP1,54.556,12.975,0.002645,500.0,0.2889280841154571,0.06429534882795339,0.08853916296802876,0.14142091417571898,0.035686845978121225,0.04767875950869688,0.22253063084812705,0.25234489669455423,0.30644014145972764,0.3371407955223288,-11.814887575283624
BP1,54.556,12.975,0.002645,1000.0,0.120131239664862,0.010381465958574938,0.01601185290262485,0.059797716795518506,0.005814504117689133,0.008758256417513844,0.08641770440009439,0.09723622287406292,0.13328633707014234,0.14646472953914227,-11.126016780783752
BP9,48.329,8.657,0.00235,10.0,2.094153289093593,4.1870887145695415,2.7922041479866113,2.094153010222055,4.187088342753992,2.792203924889382,1.9994184458110171,1.999418534517691,1.3333332199359456,1.3333332909581945,-4.436623560941572e-06
BP9,48.329,8.657,0.00235,20.0,1.9353186277054333,3.7259363500066187,2.5763220730752487,1.9306267097563936,3.719726844529418,2.572568647618154,1.9252314821276695,1.9266939723416407,1.3312133910113844,1.3325044321710233,-0.0759067207852322
BP9,48.329,8.657,0.00235,30.0,1.8310974159445836,3.0644608039273398,2.3624954044350086,1.742572262369058,2.9519082638437135,2.291752142310479,1.6735651403595682,1.6939947499396906,1.290207382667459,1.3151547237385732,-1.2060019419097812
BP9,48.329,8.657,0.00235,50.0,2.0649706884703773,2.5090957095415853,2.220856402673201,1.4973538058548967,1.9144658644637451,1.7768413013025397,1.2150757023094563,1.2785661324517108,1.0754905215232355,1.186654279272408,-4.965752535655597
BP9,48.329,8.657,0.00235,100.0,2.2281322965905304,1.609362032185377,1.7018602760362433,1.1232784012801644,0.9438817106871317,0.9859774176593632,0.7222919548574425,0.8402918720874717,0.7638057572435963,0.8777676278077423,-14.042729812070087
BP9,48.329,8.657,0.00235,200.0,1.539371312431108,0.6544911819445547,0.7963585891361332,0.7338330136298051,0.3615615555246256,0.42377521658365075,0.42516784394983026,0.4927027659006653,0.517327159928981,0.577481809502552,-13.707031221426282
BP9,48.329,8.657,0.00235,300.0,1.09518840207357,0.32104823658718823,0.42005166062733096,0.5312003695252385,0.17554758724914832,0.2219276545961867,0.29314429917202645,0.33047339068315096,0.383542831381366,0.41778520371613265,-11.295642119312005
BP9,48.329,8.657,0.00235,500.0,0.649560455056623,0.1037946363954188,0.14892660411284292,0.3200299293381647,0.05689984174539288,0.07930884961303496,0.15979211109206287,0.17779537639827667,0.22927289208186297,0.24781697692165536,-10.125834355717418
BP9,48.329,8.657,0.00235,1000.0,0.25723293792959673,0.014619555821912511,0.02326109361945308,0.12822133251528842,0.008126761372504994,0.012642098650840788,0.05683391846931284,0.0633807277859634,0.09042813026463786,0.09859590758295554,-10.329337553142532
BP16,14.384,5.047,0.0007555,10.0,3.978170853351242,7.956341654435597,5.304227804468321,3.978170853351241,7.956341654435597,5.304227804468321,1.999999986861578,1.9999999868615785,1.333333333333333,1.3333333333333333,-2.220446063836891e-14
BP16,14.384,5.047,0.0007555,20.0,4.314667286450678,8.628205584430557,5.75288960911789,4.314667174519838,8.628205435196021,5.752889519573217,1.9997383370730937,1.999738354362459,1.3333333087312784,1.3333333225669795,-8.645813706113552e-07
BP16,14.384,5.047,0.0007555,30.0,4.266481157751712,8.505253681208364,5.688573227847133,4.266412308447277,8.505162013868649,5.688518148463894,1.9935055064652714,1.9935161908821764,1.3333173211164056,1.333325927548287,-0.0005359583711364519
BP16,14.384,5.047,0.0007555,50.0,3.957767166775414,7.59765846232046,5.266824645496164,3.9480160051508175,7.584955801188133,5.259025948778474,1.9196830288808129,1.9212069533893343,1.3307565664069376,1.3320680417498902,-0.07932120513268996
BP16,14.384,5.047,0.0007555,100.0,3.2649859024780716,4.912775016746361,4.045626021422459,2.9943931035818006,4.618128592093783,3.8333187454316984,1.5046849093644306,1.542258625485652,1.239094483792991,1.2801655002632757,-2.4362785527874533
BP16,14.384,5.047,0.0007555,200.0,2.496540249993324,2.259913690194107,2.3163507782076818,1.7641963055525465,1.7584795643828954,1.825162921694807,0.9052182075574989,0.9967595776322292,0.9278243273722008,1.0345577280432894,-9.183896711801246
BP16,14.384,5.047,0.0007555,300.0,1.8099493355324363,1.1206818281326076,1.2940075351887486,1.1236569308474398,0.7957537347430448,0.920174515559609,0.619178562698792,0.70818210870012,0.7149413023807586,0.818910550274123,-12.567889658310552
BP16,14.384,5.047,0.0007555,500.0,0.9693692981624189,0.3448134959526325,0.4520275152547468,0.544497462295519,0.2268776655866047,0.2944519384883712,0.3557091158202316,0.4166735040970122,0.4663109468307187,0.5407774303428455,-14.631213090666431
BP16,14.384,5.047,0.0007555,1000.0,0.31143155842465686,0.045301733723273466,0.06737541806541268,0.16331992529728165,0.02782578663329779,0.04068154518082224,0.14546288742357205,0.17037594514354662,0.21634101054570065,0.2490911326757713,-14.622403238311959
MAP,98.19,9.66,0.003274,10.0,1.2960594301948758,2.4795531231291634,1.7242623002767394,1.2914901315816079,2.4734878287175266,1.7206068989905334,1.913147704003309,1.9152200765857958,1.3303882986426625,1.3322648442411347,-0.10820545418369316
MAP,98.19,9.66,0.003274,20.0,1.451535971202436,1.9260705543947154,1.6291523600146542,1.096761587485166,1.5051129258131077,1.3467403360361285,1.326918927678506,1.372324617298347,1.1223644417610146,1.2279244198587904,-3.308669759872828
MAP,98.19,9.66,0.003274,30.0,1.796987017308542,1.835094002594887,1.663833615135934,0.9924856018441659,1.108134991282301,1.048147693934925,1.0212060437383794,1.1165250047187019,0.9259018563350335,1.056083526035372,-8.53710938648769
MAP,98.19,9.66,0.003274,50.0,1.8075530133079396,1.2842374556966187,1.344038151374586,0.8287484642276943,0.703176667724184,0.7006323285559696,0.7104839781967892,0.8484802060893953,0.7435677634233857,0.8454101078894724,-16.263930130865887
