bp,m_chi_GeV,m_phi_MeV,alpha,lambda,v_km_s,sigma_m_maj,sigma_m_dir,R_v,kappa,regime
BP1,54.556,12.975,0.002645,11.12143506743738,5,0.746204357992562,0.746204357992562,1.0,0.035063435024335995,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,10,0.7491435423064859,0.7491435421973733,1.0000000001456497,0.07012687004867199,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,15,0.7355961127821588,0.7355953395410283,1.0000010511773103,0.10519030507300799,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,20,0.7165280435583713,0.7164690540175926,1.0000823336897078,0.14025374009734398,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,25,0.6941221574340499,0.6933750428477585,1.00107750429439,0.17531717512167996,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,30,0.6719696325247045,0.6681160137127811,1.0057678887091908,0.21038061014601597,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,35,0.6546689097655688,0.6428007878496806,1.0184631415210144,0.24544404517035195,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,40,0.6455687429618829,0.6190933139679371,1.0427648440010726,0.28050748019468796,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,45,0.64549759425281,0.5977750057562584,1.0798336966868942,0.31557091521902403,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,50,0.6531646741052934,0.5788691227979191,1.1283460256927724,0.3506343502433599,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,60,0.6823541956600843,0.5466967912373699,1.248140114588332,0.42076122029203195,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,70,0.7159792994620416,0.5192593907037388,1.378847089297111,0.4908880903407039,s-wave
BP1,54.556,12.975,0.002645,11.12143506743738,80,0.7439716143713132,0.49455625391634694,1.5043215174813143,0.5610149603893759,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,90,0.7626758347902454,0.4718020175457745,1.6165166879903181,0.6311418304380481,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,100,0.7719120086033655,0.4507256413881926,1.7125983918419843,0.7012687004867199,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,110,0.7729528473761911,0.4311952658509985,1.79258194277877,0.7713955705353919,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,120,0.767477248596062,0.41309562138391576,1.8578682727861624,0.8415224405840639,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,130,0.757102555048271,0.39630615515493833,1.9103981737358509,0.9116493106327359,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,140,0.7432107114247444,0.38070559588005426,1.9521927690784497,0.9817761806814078,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,150,0.7269116018875973,0.36617867335738347,1.9851281758786243,1.05190305073008,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,160,0.7090640505924949,0.3526199435761789,2.010845000431211,1.1220299207787519,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,170,0.6903160793173486,0.339935035590104,2.030729424870864,1.192156790827424,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,180,0.6711473641822809,0.32804041123837835,2.0459289196981763,1.2622836608760961,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,190,0.6519068801779772,0.31686242127512754,2.0573814892739675,1.332410530924768,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,200,0.6328439945526314,0.3063362089720304,2.065847836520078,1.4025374009734397,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,225,0.5869737991855255,0.28251266909059963,2.0776901831517067,1.5778545760951197,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,250,0.5446157632569483,0.26169217732774747,2.081131231427154,1.7531717512168,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,275,0.5061339166549007,0.24332700647175182,2.0800564803465766,1.92848892633848,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,300,0.47140470059541906,0.22699842417429708,2.076687106133647,2.10380610146016,few-ℓ
