v0_km_s,BP1_sigma_fixed,BP1_sigma_avg,BP1_epsilon,BP1_eta,MAP_sigma_fixed,MAP_sigma_avg,MAP_epsilon,MAP_eta
5.0000,2.14276414e-01,2.73747593e-01,2.77544216e-01,1.17465623e+00,1.36001902e+00,1.32843466e+00,-2.32234677e-02,-5.26542791e-02
5.2373,2.26269057e-01,2.84758690e-01,2.58495944e-01,1.15346684e+00,1.35670313e+00,1.32279520e+00,-2.49928879e-02,-5.51857517e-02
5.4858,2.38463931e-01,2.95728516e-01,2.40139398e-01,1.11070668e+00,1.35307770e+00,1.31686399e+00,-2.67639500e-02,-6.04888816e-02
5.7461,2.50813905e-01,3.06623261e-01,2.22513008e-01,1.06728429e+00,1.34911519e+00,1.31069084e+00,-2.84811490e-02,-6.62943887e-02
6.0188,2.63269525e-01,3.17410010e-01,2.05646609e-01,1.02340010e+00,1.34478595e+00,1.30434695e+00,-3.00709545e-02,-7.26477559e-02
6.3044,2.75779736e-01,3.28057054e-01,1.89561854e-01,9.79252261e-01,1.34005808e+00,1.29792755e+00,-3.14393296e-02,-7.95969823e-02
6.6035,2.88292648e-01,3.38534172e-01,1.74272653e-01,9.35034587e-01,1.33489749e+00,1.29155391e+00,-3.24695884e-02,-8.71911870e-02
6.9169,3.00756313e-01,3.48812863e-01,1.59785674e-01,8.90934543e-01,1.32926805e+00,1.28537440e+00,-3.30209162e-02,-9.54776550e-02
7.2451,3.13119508e-01,3.58866552e-01,1.46100906e-01,8.47131442e-01,1.32313201e+00,1.27956403e+00,-3.29279211e-02,-1.04496204e-01
7.5889,3.25332482e-01,3.68670757e-01,1.33212258e-01,8.03794777e-01,1.31645090e+00,1.27432240e+00,-3.20015735e-02,-1.14269207e-01
7.9490,3.37347659e-01,3.78203218e-01,1.21108176e-01,7.61082771e-01,1.30918715e+00,1.26986979e+00,-3.00318807e-02,-1.24784987e-01
8.3262,3.49120262e-01,3.87443985e-01,1.09772266e-01,7.19141137e-01,1.30130700e+00,1.26644150e+00,-2.67926781e-02,-1.35971760e-01
8.7213,3.60608869e-01,3.96375463e-01,9.91839011e-02,6.78102079e-01,1.29278517e+00,1.26428053e+00,-2.20490121e-02,-1.47659094e-01
9.1351,3.71775854e-01,4.04982434e-01,8.93188185e-02,6.38083537e-01,1.28361198e+00,1.26362907e+00,-1.55677224e-02,-1.59524444e-01
9.5686,3.82587735e-01,4.13252020e-01,8.01496834e-02,5.99188671e-01,1.27380385e+00,1.26471908e+00,-7.13199795e-03,-1.71024305e-01
10.0227,3.93015413e-01,4.21173642e-01,7.16466274e-02,5.61505587e-01,1.26341747e+00,1.26776261e+00,3.43919337e-03,-1.81313616e-01
10.4983,4.03034298e-01,4.28738919e-01,6.37777507e-02,5.25107296e-01,1.25256807e+00,1.27294225e+00,1.62659238e-02,-1.89163867e-01
10.9964,4.12624340e-01,4.35941570e-01,5.65095862e-02,4.90051870e-01,1.24145088e+00,1.28040249e+00,3.13758791e-02,-1.92899914e-01
11.5182,4.21769954e-01,4.42777272e-01,4.98075255e-02,4.56382812e-01,1.23036383e+00,1.29024225e+00,4.86672449e-02,-1.90386602e-01
12.0648,4.30459874e-01,4.49243509e-01,4.36362045e-02,4.24129576e-01,1.21972792e+00,1.30250905e+00,6.78685155e-02,-1.79105661e-01
12.6373,4.38686916e-01,4.55339406e-01,3.79598496e-02,3.93308246e-01,1.21009996e+00,1.31719512e+00,8.85010847e-02,-1.56364717e-01
13.2370,4.46447700e-01,4.61065551e-01,3.27425844e-02,3.63922324e-01,1.20217142e+00,1.33423550e+00,1.09854616e-01,-1.19665389e-01
13.8651,4.53742304e-01,4.66423811e-01,2.79486988e-02,3.35963620e-01,1.19674744e+00,1.35350811e+00,1.30988935e-01,-6.72186610e-02
14.5230,4.60573903e-01,4.71417139e-01,2.35428810e-02,3.09413197e-01,1.19470205e+00,1.37483570e+00,1.50777051e-01,1.46689841e-03
15.2122,4.66948370e-01,4.76049388e-01,1.94904153e-02,2.84242364e-01,1.19691022e+00,1.39798950e+00,1.67998627e-01,8.50689903e-02
15.9340,4.72873882e-01,4.80325120e-01,1.57573476e-02,2.60413685e-01,1.20416280e+00,1.42269420e+00,1.81479946e-01,1.80195921e-01
16.6901,4.78360511e-01,4.84249426e-01,1.23106210e-02,2.37881985e-01,1.21707625e+00,1.44863412e+00,1.90257485e-01,2.81554212e-01
17.4821,4.83419837e-01,4.87827749e-01,9.11818558e-03,2.16595330e-01,1.23601277e+00,1.47546015e+00,1.93725652e-01,3.82588292e-01
18.3117,4.88064568e-01,4.91065719e-01,6.14908445e-03,1.96495971e-01,1.26102596e+00,1.50279732e+00,1.91725918e-01,4.76471047e-01
19.1806,4.92308186e-01,4.93968998e-01,3.37352199e-03,1.77521235e-01,1.29184293e+00,1.53025264e+00,1.84550075e-01,5.57179342e-01
20.0908,4.96164613e-01,4.96543146e-01,7.62917103e-04,1.59604351e-01,1.32788596e+00,1.55742316e+00,1.72859117e-01,6.20351245e-01
21.0441,4.99647913e-01,4.98793489e-01,-1.71005272e-03,1.42675210e-01,1.36832827e+00,1.58390398e+00,1.57546778e-01,6.63714219e-01
22.0427,5.02772016e-01,5.00725025e-01,-4.07141051e-03,1.26661039e-01,1.41217177e+00,1.60929613e+00,1.39589499e-01,6.87040976e-01
23.0887,5.05550475e-01,5.02342334e-01,-6.34583716e-03,1.11487004e-01,1.45833191e+00,1.63321411e+00,1.19919336e-01,6.91742375e-01
24.1843,5.07996251e-01,5.03649520e-01,-8.55662030e-03,9.70767289e-02,1.50571551e+00,1.65529311e+00,9.93398810e-02,6.80281921e-01
25.3319,5.10121529e-01,5.04650175e-01,-1.07255879e-02,8.33527295e-02,1.55328190e+00,1.67519571e+00,7.84878829e-02,6.55587084e-01
26.5340,5.11937558e-01,5.05347375e-01,-1.28730210e-02,7.02367799e-02,1.60008261e+00,1.69261789e+00,5.78315679e-02,6.20572844e-01
27.7931,5.13454518e-01,5.05743694e-01,-1.50175389e-02,5.76502022e-02,1.64527990e+00,1.70729436e+00,3.76923449e-02,5.77823945e-01
29.1119,5.14681404e-01,5.05841260e-01,-1.71759537e-02,4.55140959e-02,1.68814786e+00,1.71900293e+00,1.82774681e-02,5.29430843e-01
30.4933,5.15625945e-01,5.05641834e-01,-1.93630880e-02,3.37495180e-02,1.72806134e+00,1.72756800e+00,-2.85489345e-04,4.76947689e-01
31.9403,5.16294523e-01,5.05146921e-01,-2.15915567e-02,2.22776316e-02,1.76447874e+00,1.73286299e+00,-1.79178999e-02,4.21433995e-01
33.4559,5.16692131e-01,5.04357908e-01,-2.38715136e-02,1.10198488e-02,1.79692376e+00,1.73481167e+00,-3.45657925e-02,3.63546061e-01
35.0435,5.16822331e-01,5.03276229e-01,-2.62103656e-02,-1.01997609e-04,1.82497058e+00,1.73338844e+00,-5.01828037e-02,3.03652305e-01
36.7064,5.16687244e-01,5.01903548e-01,-2.86124659e-02,-1.11654049e-02,1.84823530e+00,1.72861741e+00,-6.47200576e-02,2.41953854e-01
38.4482,5.16287555e-01,5.00241958e-01,-3.10787987e-02,-2.22468154e-02,1.86637529e+00,1.72057030e+00,-7.81220131e-02,1.78596813e-01
