benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
BP1,3.0000,2.104424e-01,5.833955e-43,1.750187e-42,2.104424e-01,2.104424e-01,0.000000,1.000000
BP1,3.0754,2.186568e-01,6.414036e-43,1.924211e-42,2.186568e-01,2.186568e-01,0.000000,1.000000
BP1,3.1526,2.271279e-01,7.050189e-43,2.115057e-42,2.271279e-01,2.271279e-01,0.000000,1.000000
BP1,3.2318,2.358566e-01,7.747578e-43,2.324273e-42,2.358566e-01,2.358566e-01,0.000000,1.000000
BP1,3.3130,2.448430e-01,8.511805e-43,2.553541e-42,2.448430e-01,2.448430e-01,0.000000,1.000000
BP1,3.3962,2.540868e-01,9.348936e-43,2.804681e-42,2.540868e-01,2.540868e-01,0.000000,1.000000
BP1,3.4816,2.635867e-01,1.026554e-42,3.079661e-42,2.635867e-01,2.635867e-01,0.000000,1.000000
BP1,3.5690,2.733411e-01,1.126870e-42,3.380609e-42,2.733411e-01,2.733411e-01,0.000000,1.000000
BP1,3.6587,2.833474e-01,1.236607e-42,3.709822e-42,2.833474e-01,2.833474e-01,0.000000,1.000000
BP1,3.7506,2.936024e-01,1.356591e-42,4.069774e-42,2.936024e-01,2.936024e-01,0.000000,1.000000
BP1,3.8448,3.041019e-01,1.487709e-42,4.463127e-42,3.041019e-01,3.041019e-01,0.000000,1.000000
BP1,3.9414,3.148412e-01,1.630914e-42,4.892742e-42,3.148412e-01,3.148412e-01,0.000000,1.000000
BP1,4.0404,3.258147e-01,1.787228e-42,5.361685e-42,3.258147e-01,3.258147e-01,0.000000,1.000000
BP1,4.1419,3.370159e-01,1.957747e-42,5.873241e-42,3.370159e-01,3.370159e-01,0.000000,1.000000
BP1,4.2460,3.484376e-01,2.143638e-42,6.430914e-42,3.484376e-01,3.484376e-01,0.000000,1.000000
BP1,4.3526,3.600719e-01,2.346148e-42,7.038443e-42,3.600719e-01,3.600719e-01,0.000000,1.000000
BP1,4.4620,3.719100e-01,2.566600e-42,7.699801e-42,3.719100e-01,3.719100e-01,0.000000,1.000000
BP1,4.5741,3.839422e-01,2.806400e-42,8.419201e-42,3.839422e-01,3.839422e-01,0.000000,1.000000
BP1,4.6890,3.961584e-01,3.067033e-42,9.201098e-42,3.961584e-01,3.961584e-01,0.000000,1.000000
BP1,4.8068,4.085474e-01,3.350063e-42,1.005019e-41,4.085474e-01,4.085474e-01,0.000000,1.000000
BP1,4.9275,4.210977e-01,3.657133e-42,1.097140e-41,4.210977e-01,4.210977e-01,0.000000,1.000000
BP1,5.0513,4.337967e-01,3.989962e-42,1.196988e-41,4.337967e-01,4.337967e-01,0.000000,1.000000
BP1,5.1782,4.466316e-01,4.350328e-42,1.305098e-41,4.466316e-01,4.466316e-01,0.000000,1.000000
BP1,5.3083,4.595888e-01,4.740035e-42,1.422010e-41,4.595888e-01,4.595888e-01,0.000000,1.000000
BP1,5.4417,4.726543e-01,5.160748e-42,1.548225e-41,4.726543e-01,4.726543e-01,0.000000,1.000000
BP1,5.5784,4.858135e-01,5.613357e-42,1.684007e-41,4.858135e-01,4.858135e-01,0.000000,1.000000
BP1,5.7185,4.990515e-01,6.095375e-42,1.828613e-41,4.990515e-01,4.990515e-01,0.000000,1.000000
BP1,5.8622,5.123531e-01,6.590832e-42,1.977250e-41,5.123531e-01,5.123531e-01,0.000000,1.000000
BP1,6.0094,5.257027e-01,7.032497e-42,2.109749e-41,5.257027e-01,5.257027e-01,0.000000,1.000000
BP1,6.1604,5.390846e-01,7.170577e-42,2.151173e-41,5.390846e-01,5.390846e-01,0.000000,1.000000
BP1,6.3152,5.524829e-01,6.193850e-42,1.858155e-41,5.524829e-01,5.524829e-01,0.000000,1.000000
BP1,6.4738,5.658817e-01,2.431248e-42,7.293743e-42,5.658817e-01,5.658817e-01,0.000000,1.000000
BP1,6.6364,5.792650e-01,3.321824e-42,9.965472e-42,5.792650e-01,5.792650e-01,0.000000,1.000000
BP1,6.8031,5.926168e-01,1.706214e-40,5.118642e-40,5.926168e-01,5.926168e-01,0.000000,1.000000
BP1,6.9741,6.059215e-01,2.373229e-39,7.119687e-39,6.059215e-01,6.059215e-01,0.000000,1.000000
BP1,7.1493,6.191634e-01,2.496612e-38,7.489837e-38,6.191634e-01,6.191634e-01,0.000000,1.000000
BP1,7.3289,6.323273e-01,2.333806e-37,7.001418e-37,6.323273e-01,6.323273e-01,0.000000,1.000000
BP1,7.5130,6.453981e-01,2.025152e-36,6.075456e-36,6.453981e-01,6.453981e-01,0.000000,1.000000
BP1,7.7017,6.583614e-01,1.654725e-35,4.964176e-35,6.583614e-01,6.583614e-01,0.000000,1.000000
BP1,7.8952,6.712029e-01,1.280157e-34,3.840472e-34,6.712029e-01,6.712029e-01,0.000000,1.000000
BP1,8.0935,6.839089e-01,9.402492e-34,2.820747e-33,6.839089e-01,6.839089e-01,0.000000,1.000000
BP1,8.2968,6.964665e-01,6.567857e-33,1.970357e-32,6.964665e-01,6.964665e-01,0.000000,1.000000
BP1,8.5053,7.088629e-01,4.369324e-32,1.310797e-31,7.088629e-01,7.088629e-01,0.000000,1.000000
BP1,8.7189,7.210864e-01,2.771802e-31,8.315405e-31,7.210864e-01,7.210864e-01,0.000000,1.000000
BP1,8.9380,7.331255e-01,1.678745e-30,5.036236e-30,7.331255e-01,7.331255e-01,0.000000,1.000000
