alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
5.000000e-04,2.774948e-04,1.802,4.2374,0.269107,0.224581,0.217087,0.159895,0.074841,0.016330,0.004248
5.044101e-04,2.750686e-04,1.834,4.2748,0.271248,0.226560,0.219362,0.161843,0.075903,0.016602,0.004322
5.088592e-04,2.726636e-04,1.866,4.3125,0.273399,0.228552,0.221657,0.163809,0.076978,0.016878,0.004397
5.133475e-04,2.702797e-04,1.899,4.3505,0.275560,0.230557,0.223972,0.165795,0.078065,0.017158,0.004474
5.178753e-04,2.679166e-04,1.933,4.3889,0.277732,0.232575,0.226306,0.167799,0.079165,0.017443,0.004552
5.224432e-04,2.655742e-04,1.967,4.4276,0.279915,0.234607,0.228660,0.169822,0.080277,0.017733,0.004631
5.270513e-04,2.632522e-04,2.002,4.4666,0.282108,0.236652,0.231034,0.171864,0.081402,0.018027,0.004711
5.317000e-04,2.609505e-04,2.038,4.5060,0.284311,0.238711,0.233428,0.173925,0.082541,0.018325,0.004793
5.363897e-04,2.586690e-04,2.074,4.5458,0.286525,0.240783,0.235843,0.176005,0.083692,0.018628,0.004877
5.411209e-04,2.564074e-04,2.110,4.5859,0.288749,0.242868,0.238278,0.178105,0.084856,0.018936,0.004961
5.458937e-04,2.541656e-04,2.148,4.6263,0.290984,0.244968,0.240734,0.180224,0.086033,0.019249,0.005048
5.507086e-04,2.519434e-04,2.186,4.6671,0.293229,0.247081,0.243210,0.182362,0.087224,0.019566,0.005135
5.555660e-04,2.497406e-04,2.225,4.7083,0.295485,0.249208,0.245707,0.184520,0.088428,0.019888,0.005224
5.604663e-04,2.475571e-04,2.264,4.7498,0.297751,0.251348,0.248225,0.186698,0.089645,0.020216,0.005315
5.654098e-04,2.453926e-04,2.304,4.7917,0.300028,0.253503,0.250764,0.188896,0.090875,0.020548,0.005407
5.703968e-04,2.432471e-04,2.345,4.8340,0.302315,0.255672,0.253325,0.191113,0.092119,0.020885,0.005501
5.754279e-04,2.411204e-04,2.386,4.8766,0.304613,0.257856,0.255907,0.193350,0.093377,0.021228,0.005596
5.805034e-04,2.390122e-04,2.429,4.9196,0.306921,0.260053,0.258510,0.195607,0.094648,0.021575,0.005693
5.856236e-04,2.369225e-04,2.472,4.9630,0.309240,0.262265,0.261135,0.197884,0.095933,0.021928,0.005792
