v_km_s,BP1_S0,BP1_sigmaT_Maj,BP1_sigmaT_Dir,BP1_Phi_Maj,BP1_Phi_Dir,MAP_S0,MAP_sigmaT_Maj,MAP_sigmaT_Dir,MAP_Phi_Maj,MAP_Phi_Dir
3.0000,2.80979379e+02,1.05221203e-01,2.10442407e-01,2.67036842e+03,1.33518421e+03,4.06715095e+02,1.38211286e+00,2.76422571e+00,2.94270539e+02,1.47135269e+02
3.0754,2.80871228e+02,1.09328409e-01,2.18656818e-01,2.56905986e+03,1.28452993e+03,4.06613310e+02,1.38147778e+00,2.76295556e+00,2.94332139e+02,1.47166070e+02
3.1526,2.80757665e+02,1.13563970e-01,2.27127940e-01,2.47224243e+03,1.23612122e+03,4.06506424e+02,1.38080983e+00,2.76161966e+00,2.94397111e+02,1.47198555e+02
3.2318,2.80638426e+02,1.17928299e-01,2.35856599e-01,2.37973775e+03,1.18986888e+03,4.06394186e+02,1.38010753e+00,2.76021506e+00,2.94465596e+02,1.47232798e+02
3.3130,2.80513232e+02,1.22421506e-01,2.44843012e-01,2.29137217e+03,1.14568609e+03,4.06276334e+02,1.37936932e+00,2.75873863e+00,2.94537749e+02,1.47268875e+02
3.3962,2.80381791e+02,1.27043377e-01,2.54086755e-01,2.20697684e+03,1.10348842e+03,4.06152590e+02,1.37859353e+00,2.75718705e+00,2.94613737e+02,1.47306868e+02
3.4816,2.80243798e+02,1.31793365e-01,2.63586729e-01,2.12638776e+03,1.06319388e+03,4.06022667e+02,1.37777840e+00,2.75555680e+00,2.94693738e+02,1.47346869e+02
3.5690,2.80098933e+02,1.36670568e-01,2.73341136e-01,2.04944589e+03,1.02472294e+03,4.05886261e+02,1.37692209e+00,2.75384418e+00,2.94777943e+02,1.47388971e+02
3.6587,2.79946862e+02,1.41673724e-01,2.83347449e-01,1.97599706e+03,9.87998528e+02,4.05743055e+02,1.37602264e+00,2.75204527e+00,2.94866556e+02,1.47433278e+02
3.7506,2.79787236e+02,1.46801197e-01,2.93602394e-01,1.90589206e+03,9.52946031e+02,4.05592719e+02,1.37507798e+00,2.75015597e+00,2.94959795e+02,1.47479897e+02
3.8448,2.79619688e+02,1.52050965e-01,3.04101930e-01,1.83898660e+03,9.19493302e+02,4.05434906e+02,1.37408597e+00,2.74817194e+00,2.95057889e+02,1.47528944e+02
3.9414,2.79443835e+02,1.57420617e-01,3.14841235e-01,1.77514127e+03,8.87570637e+02,4.05269251e+02,1.37304433e+00,2.74608866e+00,2.95161083e+02,1.47580541e+02
4.0404,2.79259279e+02,1.62907348e-01,3.25814696e-01,1.71422150e+03,8.57110752e+02,4.05095376e+02,1.37195068e+00,2.74390135e+00,2.95269635e+02,1.47634818e+02
4.1419,2.79065600e+02,1.68507951e-01,3.37015902e-01,1.65609752e+03,8.28048761e+02,4.04912884e+02,1.37080252e+00,2.74160503e+00,2.95383820e+02,1.47691910e+02
4.2460,2.78862362e+02,1.74218823e-01,3.48437647e-01,1.60064427e+03,8.00322136e+02,4.04721356e+02,1.36959723e+00,2.73919447e+00,2.95503923e+02,1.47751962e+02
4.3526,2.78649108e+02,1.80035965e-01,3.60071931e-01,1.54774135e+03,7.73870676e+02,4.04520365e+02,1.36833208e+00,2.73666417e+00,2.95630257e+02,1.47815128e+02
4.4620,2.78425363e+02,1.85954986e-01,3.71909971e-01,1.49727291e+03,7.48636456e+02,4.04309454e+02,1.36700420e+00,2.73400841e+00,2.95763139e+02,1.47881569e+02
4.5741,2.78190628e+02,1.91971109e-01,3.83942218e-01,1.44912757e+03,7.24563787e+02,4.04088140e+02,1.36561059e+00,2.73122118e+00,2.95902905e+02,1.47951452e+02
4.6890,2.77944384e+02,1.98079187e-01,3.96158374e-01,1.40319832e+03,7.01599162e+02,4.03855952e+02,1.36414810e+00,2.72829621e+00,2.96049931e+02,1.48024966e+02
4.8068,2.77686089e+02,2.04273711e-01,4.08547422e-01,1.35938241e+03,6.79691205e+02,4.03612347e+02,1.36261347e+00,2.72522693e+00,2.96204578e+02,1.48102289e+02
4.9275,2.77415180e+02,2.10548826e-01,4.21097651e-01,1.31758123e+03,6.58790613e+02,4.03356810e+02,1.36100325e+00,2.72200650e+00,2.96367263e+02,1.48183632e+02
5.0513,2.77131067e+02,2.16898351e-01,4.33796702e-01,1.27770020e+03,6.38850100e+02,4.03088766e+02,1.35931388e+00,2.71862776e+00,2.96538401e+02,1.48269201e+02
5.1782,2.76833136e+02,2.23315800e-01,4.46631601e-01,1.23964868e+03,6.19824338e+02,4.02807635e+02,1.35754162e+00,2.71508324e+00,2.96718442e+02,1.48359222e+02
5.3083,2.76520750e+02,2.29794404e-01,4.59588808e-01,1.20333979e+03,6.01669896e+02,4.02512793e+02,1.35568257e+00,2.71136513e+00,2.96907846e+02,1.48453924e+02
5.4417,2.76193243e+02,2.36327134e-01,4.72654268e-01,1.16869036e+03,5.84345179e+02,4.02203606e+02,1.35373267e+00,2.70746530e+00,2.97107114e+02,1.48553559e+02
5.5784,2.75849923e+02,2.42906734e-01,4.85813469e-01,1.13562073e+03,5.67810365e+02,4.01879415e+02,1.35168768e+00,2.70337529e+00,2.97316771e+02,1.48658389e+02
5.7185,2.75490071e+02,2.49525746e-01,4.99051492e-01,1.10405469e+03,5.52027347e+02,4.01539553e+02,1.34954319e+00,2.69908626e+00,2.97537387e+02,1.48768700e+02
5.8622,2.75112939e+02,2.56176541e-01,5.12353081e-01,1.07391933e+03,5.36959665e+02,4.01183244e+02,1.34729460e+00,2.69458900e+00,2.97769503e+02,1.48884763e+02
6.0094,2.74717751e+02,2.62851352e-01,5.25702705e-01,1.04514490e+03,5.22572451e+02,4.00809803e+02,1.34493715e+00,2.68987396e+00,2.98013779e+02,1.49006909e+02
6.1604,2.74303699e+02,2.69542309e-01,5.39084618e-01,1.01766472e+03,5.08832362e+02,4.00418416e+02,1.34246589e+00,2.68493117e+00,2.98270831e+02,1.49135449e+02
6.3152,2.73869949e+02,2.76241469e-01,5.52482938e-01,9.91415048e+02,4.95707524e+02,4.00008274e+02,1.33987566e+00,2.67975031e+00,2.98541339e+02,1.49270726e+02
6.4738,2.73415633e+02,2.82940853e-01,5.65881705e-01,9.66334944e+02,4.83167472e+02,3.99578564e+02,1.33716116e+00,2.67432064e+00,2.98826032e+02,1.49413110e+02
6.6364,2.72939853e+02,2.89632479e-01,5.79264959e-01,9.42366179e+02,4.71183090e+02,3.99128393e+02,1.33431690e+00,2.66863104e+00,2.99125637e+02,1.49562973e+02
6.8031,2.72441679e+02,2.96308400e-01,5.92616800e-01,9.19453107e+02,4.59726553e+02,3.98656883e+02,1.33133725e+00,2.66267000e+00,2.99440945e+02,1.49720725e+02
6.9741,2.71920150e+02,3.02960733e-01,6.05921465e-01,8.97542555e+02,4.48771278e+02,3.98163050e+02,1.32821642e+00,2.65642564e+00,2.99772721e+02,1.49886767e+02
7.1493,2.71374273e+02,3.09581694e-01,6.19163388e-01,8.76583719e+02,4.38291859e+02,3.97645998e+02,1.32494855e+00,2.64988571e+00,3.00121840e+02,1.50061565e+02
7.3289,2.70803021e+02,3.16163634e-01,6.32327268e-01,8.56528051e+02,4.28264026e+02,3.97104675e+02,1.32152773e+00,2.64303764e+00,3.00489098e+02,1.50245562e+02
