run_id,timestamp_start,script,stage,params_json,data_source,output_files,n_viable,status,duration_sec,git_hash,notes
1,2026-03-25 21:00:55,core/v22_raw_scan_fast.py,0 - VPM Scan (grain),"{""n_chi"":50,""n_phi"":70,""n_res"":4,""n_alpha"":200,""n_workers"":14,""sigma_m_30_lo"":0.5,""sigma_m_30_hi"":10.0,""sigma_m_1000_hi"":1.0,""grain_mode"":true}",grid scan from scratch,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\all_viable_raw_v8_2026_03_26_r1.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\all_viable_representative_v8_2026_03_26_r1.csv,194313,OK,34561.57,70452de,"raw=194313, rep=1334, BBN-safe=1085, grain_mode=True"
2,2026-03-26 07:53:31,relic_density/smart_scan.py,1 - Relic Density,"{""n_chi"":20,""n_phi"":30,""target_omega"":0.12,""sigma_m_30_lo"":0.5,""sigma_m_30_hi"":10.0,""sigma_m_1000_hi"":0.47}",,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v31_true_viable_points_2026_03_26_r002.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v31_all_relic_points_2026_03_26_r002.csv,122,OK,238.42,70452de,
3,2026-03-26 08:23:10,observations/chi2_fit.py,3 - Chi2 Fit,"{""n_obs"":13,""n_workers"":12}",C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\all_viable_raw_v8_2026_03_26_r1.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v31_true_viable_points_2026_03_26_r002.csv,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v34_results_2026_03_26_r003.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\observations\v34_chi2_fit.png,,OK,5802.14,70452de,
4,2026-03-26 10:31:04,observations/observational_comparison.py,3 - Observational Comparison,"{""n_benchmarks"":3,""n_obs"":13}",,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\observations\v33_observational_comparison.png,,OK,30.91,70452de,
5,2026-03-26 13:49:30,dark_energy_exploration/vev_scan.py,9 - Dark Energy Exploration,"{""N_delta"":25,""N_mu3"":12,""N_lam4"":12,""mu3_range"":""[1.7, 80] \u00d7 m_phi"",""lam4_range"":""[1e-4, 4\u03c0]""}",global_config.json (benchmark points),C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\dark_energy_exploration\vev_scan_results.csv,,OK,7.6,e9af6a7,VEV scan: effective potential with CP violation
6,2026-03-26 14:14:38,dark_energy_exploration/vev_scan.py,9 - Dark Energy Exploration,"{""N_ratio"":30,""N_mu3"":12,""N_lam4"":12,""r_range"":""[0.010, 10.0]"",""mu3_range"":""[1.7, 80] \u00d7 m_phi"",""lam4_range"":""[1e-4, 4\u03c0]"",""parameterization"":""hyperbola: alpha_s * alpha_p = alpha^2/8""}",global_config.json (benchmark points),C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\dark_energy_exploration\vev_scan_results.csv,,OK,9.53,e9af6a7,VEV scan V2: CORRECTED parameterization (hyperbola)
7,2026-03-26 23:26:10,relic_density/boltzmann_correction.py,1 - Relic Density verify,"{""m_chi_GeV"":18.421,""m_phi_MeV"":8.2,""alpha_KT"":0.000819}",,,,PARTIAL,3.09,cdc16c2,KT→Boltzmann delta_alpha=15.12%
8,2026-03-26 23:38:35,cosmology/mediator_cosmology.py,Cosmology Validation,"{""tests"":5}",,,,OK,0.01,cdc16c2,ALL PASS
9,2026-03-26 23:38:35,cosmology/bsf_estimate.py,Cosmology Validation,"{""tests"":6}",,,,OK,0.02,cdc16c2,ALL PASS
10,2026-03-27 20:15:12,The_derivative_of_Lagernizan_SIDM/test_T1_alpha_convention.py,T1 — Alpha Convention,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""tolerance"":1e-12}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T1_alpha_convention_2026_03_27_r010.csv,,OK,0.0,4ef9a48,Tested 4 BPs × 3 conventions. See T1_alpha_convention_2026_03_27_r010.csv for full results.
11,2026-03-27 20:24:47,The_derivative_of_Lagernizan_SIDM/lagrangian_euler_lagrange.py,EL Pipeline — Layers 1–5,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_obs_velocities"":13}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\EL_pipeline_vs_v22_2026_03_27_r011.csv,,OK,0.0,4ef9a48,52/52 PASS. EL chain matches v22.
12,2026-03-27 20:28:45,The_derivative_of_Lagernizan_SIDM/test_T6_annihilation_relic.py,T6 — Annihilation Convention,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""omega_target"":0.12}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T6_annihilation_relic_2026_03_27_r012.csv,,OK,0.0,4ef9a48,Winner: α = y²/(4π). Tested 4 BPs × 3 conventions.
13,2026-03-27 20:51:00,The_derivative_of_Lagernizan_SIDM/test_T4_majorana_weights.py,T4 — Majorana Weights,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":5}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T4_majorana_weights_2026_03_27_r013.csv,,OK,0.0,4ef9a48,20/20 PASS. w_ℓ derived from Pauli exclusion.
14,2026-03-27 20:52:50,The_derivative_of_Lagernizan_SIDM/test_T8_transfer_vs_elastic.py,T8 — Transfer vs Elastic,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":9}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T8_transfer_vs_elastic_2026_03_27_r014.csv,,OK,0.0,4ef9a48,"36 measurements, 18 with |Δ|>5%. RMS deviation = 8.57%"
15,2026-03-27 20:58:55,The_Lagernizant_integral_SIDM/lagrangian_path_integral.py,PI Pipeline — Layers 1–7 + DE,"{""benchmarks"":[""BP1"",""MAP"",""MAP_relic""],""grids"":{""velocity"":40,""radius"":400,""theta"":200,""matsubara"":200},""mu_choice"":""m_chi"",""K_A4"":9}",global_config.json + data/config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_Lagernizant_integral_SIDM\data\archive\PI_summary_2026_03_27_r015.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_Lagernizant_integral_SIDM\data\archive\path_integral_full_2026_03_27_r015.png,,OK,0.91,4ef9a48,7 layers + DE computed for 3 BPs. All layers OK.
16,2026-03-27 21:00:11,The_derivative_of_Lagernizan_SIDM/test_T9_majorana_vs_dirac.py,T9 — Majorana vs Dirac R(v),"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":48}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T9_majorana_vs_dirac_2026_03_27_r016.csv,,OK,0.01,4ef9a48,"R(v) range=[1.000, 2.181], mean=1.733. 4 BPs × 48 velocities."
13,2026-03-27 20:50:18,The_derivative_of_Lagernizan_SIDM/run_pipeline.py,Pipeline Run,"{""steps"":[4,5,6],""force"":false}",docs/execution_pipeline.csv,,,OK,593.99,4ef9a48,"pass=3, fail=0, skip=0, elapsed=594.0s"
17,2026-03-27 21:23:01,The_Lagernizant_integral_SIDM/test_physics_checks.py,Physics Checks 1–6,"{""benchmarks"":[""BP1"",""MAP"",""MAP_relic""],""checks"":[""relic"",""A4"",""BBN"",""Neff"",""Sommerfeld"",""RG""]}",GC + data/config.json,,,FAILED,0.54,4ef9a48,"TypeError: string indices must be integers, not 'str'"
18,2026-03-27 21:23:21,The_Lagernizant_integral_SIDM/test_physics_checks.py,Physics Checks 1–6,"{""benchmarks"":[""BP1"",""MAP"",""MAP_relic""],""checks"":[""relic"",""A4"",""BBN"",""Neff"",""Sommerfeld"",""RG""]}",GC + data/config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_Lagernizant_integral_SIDM\data\archive\physics_checks_2026_03_27_r018.csv,,FAILED,0.53,4ef9a48,"TypeError: string indices must be integers, not 'str'"
