v0_km_s,BP1_sigma_fixed,BP1_sigma_avg,BP1_epsilon,BP1_eta,MAP_sigma_fixed,MAP_sigma_avg,MAP_epsilon,MAP_eta
5.0000,7.46204358e-01,7.41215560e-01,-6.68556578e-03,4.52056869e-02,1.41499241e+00,1.37605413e+00,-2.75183678e-02,-6.64004854e-02
5.2373,7.47769871e-01,7.42371301e-01,-7.21956111e-03,4.11901822e-02,1.41064323e+00,1.36951995e+00,-2.91521480e-02,-6.95700513e-02
5.4858,7.49059724e-01,7.43292204e-01,-7.69967891e-03,3.35573513e-02,1.40589418e+00,1.36283322e+00,-3.06288758e-02,-7.62019406e-02
5.7461,7.50100173e-01,7.43989023e-01,-8.14711151e-03,2.66747419e-02,1.40071137e+00,1.35609343e+00,-3.18537723e-02,-8.34416760e-02
6.0188,7.50914684e-01,7.44471201e-01,-8.58084550e-03,2.04519002e-02,1.39505897e+00,1.34942440e+00,-3.27115686e-02,-9.13316987e-02
6.3044,7.51523961e-01,7.44746817e-01,-9.01786781e-03,1.48022548e-02,1.38889965e+00,1.34297431e+00,-3.30659869e-02,-9.99066268e-02
6.6035,7.51946013e-01,7.44822548e-01,-9.47337191e-03,9.64351901e-03,1.38219551e+00,1.33691450e+00,-3.27602089e-02,-1.09184297e-01
6.9169,7.52196246e-01,7.44703650e-01,-9.96095891e-03,4.89790917e-03,1.37490973e+00,1.33143697e+00,-3.16186290e-02,-1.19151508e-01
7.2451,7.52287580e-01,7.44393959e-01,-1.04928247e-02,4.92202917e-04,1.36700918e+00,1.32675037e+00,-2.94502846e-02,-1.29742585e-01
7.5889,7.52230575e-01,7.43895918e-01,-1.10799231e-02,-3.64234151e-03,1.35846874e+00,1.32307465e+00,-2.60544080e-02,-1.40808965e-01
7.9490,7.52033558e-01,7.43210629e-01,-1.17320945e-02,-7.57018071e-03,1.34927748e+00,1.32063424e+00,-2.12285809e-02,-1.52078672e-01
8.3262,7.51702756e-01,7.42337931e-01,-1.24581486e-02,-1.13517742e-02,1.33944744e+00,1.31965038e+00,-1.47800206e-02,-1.63106139e-01
8.7213,7.51242418e-01,7.41276520e-01,-1.32658889e-02,-1.50439440e-02,1.32902527e+00,1.32033273e+00,-6.54053704e-03,-1.73215676e-01
9.1351,7.50654938e-01,7.40024115e-01,-1.41620636e-02,-1.87002872e-02,1.31810664e+00,1.32287078e+00,3.61437563e-03,-1.81446153e-01
9.5686,7.49940953e-01,7.38577677e-01,-1.51522283e-02,-2.23716237e-02,1.30685283e+00,1.32742551e+00,1.57421561e-02,-1.86509990e-01
10.0227,7.49099445e-01,7.36933693e-01,-1.62405032e-02,-2.61064656e-02,1.29550794e+00,1.33412186e+00,2.98060053e-02,-1.86785524e-01
10.4983,7.48127818e-01,7.35088540e-01,-1.74292113e-02,-2.99514935e-02,1.28441426e+00,1.34304214e+00,4.56456179e-02,-1.80366396e-01
10.9964,7.47021970e-01,7.33038927e-01,-1.87183825e-02,-3.39520289e-02,1.27402222e+00,1.35422102e+00,6.29492892e-02,-1.65191832e-01
11.5182,7.45776351e-01,7.30782431e-01,-2.01051159e-02,-3.81524873e-02,1.26489099e+00,1.36764202e+00,8.12331142e-02,-1.39273774e-01
12.0648,7.44384006e-01,7.28318116e-01,-2.15827976e-02,-4.25967937e-02,1.25767568e+00,1.38323591e+00,9.98351381e-02,-1.01017412e-01
12.6373,7.42836612e-01,7.25647239e-01,-2.31401796e-02,-4.73287305e-02,1.25309871e+00,1.40088072e+00,1.17933256e-01,-4.96005310e-02
13.2370,7.41124513e-01,7.22774019e-01,-2.47603395e-02,-5.23921692e-02,1.25190486e+00,1.42040361e+00,1.34593888e-01,1.46599008e-02
13.8651,7.39236749e-01,7.19706444e-01,-2.64195536e-02,-5.78311033e-02,1.25480319e+00,1.44158415e+00,1.48852790e-01,9.00542500e-02
14.5230,7.37161099e-01,7.16457094e-01,-2.80861333e-02,-6.36893556e-02,1.26240200e+00,1.46415904e+00,1.59819966e-01,1.73441957e-01
15.2122,7.34884143e-01,7.13043907e-01,-2.97192924e-02,-7.00097652e-02,1.27514583e+00,1.48782789e+00,1.66790386e-01,2.60491238e-01
15.9340,7.32391379e-01,7.09490865e-01,-3.12681372e-02,-7.68325813e-02,1.29326419e+00,1.51225987e+00,1.69335605e-01,3.46182570e-01
16.6901,7.29667406e-01,7.05828526e-01,-3.26708859e-02,-8.41927032e-02,1.31674019e+00,1.53710090e+00,1.67353219e-01,4.25474266e-01
17.4821,7.26696240e-01,7.02094338e-01,-3.38544510e-02,-9.21153287e-02,1.34530403e+00,1.56198135e+00,1.61061969e-01,4.93970160e-01
18.3117,7.23461801e-01,6.98332693e-01,-3.47345325e-02,-1.00609526e-01,1.37845156e+00,1.58652370e+00,1.50946289e-01,5.48430044e-01
19.1806,7.19948652e-01,6.94594661e-01,-3.52163887e-02,-1.09659275e-01,1.41548371e+00,1.61035030e+00,1.37667841e-01,5.87021963e-01
20.0908,7.16143073e-01,6.90937372e-01,-3.51964589e-02,-1.19211662e-01,1.45555955e+00,1.63309077e+00,1.21967683e-01,6.09301921e-01
21.0441,7.12034527e-01,6.87423041e-01,-3.45650173e-02,-1.29162197e-01,1.49775412e+00,1.65438915e+00,1.04579937e-01,6.15981175e-01
22.0427,7.07617611e-01,6.84117618e-01,-3.32100173e-02,-1.39337707e-01,1.54111337e+00,1.67391042e+00,8.61695571e-02,6.08579004e-01
23.0887,7.02894490e-01,6.81089113e-01,-3.10222616e-02,-1.49477938e-01,1.58470001e+00,1.69134642e+00,6.72975392e-02,5.89056869e-01
24.1843,6.97877806e-01,6.78405634e-01,-2.79019789e-02,-1.59217825e-01,1.62762742e+00,1.70642102e+00,4.84100911e-02,5.59502820e-01
25.3319,6.92593933e-01,6.76133204e-01,-2.37667827e-02,-1.68073357e-01,1.66908085e+00,1.71889445e+00,2.98449252e-02,5.21900717e-01
26.5340,6.87086369e-01,6.74333459e-01,-1.85608534e-02,-1.75434814e-01,1.70832751e+00,1.72856677e+00,1.18474103e-02,4.77990390e-01
27.7931,6.81418929e-01,6.73061319e-01,-1.22650106e-02,-1.80571823e-01,1.74471828e+00,1.73528033e+00,-5.40943976e-03,4.29207078e-01
29.1119,6.75678320e-01,6.72362718e-01,-4.90707067e-03,-1.82654701e-01,1.77768432e+00,1.73892133e+00,-2.18053296e-02,3.76680767e-01
30.4933,6.69975576e-01,6.72272535e-01,3.42842174e-03,-1.80795848e-01,1.80673170e+00,1.73942036e+00,-3.72558545e-02,3.21274989e-01
31.9403,6.64445882e-01,6.72812787e-01,1.25923047e-02,-1.74113001e-01,1.83143660e+00,1.73675206e+00,-5.16996005e-02,2.63647041e-01
33.4559,6.59246312e-01,6.73991186e-01,2.23662588e-02,-1.61813023e-01,1.85144290e+00,1.73093374e+00,-6.50893222e-02,2.04315155e-01
35.0435,6.54551246e-01,6.75800119e-01,3.24632698e-02,-1.43290644e-01,1.86646283e+00,1.72202325e+00,-7.73867968e-02,1.43721733e-01
36.7064,6.50545409e-01,6.78216105e-01,4.25346121e-02,-1.18231710e-01,1.87628055e+00,1.71011605e+00,-8.85605822e-02,8.22851624e-02
38.4482,6.47414833e-01,6.81199742e-01,5.21843302e-02,-8.67062487e-02,1.88075767e+00,1.69534161e+00,-9.85858348e-02,2.04358725e-02
40.2727,6.45336292e-01,6.84696151e-01,6.09912376e-02,-4.92342406e-02,1.87983918e+00,1.67785929e+00,-1.07445303e-01,-4.13647586e-02
42.1837,6.44466071e-01,6.88635899e-01,6.85370872e-02,-6.80802332e-03,1.87355802e+00,1.65785390e+00,-1.15130738e-01,-1.02621359e-01
44.1854,6.44929052e-01,6.92936350e-01,7.44381085e-02,3.91396129e-02,1.86203694e+00,1.63553074e+00,-1.21644309e-01,-1.62814016e-01
46.2821,6.46809143e-01,6.97503409e-01,7.83759272e-02,8.68235946e-02,1.84548652e+00,1.61111083e+00,-1.26999406e-01,-2.21415552e-01
48.4783,6.50141955e-01,7.02233558e-01,8.01234286e-02,1.34242058e-01,1.82419907e+00,1.58482569e+00,-1.31221088e-01,-2.77911619e-01
50.7787,6.54910375e-01,7.07016140e-01,7.95616731e-02,1.79340306e-01,1.79853878e+00,1.55691255e+00,-1.34345851e-01,-3.31819220e-01
53.1882,6.61043365e-01,7.11735791e-01,7.66854788e-02,2.20178466e-01,1.76892892e+00,1.52760962e+00,-1.36421138e-01,-3.82700558e-01
55.7121,6.68417971e-01,7.16274936e-01,7.15973651e-02,2.55078016e-01,1.73583741e+00,1.49715156e+00,-1.37504728e-01,-4.30170788e-01
58.3558,6.76864206e-01,7.20516270e-01,6.44916129e-02,2.82728034e-01,1.69976182e+00,1.46576574e+00,-1.37664036e-01,-4.73900473e-01
61.1249,6.86172232e-01,7.24345164e-01,5.56317058e-02,3.02241421e-01,1.66121485e+00,1.43366867e+00,-1.36975765e-01,-5.13613748e-01
64.0254,6.96101138e-01,7.27651904e-01,4.53249742e-02,3.13161482e-01,1.62071121e+00,1.40106306e+00,-1.35525781e-01,-5.49085496e-01
67.0636,7.06388578e-01,7.30333732e-01,3.38979904e-02,3.15427461e-01,1.57875587e+00,1.36813577e+00,-1.33408913e-01,-5.80140183e-01
70.2459,7.16760594e-01,7.32296616e-01,2.16753295e-02,3.09312203e-01,1.53583403e+00,1.33505598e+00,-1.30729005e-01,-6.06653905e-01
73.5792,7.26941049e-01,7.33456750e-01,8.96317640e-03,2.95346077e-01,1.49240248e+00,1.30197412e+00,-1.27598531e-01,-6.28561311e-01
77.0707,7.36660276e-01,7.33741732e-01,-3.96185809e-03,2.74239297e-01,1.44888225e+00,1.26902175e+00,-1.24137416e-01,-6.45864845e-01
80.7279,7.45662644e-01,7.33091419e-01,-1.68591318e-02,2.46811310e-01,1.40565254e+00,1.23631036e+00,-1.20472294e-01,-6.58653081e-01
84.5586,7.53712923e-01,7.31458482e-01,-2.95264161e-02,2.13932125e-01,1.36304486e+00,1.20393325e+00,-1.16732483e-01,-6.67109734e-01
88.5711,7.60601369e-01,7.28808624e-01,-4.17994848e-02,1.76477181e-01,1.32133976e+00,1.17196698e+00,-1.13046456e-01,-6.71522214e-01
92.7740,7.66147564e-01,7.25120543e-01,-5.35497647e-02,1.35295072e-01,1.28076363e+00,1.14046830e+00,-1.09540378e-01,-6.72287991e-01
