benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
BP1,3.0000,7.007943e-01,4.851375e-39,1.455412e-38,7.007943e-01,7.007943e-01,0.000000,1.000000
BP1,3.0754,7.046095e-01,5.457464e-38,1.637239e-37,7.046095e-01,7.046095e-01,0.000000,1.000000
BP1,3.1526,7.082235e-01,5.275870e-37,1.582761e-36,7.082235e-01,7.082235e-01,0.000000,1.000000
BP1,3.2318,7.116417e-01,4.687685e-36,1.406306e-35,7.116417e-01,7.116417e-01,0.000000,1.000000
BP1,3.3130,7.148697e-01,3.908410e-35,1.172523e-34,7.148697e-01,7.148697e-01,0.000000,1.000000
BP1,3.3962,7.179134e-01,3.080948e-34,9.242844e-34,7.179134e-01,7.179134e-01,0.000000,1.000000
BP1,3.4816,7.207787e-01,2.303937e-33,6.911810e-33,7.207787e-01,7.207787e-01,0.000000,1.000000
BP1,3.5690,7.234720e-01,1.637634e-32,4.912901e-32,7.234720e-01,7.234720e-01,0.000000,1.000000
BP1,3.6587,7.259994e-01,1.108075e-31,3.324225e-31,7.259994e-01,7.259994e-01,0.000000,1.000000
BP1,3.7506,7.283672e-01,7.146467e-31,2.143940e-30,7.283672e-01,7.283672e-01,0.000000,1.000000
BP1,3.8448,7.305818e-01,4.398550e-30,1.319565e-29,7.305818e-01,7.305818e-01,0.000000,1.000000
BP1,3.9414,7.326495e-01,2.586594e-29,7.759783e-29,7.326495e-01,7.326495e-01,0.000000,1.000000
BP1,4.0404,7.345766e-01,1.454912e-28,4.364736e-28,7.345766e-01,7.345766e-01,0.000000,1.000000
BP1,4.1419,7.363694e-01,7.836291e-28,2.350887e-27,7.363694e-01,7.363694e-01,0.000000,1.000000
BP1,4.2460,7.380338e-01,4.045886e-27,1.213766e-26,7.380338e-01,7.380338e-01,0.000000,1.000000
BP1,4.3526,7.395758e-01,2.004464e-26,6.013392e-26,7.395758e-01,7.395758e-01,0.000000,1.000000
BP1,4.4620,7.410014e-01,9.539058e-26,2.861717e-25,7.410014e-01,7.410014e-01,0.000000,1.000000
BP1,4.5741,7.423162e-01,4.364813e-25,1.309444e-24,7.423162e-01,7.423162e-01,0.000000,1.000000
BP1,4.6890,7.435257e-01,1.922200e-24,5.766599e-24,7.435257e-01,7.435257e-01,0.000000,1.000000
BP1,4.8068,7.446352e-01,8.154808e-24,2.446442e-23,7.446352e-01,7.446352e-01,0.000000,1.000000
BP1,4.9275,7.456497e-01,3.335883e-23,1.000765e-22,7.456497e-01,7.456497e-01,0.000000,1.000000
BP1,5.0513,7.465743e-01,1.316981e-22,3.950944e-22,7.465743e-01,7.465743e-01,0.000000,1.000000
BP1,5.1782,7.474136e-01,5.022274e-22,1.506682e-21,7.474136e-01,7.474136e-01,0.000000,1.000000
BP1,5.3083,7.481719e-01,1.851588e-21,5.554764e-21,7.481719e-01,7.481719e-01,0.000000,1.000000
BP1,5.4417,7.488537e-01,6.605008e-21,1.981502e-20,7.488537e-01,7.488537e-01,0.000000,1.000000
BP1,5.5784,7.494628e-01,2.281606e-20,6.844818e-20,7.494628e-01,7.494628e-01,0.000000,1.000000
BP1,5.7185,7.500030e-01,7.638196e-20,2.291459e-19,7.500030e-01,7.500030e-01,0.000000,1.000000
BP1,5.8622,7.504779e-01,2.480047e-19,7.440142e-19,7.504779e-01,7.504779e-01,0.000000,1.000000
BP1,6.0094,7.508908e-01,7.815851e-19,2.344755e-18,7.508908e-01,7.508908e-01,0.000000,1.000000
BP1,6.1604,7.512448e-01,2.392542e-18,7.177627e-18,7.512448e-01,7.512448e-01,0.000000,1.000000
BP1,6.3152,7.515427e-01,7.119054e-18,2.135716e-17,7.515427e-01,7.515427e-01,0.000000,1.000000
BP1,6.4738,7.517873e-01,2.060482e-17,6.181447e-17,7.517873e-01,7.517873e-01,0.000000,1.000000
BP1,6.6364,7.519808e-01,5.804927e-17,1.741478e-16,7.519808e-01,7.519808e-01,0.000000,1.000000
BP1,6.8031,7.521256e-01,1.592927e-16,4.778780e-16,7.521256e-01,7.521256e-01,0.000000,1.000000
BP1,6.9741,7.522237e-01,4.260385e-16,1.278116e-15,7.522237e-01,7.522237e-01,0.000000,1.000000
BP1,7.1493,7.522770e-01,1.111302e-15,3.333907e-15,7.522770e-01,7.522770e-01,0.000000,1.000000
BP1,7.3289,7.522869e-01,2.828884e-15,8.486652e-15,7.522869e-01,7.522869e-01,0.000000,1.000000
BP1,7.5130,7.522551e-01,7.031702e-15,2.109511e-14,7.522551e-01,7.522551e-01,0.000000,1.000000
BP1,7.7017,7.521827e-01,1.707751e-14,5.123254e-14,7.521827e-01,7.521827e-01,0.000000,1.000000
BP1,7.8952,7.520709e-01,4.054691e-14,1.216407e-13,7.520709e-01,7.520709e-01,0.000000,1.000000
BP1,8.0935,7.519206e-01,9.416817e-14,2.825045e-13,7.519206e-01,7.519206e-01,0.000000,1.000000
BP1,8.2968,7.517325e-01,2.140434e-13,6.421302e-13,7.517325e-01,7.517325e-01,0.000000,1.000000
BP1,8.5053,7.515073e-01,4.764127e-13,1.429238e-12,7.515073e-01,7.515073e-01,0.000000,1.000000
BP1,8.7189,7.512455e-01,1.038904e-12,3.116712e-12,7.512455e-01,7.512455e-01,0.000000,1.000000
BP1,8.9380,7.509472e-01,2.220749e-12,6.662246e-12,7.509472e-01,7.509472e-01,0.000000,1.000000
BP1,9.1625,7.506127e-01,4.655552e-12,1.396666e-11,7.506127e-01,7.506127e-01,0.000000,1.000000
BP1,9.3927,7.502419e-01,9.576379e-12,2.872914e-11,7.502419e-01,7.502419e-01,0.000000,1.000000
BP1,9.6287,7.498349e-01,1.933728e-11,5.801185e-11,7.498349e-01,7.498349e-01,0.000000,1.000000
BP1,9.8705,7.493913e-01,3.834901e-11,1.150470e-10,7.493913e-01,7.493913e-01,0.000000,1.000000
BP1,10.1185,7.489107e-01,7.472622e-11,2.241787e-10,7.489107e-01,7.489107e-01,0.000000,1.000000
BP1,10.3727,7.483927e-01,1.431341e-10,4.294022e-10,7.483927e-01,7.483927e-01,0.000000,1.000000
BP1,10.6333,7.478366e-01,2.696189e-10,8.088566e-10,7.478366e-01,7.478366e-01,0.000000,1.000000
BP1,10.9004,7.472417e-01,4.996623e-10,1.498987e-09,7.472417e-01,7.472417e-01,0.000000,1.000000
BP1,11.1742,7.466071e-01,9.113795e-10,2.734138e-09,7.466071e-01,7.466071e-01,0.000000,1.000000
BP1,11.4550,7.459319e-01,1.636783e-09,4.910348e-09,7.459319e-01,7.459319e-01,0.000000,1.000000
BP1,11.7427,7.452149e-01,2.895481e-09,8.686442e-09,7.452149e-01,7.452149e-01,0.000000,1.000000
BP1,12.0377,7.444550e-01,5.047224e-09,1.514167e-08,7.444550e-01,7.444550e-01,0.000000,1.000000
BP1,12.3401,7.436508e-01,8.672556e-09,2.601767e-08,7.436508e-01,7.436508e-01,0.000000,1.000000
BP1,12.6501,7.428009e-01,1.469470e-08,4.408409e-08,7.428009e-01,7.428009e-01,0.000000,1.000000
BP1,12.9679,7.419038e-01,2.456098e-08,7.368293e-08,7.419039e-01,7.419038e-01,0.000000,1.000000
BP1,13.2937,7.409578e-01,4.050891e-08,1.215267e-07,7.409579e-01,7.409578e-01,0.000000,1.000000
BP1,13.6277,7.399612e-01,6.595082e-08,1.978525e-07,7.399614e-01,7.399612e-01,0.000000,1.000000
BP1,13.9700,7.389121e-01,1.060219e-07,3.180657e-07,7.389124e-01,7.389122e-01,0.000000,1.000000
BP1,14.3210,7.378085e-01,1.683503e-07,5.050510e-07,7.378090e-01,7.378087e-01,0.000001,1.000000
BP1,14.6807,7.366484e-01,2.641248e-07,7.923743e-07,7.366492e-01,7.366486e-01,0.000001,1.000001
BP1,15.0495,7.354295e-01,4.095539e-07,1.228662e-06,7.354307e-01,7.354299e-01,0.000002,1.000001
BP1,15.4276,7.341497e-01,6.278361e-07,1.883508e-06,7.341515e-01,7.341503e-01,0.000003,1.000002
BP1,15.8152,7.328064e-01,9.517830e-07,2.855349e-06,7.328092e-01,7.328073e-01,0.000004,1.000003
BP1,16.2125,7.313971e-01,1.427268e-06,4.281803e-06,7.314014e-01,7.313985e-01,0.000006,1.000004
BP1,16.6198,7.299193e-01,2.117703e-06,6.353109e-06,7.299257e-01,7.299214e-01,0.000009,1.000006
BP1,17.0373,7.283702e-01,3.109778e-06,9.329333e-06,7.283796e-01,7.283734e-01,0.000013,1.000009
BP1,17.4653,7.267471e-01,4.520722e-06,1.356217e-05,7.267606e-01,7.267516e-01,0.000019,1.000012
BP1,17.9040,7.250468e-01,6.507383e-06,1.952215e-05,7.250664e-01,7.250533e-01,0.000027,1.000018
BP1,18.3538,7.232665e-01,9.277431e-06,2.783229e-05,7.232943e-01,7.232758e-01,0.000038,1.000026
BP1,18.8149,7.214030e-01,1.310302e-05,3.930906e-05,7.214423e-01,7.214161e-01,0.000054,1.000036
BP1,19.2876,7.194529e-01,1.833723e-05,5.501168e-05,7.195079e-01,7.194713e-01,0.000076,1.000051
BP1,19.7721,7.174131e-01,2.543357e-05,7.630072e-05,7.174894e-01,7.174385e-01,0.000106,1.000071
BP1,20.2688,7.152800e-01,3.496895e-05,1.049069e-04,7.153849e-01,7.153149e-01,0.000147,1.000098
BP1,20.7780,7.130501e-01,4.767010e-05,1.430103e-04,7.131931e-01,7.130977e-01,0.000201,1.000134
BP1,21.3000,7.107197e-01,6.444387e-05,1.933316e-04,7.109131e-01,7.107842e-01,0.000272,1.000181
BP1,21.8351,7.082853e-01,8.641120e-05,2.592336e-04,7.085445e-01,7.083717e-01,0.000366,1.000244
BP1,22.3836,7.057429e-01,1.149448e-04,3.448343e-04,7.060878e-01,7.058579e-01,0.000488,1.000326
BP1,22.9459,7.030888e-01,1.517101e-04,4.551303e-04,7.035439e-01,7.032405e-01,0.000647,1.000431
BP1,23.5223,7.003190e-01,1.987092e-04,5.961277e-04,7.009151e-01,7.005177e-01,0.000850,1.000567
BP1,24.1133,6.974295e-01,2.583270e-04,7.749809e-04,6.982045e-01,6.976878e-01,0.001110,1.000741
BP1,24.7190,6.944162e-01,3.333780e-04,1.000134e-03,6.954164e-01,6.947496e-01,0.001438,1.000960
BP1,25.3400,6.912752e-01,4.271541e-04,1.281462e-03,6.925567e-01,6.917023e-01,0.001850,1.001235
BP1,25.9766,6.880022e-01,5.434695e-04,1.630408e-03,6.896326e-01,6.885457e-01,0.002364,1.001579
BP1,26.6292,6.845932e-01,6.867035e-04,2.060111e-03,6.866533e-01,6.852799e-01,0.003000,1.002004
BP1,27.2981,6.810439e-01,8.618377e-04,2.585513e-03,6.836294e-01,6.819057e-01,0.003782,1.002528
BP1,27.9839,6.773503e-01,1.074485e-03,3.223455e-03,6.805738e-01,6.784248e-01,0.004736,1.003168
BP1,28.6869,6.735082e-01,1.330911e-03,3.992734e-03,6.775010e-01,6.748391e-01,0.005893,1.003944
BP1,29.4076,6.695136e-01,1.638042e-03,4.914125e-03,6.744278e-01,6.711517e-01,0.007286,1.004881
