m_chi_GeV,m_phi_MeV,alpha,sigma_m_30,sigma_m_1000
13.894955,5.8900303675e+00,5.0317685600e-04,1.540177,0.09994173
13.894955,6.5759506955e+00,5.6352430634e-04,1.238558,0.09957224
13.894955,7.3417495075e+00,6.3504808674e-04,1.001066,0.09953134
15.998587,1.9575253262e+00,1.4389081707e-04,9.189956,0.06651129
15.998587,2.1854878884e+00,1.6064754501e-04,7.713307,0.06782466
15.998587,2.4399977085e+00,1.7935566872e-04,6.452179,0.06716042
15.998587,2.7241463332e+00,2.0024243695e-04,5.375942,0.06682317
15.998587,3.0413853336e+00,2.4314964289e-04,5.000399,0.07999350
15.998587,3.3955682317e+00,3.0552865367e-04,4.823308,0.09994831
15.998587,3.7909973093e+00,3.3794032417e-04,3.912978,0.09975405
15.998587,4.2324758681e+00,3.7729498341e-04,3.198988,0.09989888
15.998587,4.7253665758e+00,4.2518211664e-04,2.635987,0.09958712
15.998587,5.2756566064e+00,4.7322210447e-04,2.128916,0.09940392
15.998587,5.8900303675e+00,5.3162818786e-04,1.734012,0.09954530
15.998587,6.5759506955e+00,5.9724287487e-04,1.407562,0.09987429
15.998587,7.3417495075e+00,6.7935672762e-04,1.157483,0.09986765
18.420700,1.7533409465e+00,1.1193543065e-04,8.880486,0.04333579
18.420700,1.9575253262e+00,1.2497081120e-04,7.501923,0.04334982
18.420700,2.1854878884e+00,1.3952422001e-04,6.319608,0.04432430
18.420700,2.4399977085e+00,1.5577243823e-04,5.308663,0.04410278
18.420700,2.7241463332e+00,1.8915077796e-04,4.993453,0.05213956
18.420700,3.0413853336e+00,2.4215438117e-04,4.992546,0.06950413
18.420700,3.3955682317e+00,3.1389215079e-04,5.000652,0.09293613
18.420700,3.7909973093e+00,3.6151913147e-04,4.286450,0.09965764
18.420700,4.2324758681e+00,4.0613859523e-04,3.549168,0.09953510
18.420700,4.7253665758e+00,4.5343524755e-04,2.904688,0.09970361
18.420700,5.2756566064e+00,5.1257830080e-04,2.403794,0.09983835
18.420700,5.8900303675e+00,5.7049290813e-04,1.944854,0.09971319
18.420700,6.5759506955e+00,6.4090436197e-04,1.585952,0.09979147
18.420700,7.3417495075e+00,7.1776986899e-04,1.284296,0.09949864
18.420700,8.1967290095e+00,8.1899850311e-04,1.060725,0.09976827
21.209509,1.4066444801e+00,7.7993975159e-05,9.833038,0.02824480
21.209509,1.5704545088e+00,8.7076721712e-05,8.430960,0.02837831
21.209509,1.7533409465e+00,9.7217194646e-05,7.185511,0.02861109
21.209509,1.9575253262e+00,1.0853857092e-04,6.096072,0.02876477
21.209509,2.1854878884e+00,1.2117837199e-04,5.153741,0.02883315
21.209509,2.4399977085e+00,1.4945055596e-04,5.007071,0.03514041
21.209509,2.7241463332e+00,1.8955218266e-04,4.995973,0.04509417
21.209509,3.0413853336e+00,2.4342432261e-04,4.996195,0.05959405
21.209509,3.3955682317e+00,3.1652139895e-04,5.000091,0.08195137
21.209509,3.7909973093e+00,3.9036915804e-04,4.644917,0.09912723
21.209509,4.2324758681e+00,4.3582938901e-04,3.831170,0.09997510
21.209509,4.7253665758e+00,4.8658366680e-04,3.149849,0.09851974
21.209509,5.2756566064e+00,5.4324850679e-04,2.580339,0.09868482
21.209509,5.8900303675e+00,6.0651222034e-04,2.105982,0.09924876
21.209509,6.5759506955e+00,6.7714327573e-04,1.712706,0.09675257
21.209509,7.3417495075e+00,7.5599963279e-04,1.388252,0.09558773
21.209509,8.1967290095e+00,8.4403916464e-04,1.121821,0.09470953
24.420531,1.2599210499e+00,6.0673011491e-05,8.873279,0.01844929
24.420531,1.4066444801e+00,6.7738654509e-05,7.756158,0.01837362
24.420531,1.5704545088e+00,7.5627123196e-05,6.716549,0.01831029
24.420531,1.7533409465e+00,8.4434239274e-05,5.770125,0.01852569
24.420531,1.9575253262e+00,9.5150824025e-05,4.996622,0.01891473
24.420531,2.1854878884e+00,1.1881982298e-04,5.011169,0.02379676
24.420531,2.4399977085e+00,1.4930254518e-04,4.992023,0.03021377
24.420531,2.7241463332e+00,1.9054625996e-04,5.002234,0.03941976
24.420531,3.0413853336e+00,2.4546331260e-04,4.993427,0.05263413
24.420531,3.3955682317e+00,3.0367566679e-04,4.684869,0.06393292
24.420531,3.7909973093e+00,3.3904005372e-04,3.880153,0.06499242
24.420531,4.2324758681e+00,3.7852278137e-04,3.209932,0.06454695
24.420531,4.7253665758e+00,4.2260344890e-04,2.649642,0.06519320
24.420531,5.2756566064e+00,4.7181750692e-04,2.180520,0.06425608
24.420531,5.8900303675e+00,5.2676276169e-04,1.788117,0.06445912
24.420531,6.5759506955e+00,5.8810663663e-04,1.460902,0.06496728
24.420531,7.3417495075e+00,6.5659427963e-04,1.189251,0.06334696
28.117687,8.1092235729e-01,3.3916185668e-05,9.858546,0.01188634
28.117687,9.0535788556e-01,3.7865876883e-05,9.144499,0.01189787
28.117687,1.0107908526e+00,4.2275527271e-05,8.383584,0.01199311
28.117687,1.1285019594e+00,4.7198701129e-05,7.596638,0.01194857
28.117687,1.2599210499e+00,5.2695200560e-05,6.804463,0.01200513
28.117687,1.4066444801e+00,5.8831791884e-05,6.026968,0.01201671
28.117687,1.5704545088e+00,6.5683016660e-05,5.281456,0.01197449
28.117687,1.7533409465e+00,7.7314471239e-05,4.994227,0.01343684
28.117687,1.9575253262e+00,9.5352747529e-05,5.010398,0.01629066
28.117687,2.1854878884e+00,1.1870214784e-04,5.007404,0.02044323
28.117687,2.4399977085e+00,1.4961938630e-04,5.004076,0.02621893
28.117687,2.7241463332e+00,1.9095062607e-04,4.995066,0.03435502
28.117687,3.0413853336e+00,2.3623513461e-04,4.717524,0.04214177
28.117687,3.3955682317e+00,2.6374577054e-04,3.905701,0.04194739
28.117687,3.7909973093e+00,2.9446014281e-04,3.235130,0.04276089
28.117687,4.2324758681e+00,3.2875134084e-04,2.679805,0.04269164
28.117687,4.7253665758e+00,3.6703590195e-04,2.217881,0.04200578
28.117687,5.2756566064e+00,4.0977887110e-04,1.832057,0.04248782
28.117687,5.8900303675e+00,4.5749944979e-04,1.509070,0.04188350
28.117687,6.5759506955e+00,5.1077730289e-04,1.238763,0.04253004
28.117687,7.3417495075e+00,5.7025959980e-04,1.013128,0.04250154
32.374575,1.0000000000e-01,3.6324800695e-06,9.006049,0.00143370
32.374575,1.1164544638e-01,4.0554985881e-06,8.997413,0.00164050
