m_chi_GeV,m_phi_MeV,alpha,sigma_m_30,sigma_m_1000
3.906940,1.1406794577e+01,3.5529983327e-03,0.603631,0.99987890
3.906940,1.2735166723e+01,4.4506386231e-03,0.514934,0.99947168
4.498433,1.0216981478e+01,2.8601597825e-03,0.911649,0.99624056
4.498433,1.1406794577e+01,3.5494795632e-03,0.779600,0.99910229
4.498433,1.2735166723e+01,4.4462308611e-03,0.671644,0.99821395
4.498433,1.4218233734e+01,5.6392748686e-03,0.586232,0.99731956
4.498433,1.5874010520e+01,7.2645618456e-03,0.521360,0.99932178
4.498433,4.2781478915e+01,1.5997975081e-01,0.508805,0.99891046
4.498433,4.7763573101e+01,2.5727481033e-01,0.581407,0.99956634
4.498433,5.3325854394e+01,4.0067597120e-01,0.625041,0.96726364
5.179475,8.1967290095e+00,1.9499654060e-03,1.591119,0.99695764
5.179475,9.1512746909e+00,2.3531112374e-03,1.336781,0.99679873
5.179475,1.0216981478e+01,2.8751594510e-03,1.136146,0.99877941
5.179475,1.1406794577e+01,3.5459642787e-03,0.972061,0.99637079
5.179475,1.2735166723e+01,4.4418274643e-03,0.845526,0.99754405
5.179475,1.4218233734e+01,5.6336899214e-03,0.744194,0.99607264
5.179475,1.5874010520e+01,6.6935048672e-03,0.586790,0.89759517
5.179475,2.4663273642e+01,2.4196918276e-02,0.535810,0.99967647
5.179475,2.7535421948e+01,3.4433219152e-02,0.538619,0.99869582
5.179475,3.0742044746e+01,4.9767990222e-02,0.549013,0.99068611
5.179475,3.4322093082e+01,7.5558932530e-02,0.591537,0.99845712
5.179475,3.8319054027e+01,1.1694452181e-01,0.642712,0.99832792
5.179475,4.2781478915e+01,1.5784497709e-01,0.587041,0.90948900
5.179475,4.2781478915e+01,1.8748267942e-01,0.712521,0.99948922
5.179475,4.7763573101e+01,3.1072544066e-01,0.794662,0.99909442
5.179475,5.3325854394e+01,3.4799163818e-01,0.596874,0.81934029
5.963623,5.2756566064e+00,1.0468286500e-03,4.067041,0.99791627
5.963623,5.8900303675e+00,1.2131887995e-03,3.335201,0.99534540
5.963623,6.5759506955e+00,1.4191690413e-03,2.756869,0.99723284
5.963623,7.3417495075e+00,1.6704821064e-03,2.285657,0.99613969
5.963623,8.1967290095e+00,1.9847347415e-03,1.908696,0.99571051
5.963623,9.1512746909e+00,2.3876300793e-03,1.612340,0.99907033
5.963623,1.0216981478e+01,2.8992425881e-03,1.371075,0.99890943
5.963623,1.1406794577e+01,3.5645605434e-03,1.178869,0.99828732
5.963623,1.2735166723e+01,4.4512536503e-03,1.029453,0.99969971
5.963623,1.4218233734e+01,5.2070060142e-03,0.810004,0.89614893
5.963623,1.5874010520e+01,5.8133851074e-03,0.588468,0.74683484
5.963623,2.2090711661e+01,1.7578141703e-02,0.684087,0.99807026
5.963623,2.4663273642e+01,2.4782070363e-02,0.677807,0.99975462
5.963623,2.7535421948e+01,3.5818720001e-02,0.687055,0.99922452
5.963623,3.0742044746e+01,4.3224065557e-02,0.549671,0.85175757
5.963623,3.0742044746e+01,5.3375245303e-02,0.714815,0.99942703
5.963623,3.4322093082e+01,8.2097888911e-02,0.759738,0.99916069
5.963623,3.8319054027e+01,1.2279063978e-01,0.770028,0.96146378
5.963623,3.8319054027e+01,1.3080106979e-01,0.821259,0.99891870
5.963623,4.2781478915e+01,1.3709015789e-01,0.570577,0.77453639
5.963623,4.2781478915e+01,2.1678386599e-01,0.896782,0.99925595
5.963623,4.7763573101e+01,2.7070938004e-01,0.749754,0.85218427
5.963623,5.3325854394e+01,3.0223469573e-01,0.565608,0.69351206
6.866488,3.3955682317e+00,5.8154736145e-04,9.222068,0.82104473
6.866488,3.7909973093e+00,6.4927114758e-04,7.345566,0.79582263
6.866488,4.2324758681e+00,7.2488167091e-04,5.827853,0.76698813
6.866488,4.7253665758e+00,8.5857211818e-04,5.006028,0.82156849
6.866488,5.2756566064e+00,1.0923429672e-03,4.727062,0.99513681
6.866488,5.8900303675e+00,1.2620042792e-03,3.888127,0.99440150
6.866488,6.5759506955e+00,1.4716874369e-03,3.224338,0.99877605
6.866488,7.3417495075e+00,1.7215566527e-03,2.671874,0.99529842
6.866488,8.1967290095e+00,2.0390645829e-03,2.240207,0.99838175
6.866488,9.1512746909e+00,2.4302033018e-03,1.883534,0.99518175
6.866488,1.0216981478e+01,2.9417728752e-03,1.608125,0.99883078
6.866488,1.1406794577e+01,3.5944182963e-03,1.381840,0.99682883
6.866488,1.2735166723e+01,4.0506300018e-03,1.053969,0.86603474
6.866488,1.4218233734e+01,4.5223439465e-03,0.785519,0.73430317
6.866488,1.5874010520e+01,5.0489910858e-03,0.579077,0.61715966
6.866488,2.2090711661e+01,1.7506190737e-02,0.801270,0.99809413
6.866488,2.4663273642e+01,2.4757527038e-02,0.790451,0.99934935
6.866488,2.7535421948e+01,3.3624830904e-02,0.736515,0.94141177
6.866488,3.0742044746e+01,3.7540592556e-02,0.541718,0.74393817
6.866488,3.0742044746e+01,5.4158230664e-02,0.821617,0.99996899
6.866488,3.4322093082e+01,8.4083255416e-02,0.859347,0.99829732
6.866488,3.8319054027e+01,1.0664506724e-01,0.731406,0.84978619
6.866488,3.8319054027e+01,1.3606415578e-01,0.912245,0.99905703
6.866488,4.2781478915e+01,1.1906436136e-01,0.547798,0.67089211
6.866488,4.2781478915e+01,2.1059002689e-01,0.910745,0.94887183
6.866488,4.7763573101e+01,2.3511417555e-01,0.697784,0.74179997
6.866488,5.3325854394e+01,2.6249427078e-01,0.530871,0.59262059
7.906043,3.3955682317e+00,5.0508049779e-04,8.039834,0.55584377
7.906043,3.7909973093e+00,5.6389937632e-04,6.434320,0.54211152
7.906043,4.2324758681e+00,6.2956797581e-04,5.130496,0.52622134
7.906043,4.7253665758e+00,8.1607627764e-04,5.010354,0.67599959
7.906043,5.2756566064e+00,1.0844929429e-03,5.008161,0.89647961
7.906043,5.8900303675e+00,1.3209769082e-03,4.434395,0.99445946
7.906043,6.5759506955e+00,1.5309042119e-03,3.668852,0.99468807
7.906043,7.3417495075e+00,1.7908274982e-03,3.059727,0.99878459
7.906043,8.1967290095e+00,2.1079555743e-03,2.561046,0.99922188
7.906043,9.1512746909e+00,2.5045061218e-03,2.159270,0.99922077
7.906043,1.0216981478e+01,2.8223837073e-03,1.691937,0.90300468
7.906043,1.1406794577e+01,3.1510628884e-03,1.300304,0.79419099
7.906043,1.2735166723e+01,3.5180182274e-03,0.990979,0.69025781
7.906043,1.4218233734e+01,3.9277071536e-03,0.748266,0.59310823
7.906043,1.5874010520e+01,4.3851061840e-03,0.559329,0.50427140
7.906043,1.9786486935e+01,1.2599450801e-02,0.930770,0.99781220
7.906043,2.2090711661e+01,1.7272587698e-02,0.888266,0.99949699
7.906043,2.4663273642e+01,2.4275660184e-02,0.862972,0.99832629
7.906043,2.7535421948e+01,2.9203548081e-02,0.703771,0.84104001
7.906043,3.0742044746e+01,3.2604431612e-02,0.524801,0.65960357
7.906043,3.0742044746e+01,5.2774763062e-02,0.865667,0.99936435
7.906043,3.4322093082e+01,8.1680871121e-02,0.884364,0.99765830
7.906043,3.4322093082e+01,8.1761107436e-02,0.885099,0.99842509
7.906043,3.8319054027e+01,9.2622453852e-02,0.684762,0.77182879
7.906043,3.8319054027e+01,1.3176606999e-01,0.913763,0.99886932
7.906043,4.2781478915e+01,1.0340875205e-01,0.518706,0.59663098
7.906043,4.2781478915e+01,1.8289983355e-01,0.830358,0.87863767
7.906043,4.7763573101e+01,2.0419933559e-01,0.641991,0.66867293
9.102982,3.0413853336e+00,3.9291182151e-04,8.634158,0.38008095
9.102982,3.3955682317e+00,4.3866815699e-04,6.967734,0.37380946
9.102982,3.7909973093e+00,4.8975302199e-04,5.602178,0.36642987
9.102982,4.2324758681e+00,5.9100706917e-04,4.995141,0.41628663
9.102982,4.7253665758e+00,7.8052476888e-04,4.994611,0.55844364
9.102982,5.2756566064e+00,1.0404797864e-03,4.994920,0.75137307
9.102982,5.8900303675e+00,1.3913346056e-03,4.953441,0.99636333
9.102982,6.5759506955e+00,1.5777112013e-03,4.010803,0.96429274
9.102982,7.3417495075e+00,1.7614427132e-03,3.176895,0.89916926
9.102982,8.1967290095e+00,1.9665705798e-03,2.505942,0.83020315
9.102982,9.1512746909e+00,2.1955865021e-03,1.967259,0.75846439
9.102982,1.0216981478e+01,2.4512723509e-03,1.535876,0.68522930
9.102982,1.1406794577e+01,2.7367339580e-03,1.191514,0.61191025
9.102982,1.2735166723e+01,3.0554388436e-03,0.917714,0.53997575
9.102982,1.4218233734e+01,3.4112583357e-03,0.701109,0.47085762
9.102982,1.5874010520e+01,3.8085145959e-03,0.530813,0.40585597
9.102982,1.7722609903e+01,9.4422247411e-03,1.086327,0.99792044
9.102982,1.9786486935e+01,1.2508905983e-02,1.003046,0.99774259
9.102982,2.2090711661e+01,1.6989170519e-02,0.943065,0.99766783
9.102982,2.4663273642e+01,2.2718001034e-02,0.865994,0.95589967
9.102982,2.7535421948e+01,2.5363613662e-02,0.660978,0.75265409
9.102982,2.7535421948e+01,3.4064490673e-02,0.878260,0.99714499
9.102982,3.0742044746e+01,5.0632947457e-02,0.868577,0.99852487
9.102982,3.4322093082e+01,7.2052786070e-02,0.818067,0.93821024
9.102982,3.4322093082e+01,7.7714263949e-02,0.866987,0.99787256
9.102982,3.8319054027e+01,8.0443654635e-02,0.631912,0.71403849
9.102982,3.8319054027e+01,1.2408081043e-01,0.873028,0.99917191
9.102982,4.2781478915e+01,1.5885058570e-01,0.748705,0.83031841
9.102982,4.7763573101e+01,1.7734944547e-01,0.583867,0.62297826
10.481131,2.7241463332e+00,3.0565365354e-04,9.085574,0.25613194
10.481131,3.0413853336e+00,3.4124838586e-04,7.400284,0.25334224
10.481131,3.3955682317e+00,3.8098828365e-04,6.002074,0.25003546
10.481131,3.7909973093e+00,4.3471988376e-04,4.996137,0.25688798
10.481131,4.2324758681e+00,5.7056030776e-04,4.998211,0.34574819
10.481131,4.7253665758e+00,7.5586902910e-04,4.999890,0.46936400
10.481131,5.2756566064e+00,1.0107517236e-03,4.995651,0.63973056
10.481131,5.8900303675e+00,1.2273318503e-03,4.412750,0.71700445
10.481131,6.5759506955e+00,1.3702601228e-03,3.522317,0.68182071
10.481131,7.3417495075e+00,1.5298330306e-03,2.802758,0.64314231
10.481131,8.1967290095e+00,1.7079889158e-03,2.222384,0.60128644
10.481131,9.1512746909e+00,1.9068918491e-03,1.755162,0.55674526
10.481131,1.0216981478e+01,2.1289579169e-03,1.379810,0.51017600
10.481131,1.1406794577e+01,2.3768845695e-03,1.078993,0.46238168
10.481131,1.2735166723e+01,2.6536833874e-03,0.838627,0.41426722
10.481131,1.4218233734e+01,2.9627166633e-03,0.647282,0.36679045
