sigma_cut,N_viable,N_BBN_safe,N_unique_mchi,hit_rate_pct
0.05,84779,50051,13,43.63012253426174
0.1,101128,66400,15,52.043867368626906
0.15000000000000002,112709,77981,16,58.00383916670526
0.2,121824,87096,17,62.6947244908987
0.25,129356,94628,18,66.57094481583836
0.3,135847,101119,19,69.9114315563035
0.35,141557,106829,19,72.84998945001107
0.35000000000000003,141557,106829,19,72.84998945001107
0.4,146739,112011,20,75.51682079943185
0.42,148694,113966,20,76.52292950034223
0.44,150610,115882,20,77.50896749059507
0.45,151538,116810,20,77.98654747752339
0.46,152452,117724,20,78.45692259395923
0.47,153353,118625,20,78.92060747350924
0.5,155991,121263,21,80.27821092773
0.55,160172,125444,21,82.4298940369404
0.6,164551,129823,21,84.68347460025835
0.6000000000000001,164551,129823,21,84.68347460025835
0.6500000000000001,168986,134258,22,86.96587464554611
0.7,173247,138519,22,89.1587284432848
0.7000000000000001,173247,138519,22,89.1587284432848
0.7500000000000001,177327,142599,22,91.25843355822822
0.8,181038,146310,23,93.16823887233484
0.8500000000000001,184684,149956,23,95.0445930020122
0.9,188021,153293,23,96.76192534724902
0.9000000000000001,188021,153293,23,96.76192534724902
0.9500000000000001,191253,156525,24,98.42522116379244
1.0,194313,159585,24,100.0
