m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000,sidm_viable
10.000000,1.000000e+00,5.538634e-04,0.119998,5.5386,339.801296,6.677556,0
10.000000,1.144419e+00,5.538634e-04,0.119998,4.8397,226.298225,5.089058,0
10.000000,1.309696e+00,5.538634e-04,0.119998,4.2289,153.151221,3.878412,0
10.000000,1.498841e+00,5.538634e-04,0.119998,3.6953,104.981051,2.951248,0
10.000000,1.715302e+00,5.538634e-04,0.119998,3.2290,72.333357,2.242507,0
10.000000,1.963025e+00,5.538634e-04,0.119998,2.8215,49.702514,1.701496,0
10.000000,2.246524e+00,5.538634e-04,0.119998,2.4654,33.867438,1.289223,0
10.000000,2.570965e+00,5.538634e-04,0.119998,2.1543,22.815423,0.974867,0
10.000000,2.942262e+00,5.538634e-04,0.119998,1.8824,15.176399,0.735581,0
10.000000,3.367182e+00,5.538634e-04,0.119998,1.6449,9.963592,0.553643,0
10.000000,3.853468e+00,5.538634e-04,0.119998,1.4373,6.454472,0.415420,1
10.000000,4.409983e+00,5.538634e-04,0.119998,1.2559,4.124121,0.310553,1
10.000000,5.046869e+00,5.538634e-04,0.119998,1.0974,2.597459,0.231133,1
10.000000,5.775735e+00,5.538634e-04,0.119998,0.9589,1.611120,0.171120,1
10.000000,6.609862e+00,5.538634e-04,0.119998,0.8379,0.983107,0.125906,1
10.000000,7.564454e+00,5.538634e-04,0.119998,0.7322,0.589454,0.091973,1
10.000000,8.656907e+00,5.538634e-04,0.119998,0.6398,0.346851,0.066635,0
10.000000,9.907132e+00,5.538634e-04,0.119998,0.5591,0.200065,0.047834,0
10.000000,1.133791e+01,5.538634e-04,0.119998,0.4885,0.113003,0.033995,0
10.000000,1.297533e+01,5.538634e-04,0.119998,0.4269,0.062454,0.023904,0
10.000000,1.484921e+01,5.538634e-04,0.119998,0.3730,0.033756,0.016629,0
10.000000,1.699373e+01,5.538634e-04,0.119998,0.3259,0.017841,0.011448,0
10.000000,1.944795e+01,5.538634e-04,0.119998,0.2848,0.009223,0.007805,0
10.000000,2.225661e+01,5.538634e-04,0.119998,0.2489,0.004667,0.005275,0
10.000000,2.547089e+01,5.538634e-04,0.119998,0.2174,0.002314,0.003537,0
10.000000,2.914938e+01,5.538634e-04,0.119998,0.1900,0.001126,0.002354,0
10.000000,3.335911e+01,5.538634e-04,0.119998,0.1660,0.000539,0.001553,0
10.000000,3.817681e+01,5.538634e-04,0.119998,0.1451,0.000254,0.001014,0
10.000000,4.369028e+01,5.538634e-04,0.119998,0.1268,0.000119,0.000655,0
10.000000,5.000000e+01,5.538634e-04,0.119998,0.1108,0.000055,0.000418,0
11.288379,1.000000e+00,6.126743e-04,0.120012,6.9161,381.443869,7.208703,0
11.288379,1.144419e+00,6.126743e-04,0.120012,6.0433,250.446880,5.508788,0
11.288379,1.309696e+00,6.126743e-04,0.120012,5.2807,166.587115,4.200445,0
11.288379,1.498841e+00,6.126743e-04,0.120012,4.6143,112.754630,3.196528,0
11.288379,1.715302e+00,6.126743e-04,0.120012,4.0320,77.412691,2.431752,0
11.288379,1.963025e+00,6.126743e-04,0.120012,3.5232,53.481198,1.847287,0
11.288379,2.246524e+00,6.126743e-04,0.120012,3.0786,36.870524,1.401606,0
11.288379,2.570965e+00,6.126743e-04,0.120012,2.6901,25.215826,1.061364,0
11.288379,2.942262e+00,6.126743e-04,0.120012,2.3506,17.053395,0.802279,0
11.288379,3.367182e+00,6.126743e-04,0.120012,2.0540,11.390228,0.605126,0
11.288379,3.853468e+00,6.126743e-04,0.120012,1.7948,7.510096,0.455210,1
11.288379,4.409983e+00,6.126743e-04,0.120012,1.5683,4.886833,0.341363,1
11.288379,5.046869e+00,6.126743e-04,0.120012,1.3704,3.136769,0.255015,1
11.288379,5.775735e+00,6.126743e-04,0.120012,1.1974,1.984713,0.189647,1
11.288379,6.609862e+00,6.126743e-04,0.120012,1.0463,1.236650,0.140276,1
11.288379,7.564454e+00,6.126743e-04,0.120012,0.9143,0.757910,0.103102,1
11.288379,8.656907e+00,6.126743e-04,0.120012,0.7989,0.456294,0.075226,0
11.288379,9.907132e+00,6.126743e-04,0.120012,0.6981,0.269496,0.054429,0
11.288379,1.133791e+01,6.126743e-04,0.120012,0.6100,0.155954,0.039016,0
11.288379,1.297533e+01,6.126743e-04,0.120012,0.5330,0.088330,0.027685,0
11.288379,1.484921e+01,6.126743e-04,0.120012,0.4658,0.048924,0.019437,0
11.288379,1.699373e+01,6.126743e-04,0.120012,0.4070,0.026487,0.013500,0
11.288379,1.944795e+01,6.126743e-04,0.120012,0.3556,0.014014,0.009280,0
11.288379,2.225661e+01,6.126743e-04,0.120012,0.3107,0.007250,0.006319,0
11.288379,2.547089e+01,6.126743e-04,0.120012,0.2715,0.003669,0.004266,0
11.288379,2.914938e+01,6.126743e-04,0.120012,0.2373,0.001819,0.002858,0
11.288379,3.335911e+01,6.126743e-04,0.120012,0.2073,0.000885,0.001900,0
11.288379,3.817681e+01,6.126743e-04,0.120012,0.1812,0.000423,0.001252,0
11.288379,4.369028e+01,6.126743e-04,0.120012,0.1583,0.000200,0.000818,0
11.288379,5.000000e+01,6.126743e-04,0.120012,0.1383,0.000093,0.000528,0
12.742750,1.000000e+00,6.796264e-04,0.119998,8.6603,431.024425,7.839043,0
12.742750,1.144419e+00,6.796264e-04,0.119998,7.5674,281.853393,5.982949,0
12.742750,1.309696e+00,6.796264e-04,0.119998,6.6125,184.688626,4.563001,0
12.742750,1.498841e+00,6.796264e-04,0.119998,5.7780,122.664355,3.478440,0
12.742750,1.715302e+00,6.796264e-04,0.119998,5.0489,83.015155,2.648665,0
12.742750,1.963025e+00,6.796264e-04,0.119998,4.4117,57.077149,2.012857,0
12.742750,2.246524e+00,6.796264e-04,0.119998,3.8550,39.536623,1.528671,0
12.742750,2.570965e+00,6.796264e-04,0.119998,3.3685,27.348468,1.159505,0
12.742750,2.942262e+00,6.796264e-04,0.119998,2.9434,18.773672,0.877756,0
12.742750,3.367182e+00,6.796264e-04,0.119998,2.5720,12.747390,0.663245,0
12.742750,3.853468e+00,6.796264e-04,0.119998,2.2474,8.550234,0.500039,0
12.742750,4.409983e+00,6.796264e-04,0.119998,1.9638,5.662711,0.375964,1
12.742750,5.046869e+00,6.796264e-04,0.119998,1.7160,3.701923,0.281763,1
12.742750,5.775735e+00,6.796264e-04,0.119998,1.4994,2.387643,0.210342,1
12.742750,6.609862e+00,6.796264e-04,0.119998,1.3102,1.518112,0.156295,1
12.742750,7.564454e+00,6.796264e-04,0.119998,1.1449,0.950524,0.115495,1
12.742750,8.656907e+00,6.796264e-04,0.119998,1.0004,0.585311,0.084795,1
12.742750,9.907132e+00,6.796264e-04,0.119998,0.8741,0.353964,0.061792,0
12.742750,1.133791e+01,6.796264e-04,0.119998,0.7638,0.209921,0.044648,0
12.742750,1.297533e+01,6.796264e-04,0.119998,0.6674,0.121924,0.031957,0
12.742750,1.484921e+01,6.796264e-04,0.119998,0.5832,0.069271,0.022641,0
12.742750,1.699373e+01,6.796264e-04,0.119998,0.5096,0.038465,0.015869,0
12.742750,1.944795e+01,6.796264e-04,0.119998,0.4453,0.020865,0.011004,0
12.742750,2.225661e+01,6.796264e-04,0.119998,0.3891,0.011055,0.007553,0
12.742750,2.547089e+01,6.796264e-04,0.119998,0.3400,0.005724,0.005136,0
12.742750,2.914938e+01,6.796264e-04,0.119998,0.2971,0.002898,0.003463,0
12.742750,3.335911e+01,6.796264e-04,0.119998,0.2596,0.001437,0.002318,0
12.742750,3.817681e+01,6.796264e-04,0.119998,0.2268,0.000699,0.001540,0
12.742750,4.369028e+01,6.796264e-04,0.119998,0.1982,0.000334,0.001015,0
12.742750,5.000000e+01,6.796264e-04,0.119998,0.1732,0.000158,0.000662,0
14.384499,1.000000e+00,7.555133e-04,0.119999,10.8677,482.663816,8.527070,0
14.384499,1.144419e+00,7.555133e-04,0.119999,9.4962,318.923552,6.515483,0
14.384499,1.309696e+00,7.555133e-04,0.119999,8.2979,208.264063,4.974204,0
14.384499,1.498841e+00,7.555133e-04,0.119999,7.2507,136.179975,3.795435,0
14.384499,1.715302e+00,7.555133e-04,0.119999,6.3357,90.288125,2.889300,0
14.384499,1.963025e+00,7.555133e-04,0.119999,5.5362,61.080143,2.199531,0
14.384499,2.246524e+00,7.555133e-04,0.119999,4.8376,42.049186,1.671199,0
14.384499,2.570965e+00,7.555133e-04,0.119999,4.2271,29.202040,1.269298,0
14.384499,2.942262e+00,7.555133e-04,0.119999,3.6936,20.267450,0.962146,0
14.384499,3.367182e+00,7.555133e-04,0.119999,3.2275,13.965234,0.728147,0
14.384499,3.853468e+00,7.555133e-04,0.119999,2.8202,9.520800,0.549970,0
14.384499,4.409983e+00,7.555133e-04,0.119999,2.4643,6.413476,0.414451,1
14.384499,5.046869e+00,7.555133e-04,0.119999,2.1534,4.266915,0.311450,1
14.384499,5.775735e+00,7.555133e-04,0.119999,1.8816,2.802821,0.233266,1
14.384499,6.609862e+00,7.555133e-04,0.119999,1.6442,1.816773,0.174009,1
14.384499,7.564454e+00,7.555133e-04,0.119999,1.4367,1.161055,0.129186,1
14.384499,8.656907e+00,7.555133e-04,0.119999,1.2554,0.730704,0.095368,1
14.384499,9.907132e+00,7.555133e-04,0.119999,1.0970,0.452226,0.069939,0
14.384499,1.133791e+01,7.555133e-04,0.119999,0.9585,0.274806,0.050901,0
14.384499,1.297533e+01,7.555133e-04,0.119999,0.8376,0.163709,0.036727,0
14.384499,1.484921e+01,7.555133e-04,0.119999,0.7319,0.095469,0.026247,0
14.384499,1.699373e+01,7.555133e-04,0.119999,0.6395,0.054431,0.018565,0
14.384499,1.944795e+01,7.555133e-04,0.119999,0.5588,0.030313,0.012991,0
14.384499,2.225661e+01,7.555133e-04,0.119999,0.4883,0.016480,0.008994,0
14.384499,2.547089e+01,7.555133e-04,0.119999,0.4267,0.008747,0.006163,0
