m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000
54.555948,1.297533e+01,2.644657e-03,0.120000,11.1197,0.671871,0.110034
54.555948,1.133791e+01,2.644657e-03,0.120000,12.7256,0.938415,0.144960
54.555948,9.907132e+00,2.644657e-03,0.120000,14.5634,1.326802,0.185388
54.555948,8.656907e+00,2.644657e-03,0.120000,16.6667,1.932420,0.241910
54.555948,7.564454e+00,2.644657e-03,0.120000,19.0737,2.923723,0.317682
54.555948,6.609862e+00,2.644657e-03,0.120000,21.8283,4.542483,0.400223
48.329302,1.297533e+01,2.349672e-03,0.120000,8.7518,0.659176,0.104693
48.329302,1.133791e+01,2.349672e-03,0.120000,10.0158,0.924477,0.135526
48.329302,9.907132e+00,2.349672e-03,0.120000,11.4622,1.294111,0.178669
48.329302,8.656907e+00,2.349672e-03,0.120000,13.1176,1.830975,0.228810
48.329302,7.564454e+00,2.349672e-03,0.120000,15.0121,2.662275,0.298787
48.329302,6.609862e+00,2.349672e-03,0.120000,17.1801,4.014529,0.392530
14.384499,8.656907e+00,7.555133e-04,0.119999,1.2554,0.730704,0.093862
14.384499,7.564454e+00,7.555133e-04,0.119999,1.4367,1.161055,0.126608
14.384499,6.609862e+00,7.555133e-04,0.119999,1.6442,1.816773,0.168098
14.384499,5.775735e+00,7.555133e-04,0.119999,1.8816,2.802821,0.227136
14.384499,5.046869e+00,7.555133e-04,0.119999,2.1534,4.266915,0.298007
14.384499,4.409983e+00,7.555133e-04,0.119999,2.4643,6.413476,0.391533
26.366509,1.133791e+01,1.313756e-03,0.120002,3.0552,0.681184,0.088176
26.366509,9.907132e+00,1.313756e-03,0.120002,3.4964,1.011966,0.119306
26.366509,8.656907e+00,1.313756e-03,0.120002,4.0013,1.486824,0.157364
26.366509,7.564454e+00,1.313756e-03,0.120002,4.5792,2.160936,0.203735
26.366509,6.609862e+00,1.313756e-03,0.120002,5.2405,3.107727,0.271670
26.366509,5.775735e+00,1.313756e-03,0.120002,5.9974,4.428745,0.352075
26.366509,5.046869e+00,1.313756e-03,0.120002,6.8635,6.281119,0.464598
20.691381,1.133791e+01,1.048412e-03,0.120002,1.9133,0.515889,0.072382
20.691381,9.907132e+00,1.048412e-03,0.120002,2.1896,0.794221,0.096486
20.691381,8.656907e+00,1.048412e-03,0.120002,2.5059,1.206353,0.127148
20.691381,7.564454e+00,1.048412e-03,0.120002,2.8678,1.809694,0.171906
20.691381,6.609862e+00,1.048412e-03,0.120002,3.2819,2.682872,0.226426
20.691381,5.775735e+00,1.048412e-03,0.120002,3.7559,3.931782,0.292690
20.691381,5.046869e+00,1.048412e-03,0.120002,4.2983,5.698257,0.390118
61.584821,1.297533e+01,2.978029e-03,0.120002,14.1346,0.679293,0.111645
61.584821,1.133791e+01,2.978029e-03,0.120002,16.1759,0.959981,0.148903
61.584821,9.907132e+00,2.978029e-03,0.120002,18.5121,1.400890,0.194134
61.584821,8.656907e+00,2.978029e-03,0.120002,21.1856,2.126909,0.244729
61.584821,7.564454e+00,2.978029e-03,0.120002,24.2452,3.312942,0.320377
61.584821,6.609862e+00,2.978029e-03,0.120002,27.7466,5.158872,0.416415
12.742750,8.656907e+00,6.796264e-04,0.119998,1.0004,0.585311,0.084046
12.742750,7.564454e+00,6.796264e-04,0.119998,1.1449,0.950524,0.113574
12.742750,6.609862e+00,6.796264e-04,0.119998,1.3102,1.518112,0.153016
12.742750,5.775735e+00,6.796264e-04,0.119998,1.4994,2.387643,0.202885
12.742750,5.046869e+00,6.796264e-04,0.119998,1.7160,3.701923,0.274008
12.742750,4.409983e+00,6.796264e-04,0.119998,1.9638,5.662711,0.359080
10.000000,7.564454e+00,5.538634e-04,0.119998,0.7322,0.589454,0.091520
10.000000,6.609862e+00,5.538634e-04,0.119998,0.8379,0.983107,0.124649
10.000000,5.775735e+00,5.538634e-04,0.119998,0.9589,1.611120,0.167956
10.000000,5.046869e+00,5.538634e-04,0.119998,1.0974,2.597459,0.225772
10.000000,4.409983e+00,5.538634e-04,0.119998,1.2559,4.124121,0.298545
10.000000,3.853468e+00,5.538634e-04,0.119998,1.4373,6.454472,0.402857
33.598183,1.297533e+01,1.653763e-03,0.120003,4.2822,0.560792,0.082334
33.598183,1.133791e+01,1.653763e-03,0.120003,4.9007,0.816920,0.107548
33.598183,9.907132e+00,1.653763e-03,0.120003,5.6084,1.177984,0.140848
