m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000
54.555948,1.297533e+01,2.644657e-03,0.120000,11.1197,0.671871,0.120101
54.555948,1.133791e+01,2.644657e-03,0.120000,12.7256,0.938415,0.158450
54.555948,9.907132e+00,2.644657e-03,0.120000,14.5634,1.326802,0.208771
54.555948,8.656907e+00,2.644657e-03,0.120000,16.6667,1.932421,0.274786
54.555948,7.564454e+00,2.644657e-03,0.120000,19.0737,2.923744,0.361451
48.329302,1.297533e+01,2.349672e-03,0.120000,8.7518,0.659176,0.111755
48.329302,1.133791e+01,2.349672e-03,0.120000,10.0158,0.924477,0.147798
48.329302,9.907132e+00,2.349672e-03,0.120000,11.4622,1.294111,0.195104
48.329302,8.656907e+00,2.349672e-03,0.120000,13.1176,1.830975,0.257180
48.329302,7.564454e+00,2.349672e-03,0.120000,15.0121,2.662277,0.338639
48.329302,6.609862e+00,2.349672e-03,0.120000,17.1801,4.014560,0.445523
14.384499,8.656907e+00,7.555133e-04,0.119999,1.2554,0.730704,0.095368
14.384499,7.564454e+00,7.555133e-04,0.119999,1.4367,1.161055,0.129186
14.384499,6.609862e+00,7.555133e-04,0.119999,1.6442,1.816773,0.174009
14.384499,5.775735e+00,7.555133e-04,0.119999,1.8816,2.802821,0.233266
14.384499,5.046869e+00,7.555133e-04,0.119999,2.1534,4.266915,0.311450
14.384499,4.409983e+00,7.555133e-04,0.119999,2.4643,6.413476,0.414451
26.366509,1.133791e+01,1.313756e-03,0.120002,3.0552,0.681184,0.092411
26.366509,9.907132e+00,1.313756e-03,0.120002,3.4964,1.011966,0.123766
26.366509,8.656907e+00,1.313756e-03,0.120002,4.0013,1.486824,0.165117
26.366509,7.564454e+00,1.313756e-03,0.120002,4.5792,2.160936,0.219571
26.366509,6.609862e+00,1.313756e-03,0.120002,5.2405,3.107727,0.291206
26.366509,5.775735e+00,1.313756e-03,0.120002,5.9974,4.428745,0.385326
20.691381,1.133791e+01,1.048412e-03,0.120002,1.9133,0.515889,0.073655
20.691381,9.907132e+00,1.048412e-03,0.120002,2.1896,0.794221,0.099477
20.691381,8.656907e+00,1.048412e-03,0.120002,2.5059,1.206353,0.133656
20.691381,7.564454e+00,1.048412e-03,0.120002,2.8678,1.809694,0.178796
20.691381,6.609862e+00,1.048412e-03,0.120002,3.2819,2.682872,0.238309
20.691381,5.775735e+00,1.048412e-03,0.120002,3.7559,3.931782,0.316655
20.691381,5.046869e+00,1.048412e-03,0.120002,4.2983,5.698257,0.419707
61.584821,1.297533e+01,2.978029e-03,0.120002,14.1346,0.679293,0.127710
61.584821,1.133791e+01,2.978029e-03,0.120002,16.1759,0.959981,0.168175
61.584821,9.907132e+00,2.978029e-03,0.120002,18.5121,1.400890,0.221268
61.584821,8.656907e+00,2.978029e-03,0.120002,21.1856,2.126923,0.290958
61.584821,7.564454e+00,2.978029e-03,0.120002,24.2452,3.312942,0.382456
12.742750,8.656907e+00,6.796264e-04,0.119998,1.0004,0.585311,0.084795
12.742750,7.564454e+00,6.796264e-04,0.119998,1.1449,0.950524,0.115495
12.742750,6.609862e+00,6.796264e-04,0.119998,1.3102,1.518112,0.156295
12.742750,5.775735e+00,6.796264e-04,0.119998,1.4994,2.387643,0.210342
12.742750,5.046869e+00,6.796264e-04,0.119998,1.7160,3.701923,0.281763
12.742750,4.409983e+00,6.796264e-04,0.119998,1.9638,5.662711,0.375964
10.000000,7.564454e+00,5.538634e-04,0.119998,0.7322,0.589454,0.091973
10.000000,6.609862e+00,5.538634e-04,0.119998,0.8379,0.983107,0.125906
10.000000,5.775735e+00,5.538634e-04,0.119998,0.9589,1.611120,0.171120
10.000000,5.046869e+00,5.538634e-04,0.119998,1.0974,2.597459,0.231133
10.000000,4.409983e+00,5.538634e-04,0.119998,1.2559,4.124121,0.310553
10.000000,3.853468e+00,5.538634e-04,0.119998,1.4373,6.454472,0.415420
33.598183,1.297533e+01,1.653763e-03,0.120003,4.2822,0.560792,0.085238
33.598183,1.133791e+01,1.653763e-03,0.120003,4.9007,0.816920,0.113785
33.598183,9.907132e+00,1.653763e-03,0.120003,5.6084,1.177984,0.151374
33.598183,8.656907e+00,1.653763e-03,0.120003,6.4184,1.681749,0.200814
33.598183,7.564454e+00,1.653763e-03,0.120003,7.3453,2.380563,0.265788
33.598183,6.609862e+00,1.653763e-03,0.120003,8.4061,3.357359,0.351115
33.598183,5.775735e+00,1.653763e-03,0.120003,9.6201,4.766036,0.463098
100.000000,1.484921e+01,4.805912e-03,0.119997,32.3648,0.589079,0.112802
100.000000,1.297533e+01,4.805912e-03,0.119997,37.0389,0.924547,0.148431
100.000000,1.133791e+01,4.805912e-03,0.119997,42.3880,1.435013,0.195286
100.000000,9.907132e+00,4.805912e-03,0.119997,48.5096,2.164843,0.256860
100.000000,8.656907e+00,4.805912e-03,0.119997,55.5153,3.151249,0.337729
100.000000,7.564454e+00,4.805912e-03,0.119997,63.5328,4.404953,0.443880
78.475997,1.484921e+01,3.780805e-03,0.119996,19.9810,0.500369,0.106438
78.475997,1.297533e+01,3.780805e-03,0.119996,22.8667,0.733617,0.139961
78.475997,1.133791e+01,3.780805e-03,0.119996,26.1691,1.121865,0.184014
78.475997,9.907132e+00,3.780805e-03,0.119996,29.9484,1.755114,0.241903
78.475997,8.656907e+00,3.780805e-03,0.119996,34.2735,2.730427,0.317993
78.475997,7.564454e+00,3.780805e-03,0.119996,39.2232,4.142183,0.417948
37.926902,1.297533e+01,1.857877e-03,0.120004,5.4306,0.603431,0.094047
37.926902,1.133791e+01,1.857877e-03,0.120004,6.2149,0.866889,0.125116
37.926902,9.907132e+00,1.857877e-03,0.120004,7.1124,1.233310,0.165971
37.926902,8.656907e+00,1.857877e-03,0.120004,8.1396,1.740208,0.219653
37.926902,7.564454e+00,1.857877e-03,0.120004,9.3151,2.447833,0.290146
37.926902,6.609862e+00,1.857877e-03,0.120004,10.6604,3.470311,0.382662
88.586679,1.484921e+01,4.262100e-03,0.119995,25.4266,0.529976,0.109950
88.586679,1.297533e+01,4.262100e-03,0.119995,29.0987,0.813399,0.144593
88.586679,1.133791e+01,4.262100e-03,0.119995,33.3011,1.274775,0.190155
88.586679,9.907132e+00,4.262100e-03,0.119995,38.1105,1.981197,0.250058
88.586679,8.656907e+00,4.262100e-03,0.119995,43.6143,2.997355,0.328791
88.586679,7.564454e+00,4.262100e-03,0.119995,49.9131,4.378506,0.432208
42.813324,1.297533e+01,2.088676e-03,0.120006,6.8918,0.636547,0.102969
42.813324,1.133791e+01,2.088676e-03,0.120006,7.8871,0.902568,0.136559
42.813324,9.907132e+00,2.088676e-03,0.120006,9.0261,1.269602,0.180681
42.813324,8.656907e+00,2.088676e-03,0.120006,10.3297,1.781424,0.238607
42.813324,7.564454e+00,2.088676e-03,0.120006,11.8215,2.522727,0.314621
42.813324,6.609862e+00,2.088676e-03,0.120006,13.5287,3.663035,0.414382
18.329807,9.907132e+00,9.385809e-04,0.120006,1.7365,0.677158,0.088749
18.329807,8.656907e+00,9.385809e-04,0.120006,1.9873,1.048287,0.119754
18.329807,7.564454e+00,9.385809e-04,0.120006,2.2743,1.600639,0.160779
18.329807,6.609862e+00,9.385809e-04,0.120006,2.6028,2.413018,0.214944
18.329807,5.775735e+00,9.385809e-04,0.120006,2.9787,3.593716,0.286337
18.329807,5.046869e+00,9.385809e-04,0.120006,3.4088,5.289100,0.380324
16.237767,9.907132e+00,8.414032e-04,0.120009,1.3791,0.561398,0.078909
16.237767,8.656907e+00,8.414032e-04,0.120009,1.5782,0.887256,0.107000
16.237767,7.564454e+00,8.414032e-04,0.120009,1.8061,1.381019,0.144253
16.237767,6.609862e+00,8.414032e-04,0.120009,2.0670,2.119696,0.193522
16.237767,5.775735e+00,8.414032e-04,0.120009,2.3655,3.211268,0.258550
16.237767,5.046869e+00,8.414032e-04,0.120009,2.7071,4.804634,0.344242
16.237767,4.409983e+00,8.414032e-04,0.120009,3.0981,7.101776,0.457032
23.357215,1.133791e+01,1.172770e-03,0.120010,2.4160,0.600570,0.082661
23.357215,9.907132e+00,1.172770e-03,0.120010,2.7649,0.907421,0.111144
23.357215,8.656907e+00,1.172770e-03,0.120010,3.1643,1.354608,0.148771
23.357215,7.564454e+00,1.172770e-03,0.120010,3.6212,1.999134,0.198389
23.357215,6.609862e+00,1.172770e-03,0.120010,4.1442,2.917496,0.263725
23.357215,5.775735e+00,1.172770e-03,0.120010,4.7427,4.211821,0.349653
23.357215,5.046869e+00,1.172770e-03,0.120010,5.4277,6.023268,0.462591
69.519280,1.297533e+01,3.354732e-03,0.120010,17.9740,0.693542,0.134352
69.519280,1.133791e+01,3.354732e-03,0.120010,20.5698,1.014323,0.176708
69.519280,9.907132e+00,3.354732e-03,0.120010,23.5405,1.545515,0.232323
69.519280,8.656907e+00,3.354732e-03,0.120010,26.9402,2.412926,0.305371
69.519280,7.564454e+00,3.354732e-03,0.120010,30.8308,3.756247,0.401311
29.763514,1.297533e+01,1.473222e-03,0.120011,3.3794,0.510094,0.076731
29.763514,1.133791e+01,1.473222e-03,0.120011,3.8674,0.754209,0.102815
29.763514,9.907132e+00,1.473222e-03,0.120011,4.4259,1.103315,0.137215
29.763514,8.656907e+00,1.473222e-03,0.120011,5.0651,1.597145,0.182517
29.763514,7.564454e+00,1.473222e-03,0.120011,5.7966,2.288399,0.242108
29.763514,6.609862e+00,1.473222e-03,0.120011,6.6338,3.250034,0.320429
29.763514,5.775735e+00,1.473222e-03,0.120011,7.5918,4.596203,0.423292
11.288379,7.564454e+00,6.126743e-04,0.120012,0.9143,0.757910,0.103102
