chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
1.2185,0.1219,100.000000,9.151275,2.849607e-03,31.1389,0,,1.323703e+00,1.915229e+00,1.958347e+00,1.852921e+00,1.779517e+00,1.702863e+00,6.629288e-01,6.068147e-01,1.520402e-01,1.321830e-01,1.157270e-01,9.325524e-03
1.2216,0.1222,100.000000,9.151275,2.769831e-03,30.2672,0,,1.304314e+00,1.876015e+00,1.921594e+00,1.821178e+00,1.750261e+00,1.675850e+00,6.471239e-01,5.917649e-01,1.458203e-01,1.265660e-01,1.106671e-01,8.814983e-03
1.2224,0.1222,100.000000,9.151275,2.762080e-03,30.1825,0,,1.302412e+00,1.872170e+00,1.917981e+00,1.818050e+00,1.747374e+00,1.673183e+00,6.455827e-01,5.902972e-01,1.452190e-01,1.260243e-01,1.101784e-01,8.766722e-03
1.2234,0.1223,100.000000,9.151275,2.915611e-03,31.8602,0,,1.339495e+00,1.947185e+00,1.988166e+00,1.878569e+00,1.803116e+00,1.724625e+00,6.759261e-01,6.191887e-01,1.571743e-01,1.368226e-01,1.199255e-01,9.752630e-03
1.2285,0.1228,100.000000,9.151275,2.720080e-03,29.7235,0,,1.292048e+00,1.851225e+00,1.898267e+00,1.800957e+00,1.731595e+00,1.658596e+00,6.372125e-01,5.823257e-01,1.419543e-01,1.230835e-01,1.074981e-01,8.488888e-03
1.2344,0.1234,100.000000,9.151275,2.979135e-03,32.5543,0,,1.354488e+00,1.977533e+00,2.016377e+00,1.902745e+00,1.825329e+00,1.745087e+00,6.883690e-01,6.310325e-01,1.621267e-01,1.413085e-01,1.240203e-01,1.019324e-02
1.2457,0.1246,100.000000,9.151275,2.646994e-03,28.9249,0,,1.273772e+00,1.814330e+00,1.863418e+00,1.770636e+00,1.703565e+00,1.632656e+00,6.225716e-01,5.683810e-01,1.362730e-01,1.179713e-01,1.029125e-01,8.041307e-03
1.2529,0.1253,100.000000,9.151275,2.624050e-03,28.6742,0,,1.267970e+00,1.802628e+00,1.852331e+00,1.760964e+00,1.694613e+00,1.624363e+00,6.179548e-01,5.639834e-01,1.345013e-01,1.163820e-01,1.014841e-01,7.905069e-03
1.2547,0.1255,100.000000,10.216981,3.614745e-03,35.3798,0,,1.143477e+00,1.626052e+00,1.719430e+00,1.664727e+00,1.611214e+00,1.550705e+00,6.402056e-01,5.909984e-01,1.692885e-01,1.492234e-01,1.323452e-01,1.202627e-02
1.2568,0.1257,100.000000,10.216981,3.517620e-03,34.4291,0,,1.128407e+00,1.594555e+00,1.688803e+00,1.637761e+00,1.586292e+00,1.527715e+00,6.262293e-01,5.776204e-01,1.632761e-01,1.437096e-01,1.272742e-01,1.138801e-02
