timestamp_utc,ic,ip,m_chi_GeV,m_phi_MeV,tasks_done,tasks_total,elapsed_s,eta_s,raw_this_grain,rep_this_grain,raw_total,rep_total,grains_per_sec
2026-03-25T15:47:59Z,0,3,0.100000,0.139163,1,3500,3.4,11940,0,0,0,0,0.293
2026-03-25T15:47:59Z,0,11,0.100000,0.335932,2,3500,3.4,5980,0,0,0,0,0.585
2026-03-25T15:47:59Z,0,5,0.100000,0.173462,3,3500,3.4,4005,0,0,0,0,0.873
2026-03-25T15:47:59Z,0,2,0.100000,0.124647,4,3500,3.4,3004,0,0,0,0,1.164
2026-03-25T15:47:59Z,0,6,0.100000,0.193663,5,3500,3.5,2415,0,0,0,0,1.447
2026-03-25T15:47:59Z,0,8,0.100000,0.241395,6,3500,3.5,2033,0,0,0,0,1.719
2026-03-25T15:47:59Z,0,0,0.100000,0.100000,7,3500,3.5,1744,0,0,0,0,2.003
2026-03-25T15:47:59Z,0,9,0.100000,0.269506,8,3500,3.5,1527,0,0,0,0,2.286
2026-03-25T15:47:59Z,0,4,0.100000,0.155369,9,3500,3.5,1359,0,0,0,0,2.570
2026-03-25T15:47:59Z,0,7,0.100000,0.216216,10,3500,3.5,1225,0,0,0,0,2.848
2026-03-25T15:47:59Z,0,1,0.100000,0.111645,11,3500,3.7,1173,0,0,0,0,2.975
2026-03-25T15:47:59Z,0,12,0.100000,0.375053,12,3500,3.8,1107,0,0,0,0,3.152
2026-03-25T15:48:00Z,0,10,0.100000,0.300892,13,3500,4.1,1102,0,0,0,0,3.166
2026-03-25T15:48:00Z,0,13,0.100000,0.418729,14,3500,4.4,1091,0,0,0,0,3.196
2026-03-25T15:48:00Z,0,16,0.100000,0.582715,15,3500,4.4,1023,0,0,0,0,3.406
2026-03-25T15:48:00Z,0,18,0.100000,0.726337,16,3500,4.4,968,0,0,0,0,3.598
2026-03-25T15:48:00Z,0,20,0.100000,0.905358,17,3500,4.5,915,0,0,0,0,3.807
2026-03-25T15:48:00Z,0,15,0.100000,0.521934,18,3500,4.5,864,0,0,0,0,4.029
2026-03-25T15:48:00Z,0,17,0.100000,0.650575,19,3500,4.5,825,0,0,0,0,4.221
2026-03-25T15:48:00Z,0,14,0.100000,0.467492,20,3500,4.5,784,0,0,0,0,4.441
