sigma_cut,N_viable,N_BBN_safe,N_unique_mchi,hit_rate_pct
0.05,87883,52308,13,55.84375973006806
0.1,105067,69492,15,66.76304067406734
0.15000000000000002,117012,81437,16,74.35328804814041
0.2,126201,90626,17,80.19228203058975
0.25,133715,98140,18,84.96692571152612
0.3,140120,104545,19,89.03687417790853
0.35,145772,110197,19,92.62834158337199
0.35000000000000003,145772,110197,19,92.62834158337199
0.4,150819,115244,20,95.83537201425911
0.42,152777,117202,20,97.07954985925159
0.44,154654,119079,20,98.27225762996193
0.45,155581,120006,20,98.86130403563507
0.46,156496,120921,20,99.4427252451183
0.47,157373,121798,20,100.0
