chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
1.0656,0.1066,86.851137,10.216981,3.885798e-03,33.0319,0,,1.304269e+00,1.669063e+00,1.861278e+00,1.885248e+00,1.857239e+00,1.812935e+00,6.255779e-01,5.396817e-01,1.763685e-01,1.526624e-01,1.386195e-01,1.383032e-02
1.0660,0.1066,86.851137,10.216981,3.744284e-03,31.8289,0,,1.280898e+00,1.623557e+00,1.812952e+00,1.839751e+00,1.814151e+00,1.772537e+00,6.134539e-01,5.300247e-01,1.690388e-01,1.460522e-01,1.322454e-01,1.288267e-02
1.0667,0.1067,86.851137,10.216981,3.730641e-03,31.7129,0,,1.278609e+00,1.619128e+00,1.808233e+00,1.835296e+00,1.809926e+00,1.768570e+00,6.122616e-01,5.290688e-01,1.683246e-01,1.454087e-01,1.316265e-01,1.279286e-02
1.0671,0.1067,86.851137,10.216981,3.922583e-03,33.3446,0,,1.310238e+00,1.680764e+00,1.873658e+00,1.896866e+00,1.868224e+00,1.823217e+00,6.286582e-01,5.421159e-01,1.782502e-01,1.543609e-01,1.402623e-01,1.408137e-02
1.0671,0.1067,86.851137,10.216981,3.723890e-03,31.6555,0,,1.277475e+00,1.616934e+00,1.805894e+00,1.833087e+00,1.807831e+00,1.766602e+00,6.116701e-01,5.285941e-01,1.679708e-01,1.450899e-01,1.313200e-01,1.274851e-02
1.0673,0.1067,86.851137,10.216981,3.926991e-03,33.3820,0,,1.310950e+00,1.682162e+00,1.875136e+00,1.898253e+00,1.869535e+00,1.824443e+00,6.290253e-01,5.424056e-01,1.784750e-01,1.545639e-01,1.404588e-01,1.411158e-02
1.0819,0.1082,86.851137,10.216981,4.100882e-03,34.8602,0,,1.338581e+00,1.736751e+00,1.932637e+00,1.952012e+00,1.920262e+00,1.871829e+00,6.431855e-01,5.534811e-01,1.872324e-01,1.624750e-01,1.481385e-01,1.532535e-02
1.0847,0.1085,86.851137,10.216981,4.123340e-03,35.0511,0,,1.342084e+00,1.743718e+00,1.939948e+00,1.958824e+00,1.926678e+00,1.877812e+00,6.449686e-01,5.548622e-01,1.883474e-01,1.634829e-01,1.491201e-01,1.548518e-02
1.0857,0.1086,86.851137,10.216981,3.565984e-03,30.3132,0,,1.250478e+00,1.565089e+00,1.750428e+00,1.780545e+00,1.757912e+00,1.719648e+00,5.975331e-01,5.171744e-01,1.596030e-01,1.375584e-01,1.241010e-01,1.173052e-02
1.0864,0.1086,86.851137,10.216981,3.561982e-03,30.2792,0,,1.249782e+00,1.563761e+00,1.749003e+00,1.779191e+00,1.756623e+00,1.718434e+00,5.971671e-01,5.168768e-01,1.593887e-01,1.373657e-01,1.239168e-01,1.170520e-02
1.0916,0.1092,86.851137,10.216981,3.534292e-03,30.0438,0,,1.244951e+00,1.554560e+00,1.739117e+00,1.769793e+00,1.747678e+00,1.710005e+00,5.946240e-01,5.148072e-01,1.579029e-01,1.360302e-01,1.226412e-01,1.153068e-02
1.0928,0.1093,86.851137,10.216981,3.528579e-03,29.9953,0,,1.243951e+00,1.552658e+00,1.737072e+00,1.767847e+00,1.745825e+00,1.708258e+00,5.940970e-01,5.143777e-01,1.575958e-01,1.357542e-01,1.223777e-01,1.149483e-02
1.0933,0.1093,100.000000,10.216981,3.967408e-03,38.8315,0,,1.195935e+00,1.736445e+00,1.825398e+00,1.754356e+00,1.689873e+00,1.616652e+00,5.837787e-01,5.076367e-01,1.541541e-01,1.331704e-01,1.207016e-01,1.247894e-02
1.1052,0.1105,100.000000,9.151275,3.196925e-03,34.9342,0,,1.404478e+00,2.078632e+00,2.108547e+00,1.974527e+00,1.893420e+00,1.802837e+00,5.972133e-01,5.402999e-01,1.479393e-01,1.303375e-01,1.122225e-01,9.818333e-03
1.1053,0.1105,100.000000,9.151275,3.227188e-03,35.2649,0,,1.411262e+00,2.092342e+00,2.121080e+00,1.984994e+00,1.903026e+00,1.811563e+00,6.006300e-01,5.434674e-01,1.497080e-01,1.319853e-01,1.136928e-01,9.998977e-03
