m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000,sidm_viable
10.000000,1.0000000000e+00,5.538274e-04,0.120011,5.5383,339.778829,5.932916,0
10.000000,1.1444190000e+00,5.538274e-04,0.120011,4.8394,226.279188,4.557598,0
10.000000,1.3096960000e+00,5.538274e-04,0.120011,4.2287,153.141160,3.485010,0
10.000000,1.4988410000e+00,5.538274e-04,0.120011,3.6950,104.974376,2.676880,0
10.000000,1.7153020000e+00,5.538274e-04,0.120011,3.2287,72.328656,2.026031,0
10.000000,1.9630250000e+00,5.538274e-04,0.120011,2.8213,49.699158,1.574200,0
10.000000,2.2465240000e+00,5.538274e-04,0.120011,2.4653,33.865049,1.193305,0
10.000000,2.5709650000e+00,5.538274e-04,0.120011,2.1542,22.813737,0.918868,0
10.000000,2.9422620000e+00,5.538274e-04,0.120011,1.8823,15.175225,0.690058,0
10.000000,3.3671820000e+00,5.538274e-04,0.120011,1.6448,9.962785,0.526614,0
10.000000,3.8534680000e+00,5.538274e-04,0.120011,1.4372,6.453925,0.402806,0
10.000000,4.4099830000e+00,5.538274e-04,0.120011,1.2558,4.123756,0.298508,0
10.000000,5.0468690000e+00,5.538274e-04,0.120011,1.0974,2.597219,0.225744,0
10.000000,5.7757350000e+00,5.538274e-04,0.120011,0.9589,1.610964,0.167935,0
10.000000,6.6098620000e+00,5.538274e-04,0.120011,0.8379,0.983009,0.124633,0
10.000000,7.5644540000e+00,5.538274e-04,0.120011,0.7321,0.589393,0.091508,0
10.000000,8.6569070000e+00,5.538274e-04,0.120011,0.6398,0.346814,0.065938,0
10.000000,9.9071320000e+00,5.538274e-04,0.120011,0.5590,0.200043,0.047585,0
10.000000,1.1337910000e+01,5.538274e-04,0.120011,0.4885,0.112990,0.033914,0
10.000000,1.2975330000e+01,5.538274e-04,0.120011,0.4268,0.062446,0.023880,0
10.000000,1.4849210000e+01,5.538274e-04,0.120011,0.3730,0.033752,0.016622,0
10.000000,1.6993730000e+01,5.538274e-04,0.120011,0.3259,0.017839,0.011443,0
10.000000,1.9447950000e+01,5.538274e-04,0.120011,0.2848,0.009222,0.007804,0
10.000000,2.2256610000e+01,5.538274e-04,0.120011,0.2488,0.004666,0.005275,0
10.000000,2.5470890000e+01,5.538274e-04,0.120011,0.2174,0.002314,0.003537,0
10.000000,2.9149380000e+01,5.538274e-04,0.120011,0.1900,0.001126,0.002353,0
10.000000,3.3359110000e+01,5.538274e-04,0.120011,0.1660,0.000539,0.001553,0
10.000000,3.8176810000e+01,5.538274e-04,0.120011,0.1451,0.000254,0.001014,0
10.000000,4.3690280000e+01,5.538274e-04,0.120011,0.1268,0.000118,0.000655,0
10.000000,5.0000000000e+01,5.538274e-04,0.120011,0.1108,0.000055,0.000418,0
11.288379,1.0000000000e+00,6.126743e-04,0.120011,6.9161,381.442137,6.364933,0
11.288379,1.1444190000e+00,6.126743e-04,0.120011,6.0433,250.446730,4.909000,0
11.288379,1.3096960000e+00,6.126743e-04,0.120011,5.2807,166.583984,3.769932,0
11.288379,1.4988410000e+00,6.126743e-04,0.120011,4.6143,112.754342,2.882008,0
11.288379,1.7153020000e+00,6.126743e-04,0.120011,4.0320,77.412671,2.191678,0
11.288379,1.9630250000e+00,6.126743e-04,0.120011,3.5232,53.481197,1.674598,0
11.288379,2.2465240000e+00,6.126743e-04,0.120011,3.0786,36.870524,1.300124,0
11.288379,2.5709650000e+00,6.126743e-04,0.120011,2.6901,25.215826,0.985235,0
11.288379,2.9422620000e+00,6.126743e-04,0.120011,2.3506,17.053395,0.758033,0
11.288379,3.3671820000e+00,6.126743e-04,0.120011,2.0540,11.390228,0.569103,0
11.288379,3.8534680000e+00,6.126743e-04,0.120011,1.7948,7.510096,0.433926,0
11.288379,4.4099830000e+00,6.126743e-04,0.120011,1.5683,4.886833,0.331515,0
11.288379,5.0468690000e+00,6.126743e-04,0.120011,1.3704,3.136769,0.245575,0
11.288379,5.7757350000e+00,6.126743e-04,0.120011,1.1974,1.984713,0.185465,0
11.288379,6.6098620000e+00,6.126743e-04,0.120011,1.0463,1.236650,0.137816,0
11.288379,7.5644540000e+00,6.126743e-04,0.120011,0.9143,0.757910,0.102134,0
11.288379,8.6569070000e+00,6.126743e-04,0.120011,0.7989,0.456294,0.074880,0
11.288379,9.9071320000e+00,6.126743e-04,0.120011,0.6981,0.269496,0.053900,0
11.288379,1.1337910000e+01,6.126743e-04,0.120011,0.6100,0.155954,0.038831,0
11.288379,1.2975330000e+01,6.126743e-04,0.120011,0.5330,0.088330,0.027628,0
11.288379,1.4849210000e+01,6.126743e-04,0.120011,0.4658,0.048924,0.019421,0
11.288379,1.6993730000e+01,6.126743e-04,0.120011,0.4070,0.026487,0.013496,0
11.288379,1.9447950000e+01,6.126743e-04,0.120011,0.3556,0.014014,0.009277,0
11.288379,2.2256610000e+01,6.126743e-04,0.120011,0.3107,0.007250,0.006318,0
11.288379,2.5470890000e+01,6.126743e-04,0.120011,0.2715,0.003669,0.004266,0
11.288379,2.9149380000e+01,6.126743e-04,0.120011,0.2373,0.001819,0.002858,0
11.288379,3.3359110000e+01,6.126743e-04,0.120011,0.2073,0.000885,0.001900,0
11.288379,3.8176810000e+01,6.126743e-04,0.120011,0.1812,0.000423,0.001252,0
11.288379,4.3690280000e+01,6.126743e-04,0.120011,0.1583,0.000200,0.000818,0
11.288379,5.0000000000e+01,6.126743e-04,0.120011,0.1383,0.000093,0.000528,0
12.742750,1.0000000000e+00,6.796264e-04,0.119997,8.6603,431.013739,6.882805,0
12.742750,1.1444190000e+00,6.796264e-04,0.119997,7.5674,281.852223,5.290705,0
12.742750,1.3096960000e+00,6.796264e-04,0.119997,6.6125,184.688527,4.079182,0
12.742750,1.4988410000e+00,6.796264e-04,0.119997,5.7780,122.662228,3.131765,0
12.742750,1.7153020000e+00,6.796264e-04,0.119997,5.0489,83.014964,2.393566,0
12.742750,1.9630250000e+00,6.796264e-04,0.119997,4.4117,57.077136,1.819890,0
12.742750,2.2465240000e+00,6.796264e-04,0.119997,3.8550,39.536623,1.390056,0
12.742750,2.5709650000e+00,6.796264e-04,0.119997,3.3685,27.348468,1.078387,0
12.742750,2.9422620000e+00,6.796264e-04,0.119997,2.9434,18.773672,0.816937,0
12.742750,3.3671820000e+00,6.796264e-04,0.119997,2.5720,12.747390,0.628038,0
12.742750,3.8534680000e+00,6.796264e-04,0.119997,2.2474,8.550234,0.471358,0
12.742750,4.4099830000e+00,6.796264e-04,0.119997,1.9638,5.662711,0.359080,0
12.742750,5.0468690000e+00,6.796264e-04,0.119997,1.7160,3.701923,0.274008,0
12.742750,5.7757350000e+00,6.796264e-04,0.119997,1.4994,2.387643,0.202885,0
12.742750,6.6098620000e+00,6.796264e-04,0.119997,1.3102,1.518112,0.153016,0
12.742750,7.5644540000e+00,6.796264e-04,0.119997,1.1449,0.950524,0.113574,0
12.742750,8.6569070000e+00,6.796264e-04,0.119997,1.0004,0.585311,0.084046,0
12.742750,9.9071320000e+00,6.796264e-04,0.119997,0.8741,0.353964,0.061528,0
12.742750,1.1337910000e+01,6.796264e-04,0.119997,0.7638,0.209921,0.044239,0
12.742750,1.2975330000e+01,6.796264e-04,0.119997,0.6674,0.121924,0.031816,0
12.742750,1.4849210000e+01,6.796264e-04,0.119997,0.5832,0.069271,0.022597,0
12.742750,1.6993730000e+01,6.796264e-04,0.119997,0.5096,0.038465,0.015858,0
12.742750,1.9447950000e+01,6.796264e-04,0.119997,0.4453,0.020865,0.011002,0
12.742750,2.2256610000e+01,6.796264e-04,0.119997,0.3891,0.011055,0.007551,0
12.742750,2.5470890000e+01,6.796264e-04,0.119997,0.3400,0.005724,0.005135,0
12.742750,2.9149380000e+01,6.796264e-04,0.119997,0.2971,0.002898,0.003463,0
12.742750,3.3359110000e+01,6.796264e-04,0.119997,0.2596,0.001437,0.002318,0
12.742750,3.8176810000e+01,6.796264e-04,0.119997,0.2268,0.000699,0.001540,0
12.742750,4.3690280000e+01,6.796264e-04,0.119997,0.1982,0.000334,0.001014,0
12.742750,5.0000000000e+01,6.796264e-04,0.119997,0.1732,0.000158,0.000662,0
14.384499,1.0000000000e+00,7.555133e-04,0.119998,10.8677,482.608776,7.382935,0
14.384499,1.1444190000e+00,7.555133e-04,0.119998,9.4962,318.916142,5.697986,0
14.384499,1.3096960000e+00,7.555133e-04,0.119998,8.2979,208.263271,4.410296,0
14.384499,1.4988410000e+00,7.555133e-04,0.119998,7.2507,136.179910,3.399339,0
14.384499,1.7153020000e+00,7.555133e-04,0.119998,6.3357,90.286677,2.540419,0
14.384499,1.9630250000e+00,7.555133e-04,0.119998,5.5362,61.080016,1.993628,0
14.384499,2.2465240000e+00,7.555133e-04,0.119998,4.8376,42.049178,1.515520,0
14.384499,2.5709650000e+00,7.555133e-04,0.119998,4.2271,29.202039,1.157190,0
14.384499,2.9422620000e+00,7.555133e-04,0.119998,3.6936,20.267450,0.897069,0
14.384499,3.3671820000e+00,7.555133e-04,0.119998,3.2275,13.965234,0.679355,0
14.384499,3.8534680000e+00,7.555133e-04,0.119998,2.8202,9.520800,0.521855,0
14.384499,4.4099830000e+00,7.555133e-04,0.119998,2.4643,6.413476,0.391533,0
14.384499,5.0468690000e+00,7.555133e-04,0.119998,2.1534,4.266915,0.298007,0
14.384499,5.7757350000e+00,7.555133e-04,0.119998,1.8816,2.802821,0.227136,0
