chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1100,sigma_m_1200,sigma_m_1500,sigma_m_4700
2.5929,0.2593,100.000000,9.151275,2.840502e-03,31.0394,0,,1.321507e+00,1.910756e+00,1.953328e+00,1.843352e+00,1.772598e+00,1.692640e+00,5.545115e-01,5.005410e-01,1.106913e-01,9.476710e-02,6.714092e-02,7.803829e-03
2.6138,0.2614,86.851137,9.151275,2.630576e-03,24.9658,0,,1.384179e+00,1.772713e+00,1.925895e+00,1.915052e+00,1.874169e+00,1.819939e+00,5.817100e-01,5.688528e-01,1.129344e-01,9.848107e-02,6.803339e-02,8.100224e-03
2.6855,0.2685,100.000000,10.216981,3.353929e-03,32.8270,0,,1.102333e+00,1.540335e+00,1.635526e+00,1.588590e+00,1.537979e+00,1.478452e+00,5.251179e-01,4.592297e-01,1.085850e-01,9.721317e-02,7.057908e-02,9.038956e-03
2.6881,0.2688,100.000000,9.151275,2.722148e-03,29.7461,0,,1.292560e+00,1.852233e+00,1.898450e+00,1.796292e+00,1.729048e+00,1.652714e+00,5.393056e-01,4.863210e-01,1.041021e-01,8.894684e-02,6.263668e-02,7.181938e-03
2.6970,0.2697,86.851137,9.151275,2.520969e-03,23.9255,0,,1.353642e+00,1.714121e+00,1.864631e+00,1.857674e+00,1.819759e+00,1.768751e+00,5.670051e-01,5.514990e-01,1.059746e-01,9.219558e-02,6.335286e-02,7.451877e-03
2.7062,0.2706,100.000000,9.151275,2.702585e-03,29.5323,0,,1.287701e+00,1.842418e+00,1.889207e+00,1.788331e+00,1.721670e+00,1.645939e+00,5.367406e-01,4.839197e-01,1.030116e-01,8.798539e-02,6.189754e-02,7.081450e-03
2.7135,0.2714,86.851137,9.151275,2.502852e-03,23.7536,0,,1.348503e+00,1.704332e+00,1.854356e+00,1.848019e+00,1.810587e+00,1.760109e+00,5.645016e-01,5.485721e-01,1.048253e-01,9.116021e-02,6.258635e-02,7.347161e-03
2.7634,0.2763,75.431201,9.151275,2.396213e-03,19.7513,0,,1.441477e+00,1.581647e+00,1.785864e+00,1.860619e+00,1.859631e+00,1.840886e+00,6.814863e-01,5.951598e-01,1.143809e-01,9.952273e-02,6.788979e-02,7.765128e-03
2.7954,0.2795,86.851137,10.216981,2.927797e-03,24.8882,0,,1.131217e+00,1.344788e+00,1.510215e+00,1.549415e+00,1.536577e+00,1.509789e+00,5.335094e-01,4.639336e-01,1.058979e-01,9.421343e-02,6.579015e-02,8.006273e-03
2.7982,0.2798,100.000000,8.196729,2.428228e-03,29.6243,0,,1.611136e+00,2.353649e+00,2.314858e+00,2.134663e+00,2.028223e+00,1.921036e+00,6.069152e-01,5.226281e-01,1.081509e-01,9.403649e-02,6.452991e-02,6.782443e-03
2.8025,0.2802,100.000000,10.216981,3.214182e-03,31.4592,0,,1.079355e+00,1.492886e+00,1.588792e+00,1.547064e+00,1.499589e+00,1.443221e+00,5.106503e-01,4.469842e-01,1.027348e-01,9.169937e-02,6.612286e-02,8.324362e-03
2.8082,0.2808,100.000000,9.151275,2.603794e-03,28.4528,0,,1.262822e+00,1.792223e+00,1.841757e+00,1.747306e+00,1.683596e+00,1.610927e+00,5.235540e-01,4.715648e-01,9.750271e-02,8.313655e-02,5.819104e-02,6.584051e-03
