alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
5.000000e-04,2.774948e-04,1.802,3.2722,0.142676,0.120739,0.110333,0.088854,0.046562,0.010740,0.002816
5.044101e-04,2.750686e-04,1.834,3.3011,0.143931,0.121813,0.111463,0.089953,0.047231,0.010919,0.002865
5.088592e-04,2.726636e-04,1.866,3.3302,0.145193,0.122893,0.112602,0.091063,0.047907,0.011101,0.002915
5.133475e-04,2.702797e-04,1.899,3.3596,0.146462,0.123980,0.113750,0.092184,0.048592,0.011285,0.002965
5.178753e-04,2.679166e-04,1.933,3.3892,0.147738,0.125074,0.114907,0.093317,0.049285,0.011473,0.003017
5.224432e-04,2.655742e-04,1.967,3.4191,0.149022,0.126173,0.116074,0.094461,0.049987,0.011663,0.003069
5.270513e-04,2.632522e-04,2.002,3.4492,0.150312,0.127280,0.117250,0.095616,0.050697,0.011856,0.003123
5.317000e-04,2.609505e-04,2.038,3.4797,0.151610,0.128392,0.118435,0.096783,0.051416,0.012052,0.003177
5.363897e-04,2.586690e-04,2.074,3.5104,0.152915,0.129511,0.119630,0.097962,0.052143,0.012252,0.003232
5.411209e-04,2.564074e-04,2.110,3.5413,0.154227,0.130637,0.120835,0.099152,0.052879,0.012454,0.003288
5.458937e-04,2.541656e-04,2.148,3.5725,0.155546,0.131769,0.122049,0.100354,0.053623,0.012660,0.003345
5.507086e-04,2.519434e-04,2.186,3.6041,0.156872,0.132908,0.123273,0.101568,0.054376,0.012868,0.003404
5.555660e-04,2.497406e-04,2.225,3.6358,0.158206,0.134053,0.124507,0.102794,0.055139,0.013080,0.003463
5.604663e-04,2.475571e-04,2.264,3.6679,0.159546,0.135205,0.125750,0.104032,0.055910,0.013296,0.003523
5.654098e-04,2.453926e-04,2.304,3.7003,0.160894,0.136363,0.127004,0.105282,0.056690,0.013514,0.003584
5.703968e-04,2.432471e-04,2.345,3.7329,0.162249,0.137528,0.128267,0.106544,0.057479,0.013736,0.003646
5.754279e-04,2.411204e-04,2.386,3.7658,0.163611,0.138700,0.129541,0.107819,0.058277,0.013961,0.003709
5.805034e-04,2.390122e-04,2.429,3.7990,0.164980,0.139878,0.130824,0.109106,0.059085,0.014190,0.003773
5.856236e-04,2.369225e-04,2.472,3.8326,0.166357,0.141062,0.132118,0.110405,0.059902,0.014422,0.003839
5.907889e-04,2.348510e-04,2.516,3.8664,0.167741,0.142254,0.133422,0.111717,0.060728,0.014658,0.003905
5.959999e-04,2.327977e-04,2.560,3.9005,0.169131,0.143452,0.134736,0.113041,0.061563,0.014897,0.003973
6.012567e-04,2.307623e-04,2.606,3.9349,0.170529,0.144656,0.136061,0.114378,0.062408,0.015140,0.004041
6.065600e-04,2.287447e-04,2.652,3.9696,0.171935,0.145868,0.137396,0.115728,0.063262,0.015387,0.004111
6.119100e-04,2.267448e-04,2.699,4.0046,0.173347,0.147086,0.138742,0.117090,0.064126,0.015637,0.004182
6.173073e-04,2.247623e-04,2.746,4.0399,0.174767,0.148311,0.140098,0.118466,0.065000,0.015891,0.004254
6.227521e-04,2.227972e-04,2.795,4.0755,0.176193,0.149542,0.141465,0.119854,0.065883,0.016149,0.004328
6.282449e-04,2.208492e-04,2.845,4.1115,0.177627,0.150781,0.142842,0.121256,0.066777,0.016411,0.004403
6.337862e-04,2.189183e-04,2.895,4.1478,0.179069,0.152026,0.144231,0.122670,0.067679,0.016676,0.004479
6.393764e-04,2.170042e-04,2.946,4.1843,0.180517,0.153278,0.145630,0.124098,0.068592,0.016946,0.004556
6.450159e-04,2.151069e-04,2.999,4.2212,0.181973,0.154536,0.147040,0.125539,0.069515,0.017219,0.004634
6.507051e-04,2.132262e-04,3.052,4.2585,0.183436,0.155802,0.148461,0.126993,0.070448,0.017497,0.004714
6.564445e-04,2.113620e-04,3.106,4.2960,0.184906,0.157074,0.149894,0.128461,0.071391,0.017779,0.004795
6.622346e-04,2.095140e-04,3.161,4.3339,0.186383,0.158353,0.151337,0.129942,0.072343,0.018064,0.004878
6.680757e-04,2.076822e-04,3.217,4.3722,0.187867,0.159639,0.152792,0.131437,0.073307,0.018354,0.004962
6.739683e-04,2.058664e-04,3.274,4.4107,0.189359,0.160932,0.154258,0.132945,0.074280,0.018649,0.005047
6.799129e-04,2.040664e-04,3.332,4.4496,0.190858,0.162232,0.155736,0.134467,0.075263,0.018947,0.005134
6.859099e-04,2.022823e-04,3.391,4.4889,0.192365,0.163539,0.157225,0.136003,0.076257,0.019250,0.005222
6.919598e-04,2.005137e-04,3.451,4.5285,0.193878,0.164853,0.158725,0.137553,0.077262,0.019557,0.005312
6.980631e-04,1.987605e-04,3.512,4.5684,0.195399,0.166174,0.160237,0.139117,0.078277,0.019869,0.005403
7.042202e-04,1.970227e-04,3.574,4.6087,0.196927,0.167502,0.161761,0.140695,0.079302,0.020185,0.005495
7.104317e-04,1.953001e-04,3.638,4.6494,0.198462,0.168837,0.163297,0.142286,0.080338,0.020506,0.005590
7.166979e-04,1.935926e-04,3.702,4.6904,0.200005,0.170178,0.164845,0.143892,0.081384,0.020832,0.005685
7.230194e-04,1.919000e-04,3.768,4.7317,0.201554,0.171527,0.166404,0.145512,0.082441,0.021162,0.005783
7.293966e-04,1.902222e-04,3.834,4.7735,0.203111,0.172884,0.167976,0.147147,0.083509,0.021496,0.005882
7.358301e-04,1.885590e-04,3.902,4.8156,0.204676,0.174247,0.169559,0.148795,0.084588,0.021836,0.005982
7.423203e-04,1.869104e-04,3.972,4.8580,0.206247,0.175617,0.171155,0.150459,0.085677,0.022180,0.006085
7.488678e-04,1.852762e-04,4.042,4.9009,0.207826,0.176994,0.172764,0.152136,0.086777,0.022529,0.006189
7.554730e-04,1.836563e-04,4.114,4.9441,0.209412,0.178379,0.174384,0.153828,0.087888,0.022883,0.006294
7.621365e-04,1.820506e-04,4.186,4.9877,0.211005,0.179771,0.176017,0.155535,0.089010,0.023242,0.006402
7.688588e-04,1.804589e-04,4.261,5.0317,0.212606,0.181170,0.177663,0.157257,0.090143,0.023606,0.006511
7.756403e-04,1.788811e-04,4.336,5.0761,0.214214,0.182577,0.179321,0.158993,0.091287,0.023975,0.006622
7.824817e-04,1.773171e-04,4.413,5.1209,0.215829,0.183990,0.180992,0.160744,0.092442,0.024349,0.006735
7.893834e-04,1.757668e-04,4.491,5.1660,0.217452,0.185411,0.182676,0.162510,0.093608,0.024729,0.006849
7.963460e-04,1.742300e-04,4.571,5.2116,0.219082,0.186839,0.184372,0.164291,0.094785,0.025113,0.006966
8.033700e-04,1.727067e-04,4.652,5.2576,0.220719,0.188275,0.186082,0.166087,0.095973,0.025503,0.007084
8.104560e-04,1.711967e-04,4.734,5.3040,0.222363,0.189718,0.187805,0.167898,0.097173,0.025898,0.007204
8.176044e-04,1.696999e-04,4.818,5.3507,0.224015,0.191169,0.189541,0.169724,0.098384,0.026298,0.007327
8.248159e-04,1.682162e-04,4.903,5.3979,0.225674,0.192626,0.191290,0.171565,0.099606,0.026704,0.007451
8.320910e-04,1.667455e-04,4.990,5.4455,0.227340,0.194092,0.193052,0.173422,0.100839,0.027116,0.007577
8.394303e-04,1.652876e-04,5.079,5.4936,0.229014,0.195565,0.194828,0.175294,0.102084,0.027532,0.007706
8.468343e-04,1.638424e-04,5.169,5.5420,0.230695,0.197045,0.196618,0.177181,0.103340,0.027955,0.007836
8.543037e-04,1.624099e-04,5.260,5.5909,0.232383,0.198533,0.198421,0.179083,0.104607,0.028383,0.007969
8.618389e-04,1.609900e-04,5.353,5.6402,0.234078,0.200029,0.200237,0.181001,0.105886,0.028817,0.008103
8.694405e-04,1.595824e-04,5.448,5.6900,0.235781,0.201532,0.202068,0.182935,0.107176,0.029256,0.008240
8.771092e-04,1.581871e-04,5.545,5.7402,0.237491,0.203043,0.203913,0.184884,0.108477,0.029701,0.008379
8.848456e-04,1.568041e-04,5.643,5.7908,0.239209,0.204561,0.205771,0.186849,0.109790,0.030152,0.008520
