alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
1.338400e-03,1.036666e-04,12.911,5.6276,0.447457,0.409375,0.375247,0.380198,0.296381,0.113129,0.037946
1.503900e-03,9.225839e-05,16.301,6.3235,0.492891,0.449199,0.414818,0.432446,0.342463,0.135372,0.046836
1.689800e-03,8.210877e-05,20.580,7.1051,0.540851,0.491128,0.457329,0.490339,0.393373,0.160811,0.057542
1.898800e-03,7.307110e-05,25.986,7.9839,0.591390,0.535195,0.503057,0.554310,0.449167,0.189567,0.070333
2.133600e-03,6.502972e-05,32.810,8.9712,0.644488,0.581364,0.552252,0.624654,0.509701,0.221624,0.085454
2.397400e-03,5.787411e-05,41.424,10.0804,0.700169,0.629634,0.605247,0.701656,0.574747,0.256875,0.103123
2.693900e-03,5.150429e-05,52.304,11.3270,0.758478,0.680026,0.662445,0.785554,0.643978,0.295122,0.123522
3.027000e-03,4.583660e-05,66.039,12.7276,0.819418,0.732524,0.724251,0.876429,0.716890,0.336055,0.146752
3.401300e-03,4.079246e-05,83.381,14.3015,0.883030,0.787152,0.791158,0.974320,0.792928,0.379354,0.172854
3.821900e-03,3.630325e-05,105.277,16.0699,0.949344,0.843938,0.863688,1.079147,0.871452,0.424738,0.201799
4.294500e-03,3.230816e-05,132.923,18.0571,1.018382,0.902916,0.942391,1.190722,0.951781,0.472058,0.233520
4.825500e-03,2.875296e-05,167.826,20.2898,1.090164,0.964143,1.027834,1.308764,1.033240,0.521395,0.267974
5.422200e-03,2.558876e-05,211.898,22.7987,1.164721,1.027708,1.120603,1.432934,1.115227,0.573144,0.305222
