log10_g_bar,log10_g_obs,log10_g_sidm,category
-11.681911,-11.160337,-11.100713,dwarf
-11.704583,-11.109185,-10.864086,dwarf
-11.761093,-10.978851,-10.707081,dwarf
-11.881127,-10.905065,-10.699708,dwarf
-11.984618,-10.865630,-10.729508,dwarf
-12.092185,-10.850308,-10.767436,dwarf
-12.193082,-10.830114,-10.806407,dwarf
-12.374812,-10.865888,-10.881224,dwarf
-12.545167,-10.921429,-10.950187,dwarf
-12.704583,-10.961122,-11.013270,dwarf
-12.859937,-11.008978,-11.071242,dwarf
-13.016365,-11.048290,-11.124818,dwarf
-12.068529,-11.632063,-11.104337,dwarf
-11.947852,-11.406611,-10.819638,dwarf
-11.966224,-11.188366,-10.627547,dwarf
-12.008422,-11.072201,-10.642534,dwarf
-12.054343,-11.003320,-10.682700,dwarf
-12.114286,-10.941867,-10.727535,dwarf
-12.179111,-10.887155,-10.772221,dwarf
-12.260414,-10.869706,-10.815931,dwarf
-12.355373,-10.865630,-10.858089,dwarf
-12.445136,-10.872979,-10.897996,dwarf
-12.548004,-10.890715,-10.936241,dwarf
-12.659624,-10.904962,-10.972727,dwarf
-12.763895,-10.929489,-11.007230,dwarf
-11.622911,-11.276321,-11.131539,dwarf
-11.571759,-11.109185,-10.896579,dwarf
-11.588283,-10.978851,-10.715325,dwarf
-11.677443,-10.942032,-10.649882,dwarf
-11.761975,-10.896110,-10.658886,dwarf
-11.899456,-10.830114,-10.712915,dwarf
-12.063005,-10.824519,-10.776478,dwarf
-12.200321,-10.844170,-10.836583,dwarf
-12.321881,-10.869607,-10.892526,dwarf
-12.461252,-10.885942,-10.945436,dwarf
-12.587982,-10.911761,-10.994441,dwarf
-10.087968,-10.234123,-10.067871,spiral
-9.957799,-10.008671,-9.928336,spiral
-9.999561,-9.984246,-9.937144,spiral
-10.070240,-9.966517,-9.965474,spiral
-10.158729,-10.008671,-9.998571,spiral
-10.267620,-10.051994,-10.034399,spiral
-10.489325,-10.140674,-10.144198,spiral
-10.710701,-10.215752,-10.268227,spiral
-10.926767,-10.283085,-10.383065,spiral
-11.225323,-10.374856,-10.521809,spiral
-11.503463,-10.459177,-10.600431,spiral
-11.788465,-10.536216,-10.660184,spiral
-10.301928,-10.279881,-10.283771,spiral
-10.148470,-10.137213,-10.123177,spiral
-10.074684,-10.063427,-10.042912,spiral
-10.025322,-9.994546,-9.987766,spiral
-10.011198,-9.962540,-9.966151,spiral
-10.058373,-9.975291,-9.985478,spiral
-10.125384,-10.006237,-10.016709,spiral
-10.208397,-10.049180,-10.052979,spiral
-10.287578,-10.087479,-10.078923,spiral
-10.368422,-10.124979,-10.115344,spiral
-10.162309,-10.182971,-10.118988,spiral
-10.142181,-10.100230,-10.062896,spiral
-10.209271,-10.049077,-10.042696,spiral
-10.315838,-10.073727,-10.039106,spiral
-10.440777,-10.119045,-10.087490,spiral
-10.583413,-10.166660,-10.168201,spiral
-10.809993,-10.256967,-10.299350,spiral
-11.045271,-10.341333,-10.423861,spiral
-11.355969,-10.444053,-10.554659,spiral
-11.682788,-10.546812,-10.642442,spiral
-12.003117,-10.631883,-10.715127,spiral
-12.514538,-11.632063,-10.671907,dwarf
-12.523312,-11.580911,-10.761943,dwarf
-12.530761,-11.507125,-10.863447,dwarf
-12.559091,-11.438243,-10.954571,dwarf
-12.611448,-11.376791,-11.036119,dwarf
-12.715197,-11.368587,-11.175633,dwarf
-12.824342,-11.382186,-11.292445,dwarf
-12.953871,-11.399812,-11.393604,dwarf
-13.070974,-11.423644,-11.482214,dwarf
-13.180084,-11.439661,-11.561146,dwarf
