log10_g_bar,log10_g_obs,log10_g_sidm,category
-11.563182,-11.160337,-11.385145,dwarf
-11.585854,-11.109185,-11.270348,dwarf
-11.642364,-10.978851,-11.161359,dwarf
-11.762397,-10.905065,-11.062701,dwarf
-11.865888,-10.865630,-10.974763,dwarf
-11.973456,-10.850308,-10.922544,dwarf
-12.074353,-10.830114,-10.917973,dwarf
-12.256083,-10.865888,-10.951767,dwarf
-12.426438,-10.921429,-11.001796,dwarf
-12.585854,-10.961122,-11.054223,dwarf
-12.741208,-11.008978,-11.105482,dwarf
-12.897636,-11.048290,-11.154500,dwarf
-12.068529,-11.632063,-11.622027,dwarf
-11.947852,-11.406611,-11.377284,dwarf
-11.966224,-11.188366,-11.141739,dwarf
-12.008422,-11.072201,-10.992141,dwarf
-12.054343,-11.003320,-10.887447,dwarf
-12.114286,-10.941867,-10.862277,dwarf
-12.179111,-10.887155,-10.872024,dwarf
-12.260414,-10.869706,-10.895188,dwarf
-12.355373,-10.865630,-10.923962,dwarf
-12.445136,-10.872979,-10.954452,dwarf
-12.548004,-10.890715,-10.985793,dwarf
-12.659624,-10.904962,-11.017004,dwarf
-12.763895,-10.929489,-11.047320,dwarf
-11.364457,-11.276321,-11.264228,dwarf
-11.313305,-11.109185,-11.148507,dwarf
-11.329829,-10.978851,-11.074800,dwarf
-11.418989,-10.942032,-11.026009,dwarf
-11.503521,-10.896110,-10.974121,dwarf
-11.641002,-10.830114,-10.875113,dwarf
-11.804551,-10.824519,-10.870877,dwarf
-11.941868,-10.844170,-10.901729,dwarf
-12.063427,-10.869607,-10.941953,dwarf
-12.202799,-10.885942,-10.986198,dwarf
-12.329528,-10.911761,-11.029382,dwarf
-9.948363,-10.234123,-9.944083,spiral
-9.818193,-10.008671,-9.811865,spiral
-9.859956,-9.984246,-9.846141,spiral
-9.930634,-9.966517,-9.906539,spiral
-10.019123,-10.008671,-9.980402,spiral
-10.128014,-10.051994,-10.067397,spiral
-10.349719,-10.140674,-10.219583,spiral
-10.571096,-10.215752,-10.333833,spiral
-10.787162,-10.283085,-10.444276,spiral
-11.085717,-10.374856,-10.583782,spiral
-11.363858,-10.459177,-10.684345,spiral
-11.648859,-10.536216,-10.734225,spiral
-10.212110,-10.279881,-10.208553,spiral
-10.058652,-10.137213,-10.053665,spiral
-9.984866,-10.063427,-9.978563,spiral
-9.935504,-9.994546,-9.928014,spiral
-9.921380,-9.962540,-9.912332,spiral
-9.968555,-9.975291,-9.953531,spiral
-10.035566,-10.006237,-10.012411,spiral
-10.118579,-10.049180,-10.084001,spiral
-10.197760,-10.087479,-10.148798,spiral
-10.278605,-10.124979,-10.211268,spiral
-9.966594,-10.182971,-9.957905,spiral
-9.946466,-10.100230,-9.930022,spiral
-10.013556,-10.049077,-9.976101,spiral
-10.120123,-10.073727,-10.050943,spiral
-10.245062,-10.119045,-10.128790,spiral
-10.387698,-10.166660,-10.202176,spiral
-10.614278,-10.256967,-10.320138,spiral
-10.849556,-10.341333,-10.450809,spiral
-11.160254,-10.444053,-10.605097,spiral
-11.487073,-10.546812,-10.714826,spiral
-11.807402,-10.631883,-10.780272,spiral
-12.514538,-11.632063,-11.135320,dwarf
-12.523312,-11.580911,-10.905571,dwarf
-12.530761,-11.507125,-10.938189,dwarf
-12.559091,-11.438243,-11.005032,dwarf
-12.611448,-11.376791,-11.074558,dwarf
-12.715197,-11.368587,-11.202316,dwarf
-12.824342,-11.382186,-11.313431,dwarf
-12.953871,-11.399812,-11.411271,dwarf
-13.070974,-11.423644,-11.497686,dwarf
-13.180084,-11.439661,-11.575059,dwarf
