chi2,m_chi_GeV,m_phi_GeV,alpha,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
6.431783,42.919343,0.0220907117,1.212717e-02,5.267321e-01,5.110103e-01,4.966748e-01,4.799721e-01,4.717272e-01,4.643927e-01,6.360274e-01,6.189388e-01,2.741534e-01,2.546779e-01,2.376567e-01,5.222047e-02
215.996276,37.275937,0.0007263372,2.378640e-05,1.775771e+01,5.608051e+00,3.462175e+00,2.325613e+00,1.952786e+00,1.661496e+00,1.008251e-01,7.994120e-02,5.871491e-03,4.843694e-03,4.048406e-03,2.557199e-04
84.053599,28.117687,0.0015704545,7.916113e-05,1.107686e+01,7.165397e+00,5.658301e+00,4.469149e+00,3.984825e+00,3.563958e+00,3.112006e-01,2.499863e-01,1.949783e-02,1.606289e-02,1.341393e-02,8.197646e-04
15.776179,86.851137,0.0033955682,3.061388e-04,4.784183e+00,4.254632e+00,3.511466e+00,2.901155e+00,2.647385e+00,2.423093e+00,3.029476e-01,2.462966e-01,2.011040e-02,1.653810e-02,1.384675e-02,8.483408e-04
4.682783,10.481131,0.0102169815,1.879870e-03,7.246645e-01,1.179100e+00,1.238762e+00,1.262490e+00,1.267494e+00,1.269581e+00,9.837558e-01,9.487242e-01,4.127010e-01,3.667688e-01,3.271020e-01,3.146858e-02
133.222640,42.919343,0.0008109224,2.516360e-05,1.395519e+01,4.389441e+00,2.707016e+00,1.817228e+00,1.525565e+00,1.297764e+00,7.869402e-02,6.238633e-02,4.582567e-03,3.767340e-03,3.147029e-03,1.992545e-04
2.523405,13.894955,0.0091512747,1.124992e-03,7.620313e-01,1.011157e+00,1.028476e+00,1.026650e+00,1.021898e+00,1.015412e+00,6.844465e-01,6.510418e-01,1.822244e-01,1.570045e-01,1.364014e-01,1.080584e-02
726.479504,42.919343,0.0001734623,5.399451e-06,3.233954e+01,5.522507e+00,3.108906e+00,1.980951e+00,1.632131e+00,1.366857e+00,7.318497e-02,5.801904e-02,4.430017e-03,3.656925e-03,3.033537e-03,6.740008e-05
8.768880,56.898660,0.0047253666,1.741900e-04,1.104151e+00,8.475941e-01,7.579429e-01,6.686016e-01,6.252057e-01,5.835747e-01,7.734335e-02,6.283615e-02,5.248777e-03,4.327911e-03,3.626937e-03,2.203703e-04
3.442702,56.898660,0.0127351667,5.356244e-03,1.176473e+00,1.042914e+00,1.077162e+00,1.193473e+00,1.256374e+00,1.313788e+00,9.424421e-01,8.691288e-01,3.003324e-01,2.707563e-01,2.452568e-01,2.925895e-02
2.784434,37.275937,0.0091512747,1.399698e-03,1.329443e+00,1.224350e+00,1.158078e+00,1.119867e+00,1.112139e+00,1.110201e+00,7.654224e-01,6.916812e-01,1.207945e-01,1.022656e-01,8.759093e-02,6.152084e-03
14.399291,100.000000,0.0027241463,1.325293e-04,3.969412e+00,2.420507e+00,1.776782e+00,1.339098e+00,1.174265e+00,1.036174e+00,8.248718e-02,6.599347e-02,4.968974e-03,4.083735e-03,3.414226e-03,2.117298e-04
6.097025,100.000000,0.0102169815,1.278939e-03,6.461493e-01,6.999860e-01,7.538232e-01,7.574950e-01,7.467641e-01,7.309771e-01,2.471754e-01,2.175494e-01,3.188400e-02,2.676529e-02,2.276256e-02,1.491736e-03
386.093633,56.898660,0.0003008917,9.553244e-06,2.365206e+01,4.283820e+00,2.433737e+00,1.558522e+00,1.287884e+00,1.080482e+00,5.812183e-02,4.615196e-02,3.482896e-03,2.875008e-03,2.416026e-03,7.392369e-05
