benchmark,system,v_km_s,sigma_maj,pull_maj,dchi2_maj,sigma_dirac,pull_dirac,dchi2_dirac,penalty
BP1,Draco dSph,12,7.445536e-01,0.103253,0.010661,1.489107e+00,0.635076,0.403322,-0.392661
BP1,Fornax dSph,12,7.445536e-01,-0.092411,0.008540,1.489107e+00,0.313230,0.098113,-0.089574
BP1,NGC 2976,60,6.823542e-01,-0.878431,0.771640,1.093393e+00,-0.604404,0.365305,0.406336
BP1,NGC 1560,55,6.662561e-01,-1.166872,1.361590,1.123996e+00,-0.938002,0.879847,0.481743
BP1,IC 2574,50,6.531647e-01,-0.705696,0.498007,1.157737e+00,-0.285219,0.081350,0.416657
BP1,NGC 720 (group),250,5.446158e-01,0.044616,0.001991,5.232917e-01,0.023292,0.000543,0.001448
BP1,NGC 1332 (group),280,4.988968e-01,0.284138,0.080735,4.795876e-01,0.256554,0.065820,0.014915
BP1,Abell 611,1200,9.111493e-02,-0.111063,0.012335,9.065416e-02,-0.116823,0.013648,-0.001313
BP1,Abell 2537,1100,1.042066e-01,-0.381611,0.145627,1.036328e-01,-0.386393,0.149300,-0.003673
BP1,Diverse RC band,40,6.455687e-01,-0.941773,0.886935,1.238187e+00,-0.704725,0.496638,0.390298
BP1,Bullet Cluster,4700,7.462092e-03,0.000000,0.000000,7.470585e-03,0.000000,0.000000,0.000000
BP1,72 cluster mergers,1000,1.201312e-01,0.000000,0.000000,1.192902e-01,0.000000,0.000000,0.000000
BP1,TBTF dwarfs,30,6.719696e-01,-0.656061,0.430416,1.336232e+00,0.084058,0.007066,0.423350
MAP,Draco dSph,12,1.258393e+00,0.470280,0.221164,2.469390e+00,1.335278,1.782968,-1.561804
MAP,Fornax dSph,12,1.258393e+00,0.208360,0.043414,2.469390e+00,0.758813,0.575798,-0.532384
MAP,NGC 2976,60,1.676923e+00,-0.215385,0.046391,1.539524e+00,-0.306984,0.094239,-0.047849
MAP,NGC 1560,55,1.745341e+00,-0.627330,0.393542,1.595772e+00,-0.702114,0.492964,-0.099422
MAP,IC 2574,50,1.807553e+00,0.087872,0.007722,1.657445e+00,0.044984,0.002024,0.005698
MAP,NGC 720 (group),250,6.756660e-01,0.175666,0.030859,6.830074e-01,0.183007,0.033492,-0.002633
MAP,NGC 1332 (group),280,6.216262e-01,0.459466,0.211109,6.269185e-01,0.467026,0.218114,-0.007005
MAP,Abell 611,1200,1.306253e-01,0.153127,0.023448,1.294674e-01,0.147337,0.021708,0.001740
MAP,Abell 2537,1100,1.480623e-01,-0.016147,0.000261,1.468691e-01,-0.026091,0.000681,-0.000420
MAP,Diverse RC band,40,1.880311e+00,-0.447876,0.200593,1.801310e+00,-0.479476,0.229897,-0.029305
MAP,Bullet Cluster,4700,1.125060e-02,0.000000,0.000000,1.125648e-02,0.000000,0.000000,0.000000
MAP,72 cluster mergers,1000,1.689229e-01,0.000000,0.000000,1.677482e-01,0.000000,0.000000,0.000000
MAP,TBTF dwarfs,30,1.796987e+00,0.199247,0.039699,1.984949e+00,0.246237,0.060633,-0.020934
MAP_relic,Draco dSph,12,1.258393e+00,0.470280,0.221164,2.469390e+00,1.335278,1.782968,-1.561804
MAP_relic,Fornax dSph,12,1.258393e+00,0.208360,0.043414,2.469390e+00,0.758813,0.575798,-0.532384
MAP_relic,NGC 2976,60,1.676923e+00,-0.215385,0.046391,1.539524e+00,-0.306984,0.094239,-0.047849
MAP_relic,NGC 1560,55,1.745341e+00,-0.627330,0.393542,1.595772e+00,-0.702114,0.492964,-0.099422
MAP_relic,IC 2574,50,1.807553e+00,0.087872,0.007722,1.657445e+00,0.044984,0.002024,0.005698
MAP_relic,NGC 720 (group),250,6.756660e-01,0.175666,0.030859,6.830074e-01,0.183007,0.033492,-0.002633
MAP_relic,NGC 1332 (group),280,6.216262e-01,0.459466,0.211109,6.269185e-01,0.467026,0.218114,-0.007005
MAP_relic,Abell 611,1200,1.306253e-01,0.153127,0.023448,1.294674e-01,0.147337,0.021708,0.001740
MAP_relic,Abell 2537,1100,1.480623e-01,-0.016147,0.000261,1.468691e-01,-0.026091,0.000681,-0.000420
MAP_relic,Diverse RC band,40,1.880311e+00,-0.447876,0.200593,1.801310e+00,-0.479476,0.229897,-0.029305
MAP_relic,Bullet Cluster,4700,1.125060e-02,0.000000,0.000000,1.125648e-02,0.000000,0.000000,0.000000
MAP_relic,72 cluster mergers,1000,1.689229e-01,0.000000,0.000000,1.677482e-01,0.000000,0.000000,0.000000
MAP_relic,TBTF dwarfs,30,1.796987e+00,0.199247,0.039699,1.984949e+00,0.246237,0.060633,-0.020934
