v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
3.0000,1.052212e-01,1.5455,1.382113e+00,-0.0183
3.0449,1.076669e-01,1.5422,1.381736e+00,-0.0186
3.0905,1.101585e-01,1.5354,1.381348e+00,-0.0192
3.1368,1.126963e-01,1.5284,1.380948e+00,-0.0198
3.1838,1.152803e-01,1.5212,1.380535e+00,-0.0204
3.2315,1.179105e-01,1.5136,1.380110e+00,-0.0210
3.2799,1.205871e-01,1.5058,1.379673e+00,-0.0217
3.3290,1.233099e-01,1.4978,1.379222e+00,-0.0223
3.3789,1.260788e-01,1.4895,1.378757e+00,-0.0230
3.4295,1.288939e-01,1.4810,1.378278e+00,-0.0237
3.4809,1.317548e-01,1.4722,1.377785e+00,-0.0244
3.5330,1.346614e-01,1.4632,1.377277e+00,-0.0252
3.5859,1.376134e-01,1.4539,1.376754e+00,-0.0259
3.6396,1.406106e-01,1.4444,1.376216e+00,-0.0267
3.6941,1.436525e-01,1.4347,1.375661e+00,-0.0275
3.7495,1.467388e-01,1.4248,1.375090e+00,-0.0284
3.8056,1.498690e-01,1.4146,1.374501e+00,-0.0292
3.8626,1.530427e-01,1.4043,1.373896e+00,-0.0301
3.9205,1.562592e-01,1.3937,1.373272e+00,-0.0310
3.9792,1.595181e-01,1.3829,1.372630e+00,-0.0319
4.0388,1.628185e-01,1.3719,1.371969e+00,-0.0329
4.0993,1.661598e-01,1.3608,1.371288e+00,-0.0339
4.1607,1.695413e-01,1.3494,1.370587e+00,-0.0349
4.2230,1.729621e-01,1.3378,1.369866e+00,-0.0360
4.2863,1.764215e-01,1.3261,1.369123e+00,-0.0370
4.3505,1.799184e-01,1.3142,1.368358e+00,-0.0381
4.4156,1.834519e-01,1.3021,1.367571e+00,-0.0393
4.4818,1.870210e-01,1.2899,1.366761e+00,-0.0405
4.5489,1.906247e-01,1.2775,1.365926e+00,-0.0417
4.6170,1.942618e-01,1.2650,1.365068e+00,-0.0429
4.6862,1.979313e-01,1.2523,1.364184e+00,-0.0442
4.7564,2.016318e-01,1.2395,1.363274e+00,-0.0455
4.8276,2.053621e-01,1.2266,1.362338e+00,-0.0469
4.8999,2.091211e-01,1.2135,1.361375e+00,-0.0483
4.9733,2.129072e-01,1.2003,1.360383e+00,-0.0497
5.0478,2.167193e-01,1.1870,1.359362e+00,-0.0512
5.1234,2.205557e-01,1.1736,1.358312e+00,-0.0528
5.2001,2.244152e-01,1.1601,1.357231e+00,-0.0543
5.2780,2.282963e-01,1.1465,1.356119e+00,-0.0560
5.3571,2.321973e-01,1.1328,1.354974e+00,-0.0576
5.4373,2.361169e-01,1.1191,1.353797e+00,-0.0594
5.5188,2.400534e-01,1.1052,1.352585e+00,-0.0611
5.6014,2.440052e-01,1.0913,1.351338e+00,-0.0630
5.6853,2.479707e-01,1.0774,1.350055e+00,-0.0648
5.7705,2.519482e-01,1.0634,1.348735e+00,-0.0668
5.8569,2.559362e-01,1.0493,1.347378e+00,-0.0688
5.9446,2.599329e-01,1.0352,1.345981e+00,-0.0708
6.0337,2.639366e-01,1.0211,1.344544e+00,-0.0729
6.1240,2.679456e-01,1.0069,1.343066e+00,-0.0751
6.2158,2.719583e-01,0.9928,1.341546e+00,-0.0773
6.3089,2.759729e-01,0.9786,1.339982e+00,-0.0796
6.4034,2.799877e-01,0.9644,1.338374e+00,-0.0820
6.4993,2.840010e-01,0.9502,1.336720e+00,-0.0844
6.5966,2.880110e-01,0.9360,1.335019e+00,-0.0869
6.6954,2.920161e-01,0.9218,1.333270e+00,-0.0895
6.7957,2.960145e-01,0.9077,1.331472e+00,-0.0921
6.8975,3.000046e-01,0.8936,1.329623e+00,-0.0948
7.0008,3.039846e-01,0.8795,1.327722e+00,-0.0976
7.1057,3.079530e-01,0.8654,1.325768e+00,-0.1005
7.2121,3.119080e-01,0.8514,1.323760e+00,-0.1035
7.3201,3.158481e-01,0.8374,1.321696e+00,-0.1065
7.4298,3.197715e-01,0.8235,1.319575e+00,-0.1096
7.5410,3.236769e-01,0.8096,1.317396e+00,-0.1128
7.6540,3.275625e-01,0.7958,1.315157e+00,-0.1160
7.7686,3.314269e-01,0.7820,1.312858e+00,-0.1194
7.8850,3.352685e-01,0.7684,1.310497e+00,-0.1228
8.0031,3.390860e-01,0.7548,1.308074e+00,-0.1263
8.1230,3.428778e-01,0.7413,1.305586e+00,-0.1298
8.2446,3.466426e-01,0.7278,1.303033e+00,-0.1335
8.3681,3.503791e-01,0.7145,1.300415e+00,-0.1371
8.4934,3.540859e-01,0.7013,1.297731e+00,-0.1409
8.6207,3.577617e-01,0.6881,1.294979e+00,-0.1447
8.7498,3.614054e-01,0.6751,1.292161e+00,-0.1485
8.8808,3.650157e-01,0.6622,1.289276e+00,-0.1523
9.0139,3.685915e-01,0.6493,1.286323e+00,-0.1561
9.1489,3.721318e-01,0.6366,1.283304e+00,-0.1600
9.2859,3.756353e-01,0.6240,1.280220e+00,-0.1637
9.4250,3.791012e-01,0.6116,1.277071e+00,-0.1675
9.5661,3.825285e-01,0.5992,1.273860e+00,-0.1711
9.7094,3.859162e-01,0.5870,1.270589e+00,-0.1747
9.8549,3.892636e-01,0.5749,1.267262e+00,-0.1781
10.0025,3.925697e-01,0.5629,1.263880e+00,-0.1812
10.1523,3.958339e-01,0.5511,1.260450e+00,-0.1842
10.3043,3.990554e-01,0.5394,1.256977e+00,-0.1869
10.4587,4.022335e-01,0.5278,1.253466e+00,-0.1892
10.6153,4.053676e-01,0.5164,1.249924e+00,-0.1912
10.7743,4.084572e-01,0.5051,1.246361e+00,-0.1927
10.9357,4.115017e-01,0.4940,1.242784e+00,-0.1936
11.0995,4.145006e-01,0.4830,1.239206e+00,-0.1940
11.2657,4.174535e-01,0.4721,1.235637e+00,-0.1936
11.4345,4.203601e-01,0.4614,1.232092e+00,-0.1925
11.6057,4.232199e-01,0.4508,1.228584e+00,-0.1906
11.7796,4.260326e-01,0.4404,1.225129e+00,-0.1877
11.9560,4.287981e-01,0.4301,1.221746e+00,-0.1838
12.1351,4.315160e-01,0.4200,1.218454e+00,-0.1787
12.3168,4.341862e-01,0.4100,1.215272e+00,-0.1724
12.5013,4.368086e-01,0.4002,1.212222e+00,-0.1649
12.6886,4.393831e-01,0.3905,1.209329e+00,-0.1559
12.8786,4.419096e-01,0.3809,1.206617e+00,-0.1454
13.0715,4.443881e-01,0.3715,1.204111e+00,-0.1335
13.2673,4.468186e-01,0.3623,1.201838e+00,-0.1199
13.4660,4.492011e-01,0.3532,1.199827e+00,-0.1046
13.6677,4.515358e-01,0.3442,1.198106e+00,-0.0877
13.8724,4.538226e-01,0.3354,1.196703e+00,-0.0690
14.0802,4.560619e-01,0.3268,1.195650e+00,-0.0486
